id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
1197,to drive (a vehicle),verb,a1,transitive,ഓടിക്കുക / വാഹനം ഓടിക്കുക,ōṭikkuka / vāhanaṁ ōṭikkuka
1198,to drive (force forward),verb,a1,transitive,മുന്നോട്ട് നയിക്കുക / ഓടിക്കുക,munnōṭṭ nayikkuka / ōṭikkuka
1199,"to eat (pills, food)",verb,a1,transitive,കഴിക്കുക / തിന്നുക,kaḻikkuka / tinnuka
1200,to eat (respectful),verb,a1,transitive,കഴിക്കുക / സേവിക്കുക,kaḻikkuka / sēvikkuka
1201,to email,verb,a1,transitive,ഇമെയിൽ അയക്കുക,imeyil ayakkuka
1202,to end (to finish doing something),verb,a1,transitive,തീർക്കുക / പൂർത്തിയാക്കുക / അവസാനിപ്പിക്കുക,tīrkkuka / pūrttiyākkuka / avasānippikkuka
1203,to end (to stop or conclude),verb,a1,intransitive,അവസാനിക്കുക / തീരുക,avasānikkuka / tīruka
1204,to exercise (physical activity),verb,a1,intransitive,വ്യായാമം ചെയ്യുക,vyāyāmaṁ ceyyuka
1205,to explain,verb,a1,transitive,വിശദീകരിക്കുക / വ്യക്തമാക്കുക,viśadīkarikkuka / vyaktamākkuka
1206,to fall,verb,a1,intransitive,വീഴുക,vīḻuka
1207,to feel (a state or emotion),verb,a1,intransitive,തോന്നുക / അനുഭവപ്പെടുക,tōnnuka / anubhavappeṭuka
1208,to feel (to touch and perceive),verb,a1,transitive,തൊടുക / സ്പർശിക്കുക,toṭuka / sparśikkuka
1209,"to fill (a form, application)",verb,a1,transitive,പൂരിപ്പിക്കുക,pūrippikkuka
1210,"to finish (a task, completion)",verb,a1,transitive,പൂർത്തിയാക്കുക / തീർക്കുക / അവസാനിപ്പിക്കുക,pūrttiyākkuka / tīrkkuka / avasānippikkuka
1211,"to finish (to end, come to an end)",verb,a1,intransitive,അവസാനിക്കുക / തീരുക,avasānikkuka / tīruka
1212,"to fly (a bird, plane moves through air)",verb,a1,intransitive,പറക്കുക,paṟakkuka
1213,"to fly (an object, vehicle)",verb,a1,transitive,പറത്തുക,paṟattuka
1214,"to follow (go after, pursue)",verb,a1,transitive,പിന്തുടരുക / പിന്നാലെ പോകുക,pintuṭaruka / pinnāle pōkuka
1215,"to follow (rules, instructions)",verb,a1,transitive,അനുസരിക്കുക / പാലിക്കുക,anusarikkuka / pālikkuka
1216,to forget,verb,a1,transitive,മറക്കുക,maṟakkuka
1217,"to form (e.g., a queue, naturally)",verb,a1,intransitive,രൂപപ്പെടുക / ഉണ്ടാകുക,rūpappeṭuka / uṇṭākuka
1218,to form (to create or shape something),verb,a1,transitive,രൂപീകരിക്കുക / ഉണ്ടാക്കുക,rūpīkarikkuka / uṇṭākkuka
1219,to form (to develop or arise),verb,a1,intransitive,രൂപപ്പെടുക / ഉണ്ടാകുക,rūpappeṭuka / uṇṭākuka
1220,"to fry (general, deep fry)",verb,a1,transitive,വറുക്കുക / പൊരിക്കുക,vaṟukkuka / porikkuka
1221,to get (to become),verb,a1,intransitive,ആകുക / മാറുക,ākuka / māṟuka
1222,"to get (to fetch, to bring)",verb,a1,transitive,കൊണ്ടുവരിക,koṇṭuvarika
1223,"to get (to receive, to acquire)",verb,a1,transitive,കിട്ടുക / ലഭിക്കുക / നേടുക,kiṭṭuka / labhikkuka / nēṭuka
1224,to get (to understand),verb,a1,transitive,മനസ്സിലാക്കുക,manassilākkuka
1225,"to give (or offer, provide, slightly formal)",verb,a1,transitive,കൊടുക്കുക / നൽകുക / അർപ്പിക്കുക,koṭukkuka / nalkuka / arppikkuka
1226,to go,verb,a1,intransitive,പോകുക,pōkuka
1227,"to grow (increase in size, stature)",verb,a1,intransitive,വളരുക / വർദ്ധിക്കുക,vaḷaruka / varddhikkuka
1228,to grow (to cultivate),verb,a1,transitive,വളർത്തുക / കൃഷി ചെയ്യുക,vaḷarttuka / kr̥ṣi ceyyuka
1229,to guess,verb,a1,transitive,ഊഹിക്കുക / കണക്കാക്കുക,ūhikkuka / kaṇakkākkuka
1230,to guess (estimate quantity),verb,a1,transitive,കണക്കാക്കുക / ഊഹിക്കുക,kaṇakkākkuka / ūhikkuka
1231,to hate,verb,a1,transitive,വെറുക്കുക / ദ്വേഷിക്കുക,veṟukkuka / dvēṣikkuka
1232,to have (a drink),verb,a1,transitive,കുടിക്കുക,kuṭikkuka
1233,"to have (a meal, drink)",verb,a1,transitive,കഴിക്കുക / കുടിക്കുക,kaḻikkuka / kuṭikkuka
1234,to have (possess),verb,a1,nan,കൈവശം വെക്കുക / സ്വന്തമാക്കുക,kaivaśaṁ vekkuka / svantamākkuka
1235,to hear,verb,a1,nan,കേൾക്കുക,kēḷkkuka
1236,to help (action),verb,a1,transitive,സഹായിക്കുക / തുണയ്ക്കുക,sahāyikkuka / tuṇaykkuka
1237,"to help (be useful, beneficial)",verb,a1,intransitive,ഉപകരിക്കുക / പ്രയോജനപ്പെടുക,upakarikkuka / prayōjanappeṭuka
1238,"to hope (for an event, outcome)",verb,a1,transitive,പ്രതീക്ഷിക്കുക / ആശിക്കുക,pratīkṣikkuka / āśikkuka
1239,to imagine (to conceive a mental picture),verb,a1,transitive,സങ്കൽപ്പിക്കുക / മനസ്സിൽ കാണുക,saṅkalppikkuka / manassil kāṇuka
1240,to imagine (to suppose or guess),verb,a1,transitive,ഊഹിക്കുക / കരുതുക,ūhikkuka / karutuka
1241,to improve (to get better),verb,a1,intransitive,മെച്ചപ്പെടുക / പുരോഗമിക്കുക,meccappeṭuka / purōgamikkuka
1242,to improve (to make better),verb,a1,transitive,മെച്ചപ്പെടുത്തുക / നന്നാക്കുക,meccappeṭuttuka / nannākkuka
1243,"to include (to add to a list, group)",verb,a1,transitive,ഉൾപ്പെടുത്തുക / ചേർക്കുക,uḷppeṭuttuka / cērkkuka
1244,"to include (to contain, to comprise)",verb,a1,transitive,ഉൾക്കൊള്ളുക / അടങ്ങുക,uḷkkoḷḷuka / aṭaṅṅuka
1245,to interest,verb,a1,transitive,താല്പര്യപ്പെടുത്തുക / ആകർഷിക്കുക,tālparyappeṭuttuka / ākarṣikkuka
1246,to interview (be interviewed),verb,a1,intransitive,അഭിമുഖം നൽകുക / അഭിമുഖീകരിക്കുക,abhimukhaṁ nalkuka / abhimukhīkarikkuka
1247,to interview (conduct),verb,a1,transitive,അഭിമുഖം നടത്തുക / അഭിമുഖം ചെയ്യുക,abhimukhaṁ naṭattuka / abhimukhaṁ ceyyuka
1248,"to join (a group, activity)",verb,a1,transitive,ചേരുക / പങ്കുചേരുക / അംഗമാകുക,cēruka / paṅkucēruka / aṁgamākuka
1249,to join (connect things),verb,a1,transitive,യോജിപ്പിക്കുക / കൂട്ടിച്ചേർക്കുക,yōjippikkuka / kūṭṭiccērkkuka
1250,to keep (to put an object somewhere),verb,a1,transitive,വെക്കുക / സ്ഥാപിക്കുക,vekkuka / sthāpikkuka
1251,to keep (to retain possession),verb,a1,transitive,സൂക്ഷിക്കുക,sūkṣikkuka
1252,"to know (a fact, information)",verb,a1,transitive,അറിയുക,aṟiyuka
1253,"to know (a person, be acquainted with)",verb,a1,transitive,അറിയുക,aṟiyuka
1254,to learn,verb,a1,transitive,പഠിക്കുക,paṭhikkuka
1255,to leave (something behind),verb,a1,transitive,ഉപേക്ഷിക്കുക / വെക്കുക,upēkṣikkuka / vekkuka
1256,"to leave (to exit, depart)",verb,a1,intransitive,പോകുക / പുറപ്പെടുക,pōkuka / puṟappeṭuka
1257,"to let (to permit, allow)",verb,a1,transitive,അനുവദിക്കുക,anuvadikkuka
1258,"to lie (to rest, be horizontal)",verb,a1,intransitive,കിടക്കുക,kiṭakkuka
1259,to lie (to tell an untruth),verb,a1,intransitive,കള്ളം പറയുക,kaḷḷaṁ paṟayuka
1260,to like,verb,a1,transitive,ഇഷ്ടപ്പെടുക,iṣṭappeṭuka
1261,to list,verb,a1,transitive,പട്ടികപ്പെടുത്തുക / ലിസ്റ്റ് ചെയ്യുക,paṭṭikappeṭuttuka / lisṟṟ ceyyuka
1262,"to listen (to advice, to heed)",verb,a1,transitive,ശ്രദ്ധിക്കുക / അനുസരിക്കുക,śraddhikkuka / anusarikkuka
1263,to live (be alive),verb,a1,intransitive,ജീവിക്കുക,jīvikkuka
1264,to live (exist),verb,a1,intransitive,നിലനിൽക്കുക / ജീവിക്കുക,nilanilkkuka / jīvikkuka
1265,to live (have a way of life),verb,a1,intransitive,ജീവിക്കുക / നയിക്കുക,jīvikkuka / nayikkuka
1266,to live (reside),verb,a1,intransitive,താമസിക്കുക / വസിക്കുക,tāmasikkuka / vasikkuka
1267,"to look (to appear, seem)",verb,a1,intransitive,തോന്നുക / കാണപ്പെടുക,tōnnuka / kāṇappeṭuka
1268,to look (to search for),verb,a1,transitive,അന്വേഷിക്കുക / തിരയുക,anvēṣikkuka / tirayuka
1269,to look at,verb,a1,transitive,നോക്കുക,nōkkuka
1270,to lose (a game or contest),verb,a1,transitive,തോൽക്കുക,tōlkkuka
1271,to lose (misplace or suffer deprivation),verb,a1,transitive,കളയുക / നഷ്ടപ്പെടുത്തുക,kaḷayuka / naṣṭappeṭuttuka
1272,"to love (deep affection, familial or romantic)",verb,a1,transitive,സ്നേഹിക്കുക / പ്രണയിക്കുക,snēhikkuka / praṇayikkuka
1273,"to love (to like strongly, to be fond of)",verb,a1,transitive,ഇഷ്ടപ്പെടുക,iṣṭappeṭuka
1274,to make (earn),verb,a1,transitive,സമ്പാദിക്കുക / ഉണ്ടാക്കുക,sampādikkuka / uṇṭākkuka
1275,to make someone laugh,verb,a1,transitive,ചിരിപ്പിക്കുക,cirippikkuka
1276,to match (to be compatible),verb,a1,intransitive,ചേരുക / യോജിക്കുക,cēruka / yōjikkuka
1277,to match (to pair items),verb,a1,transitive,ചേർത്തുവെക്കുക / യോജിപ്പിക്കുക / ഒപ്പിക്കുക,cērttuvekkuka / yōjippikkuka / oppikkuka
1278,to mean (to convey sense or definition),verb,a1,transitive,അർത്ഥമാക്കുക / ഉദ്ദേശിക്കുക / സൂചിപ്പിക്കുക,artthamākkuka / uddēśikkuka / sūcippikkuka
1279,to mean (to intend or plan),verb,a1,intransitive,ഉദ്ദേശിക്കുക / കരുതുക,uddēśikkuka / karutuka
1280,to meet (to gather),verb,a1,intransitive,കൂടുക / കണ്ടുമുട്ടുക / സന്ധിക്കുക,kūṭuka / kaṇṭumuṭṭuka / sandhikkuka
1281,to miss (a scheduled event or transportation),verb,a1,transitive,നഷ്ടപ്പെടുത്തുക / തെറ്റിക്കുക / കിട്ടാതെപോവുക,naṣṭappeṭuttuka / teṟṟikkuka / kiṭṭātepōvuka
1282,"to miss (longing for someone, something)",verb,a1,transitive,ഓർമ്മിക്കുക / കൊതിക്കുക,ōrmmikkuka / kotikkuka
1283,to move (change residence),verb,a1,intransitive,താമസം മാററുക / കുടിയേറുക,tāmasaṁ māṟaṟuka / kuṭiyēṟuka
1284,to move (house),verb,a1,intransitive,താമസം മാററുക / കുടിയേറുക,tāmasaṁ māṟaṟuka / kuṭiyēṟuka
1285,to name (to identify or specify),verb,a1,transitive,പേരിടുക / നാമകരണം ചെയ്യുക,pēriṭuka / nāmakaraṇaṁ ceyyuka
1286,"to need (necessity, formal requirement)",verb,a1,intransitive,ആവശ്യമായിരിക്കുക / വേണ്ടിവരുക,āvaśyamāyirikkuka / vēṇṭivaruka
1287,"to need (simple requirement, want)",verb,a1,transitive,ആവശ്യപ്പെടുക,āvaśyappeṭuka
1288,to open,verb,a1,transitive,തുറക്കുക,tuṟakkuka
1289,"to open (a business, an event)",verb,a1,transitive,തുടങ്ങുക / ഉദ്ഘാടനം ചെയ്യുക / ആരംഭിക്കുക,tuṭaṅṅuka / udghāṭanaṁ ceyyuka / āraṁbhikkuka
1290,"to order (food, goods)",verb,a1,transitive,ഓർഡർ ചെയ്യുക / ആവശ്യപ്പെടുക,ōrḍar ceyyuka / āvaśyappeṭuka
1291,to order (to command),verb,a1,transitive,ആജ്ഞാപിക്കുക / കൽപ്പിക്കുക / നിർദ്ദേശിക്കുക,ājñāpikkuka / kalppikkuka / nirddēśikkuka
1292,to own,adjective,a1,transitive,സ്വന്തമാക്കുക / ഉടമസ്ഥനായിരിക്കുക,svantamākkuka / uṭamasthanāyirikkuka
1293,"to paint (a wall, surface)",verb,a1,transitive,പെയിന്റ് ചെയ്യുക / ചായം പൂശുക,peyinṟ ceyyuka / cāyaṁ pūśuka
1294,"to paint (an artwork, picture)",verb,a1,transitive,ചിത്രം വരയ്ക്കുക / വരയ്ക്കുക,citraṁ varaykkuka / varaykkuka
1295,to park,verb,a1,transitive,പാർക്ക് ചെയ്യുക / നിർത്തുക,pārkk ceyyuka / nirttuka
1296,to pay,verb,a1,nan,പണം നൽകുക / പണം അടയ്ക്കുക / കൊടുക്കുക,paṇaṁ nalkuka / paṇaṁ aṭaykkuka / koṭukkuka
1297,to pay (general),verb,a1,transitive,പണം നൽകുക / പണം അടയ്ക്കുക / കൊടുക്കുക,paṇaṁ nalkuka / paṇaṁ aṭaykkuka / koṭukkuka
1298,to pay (make formal payment),verb,a1,transitive,അടയ്ക്കുക / ഒടുക്കുക / തീർപ്പാക്കുക,aṭaykkuka / oṭukkuka / tīrppākkuka
1299,to plan,verb,a1,transitive,ആസൂത്രണം ചെയ്യുക / പദ്ധതിയിടുക / പ്ലാൻ ചെയ്യുക,āsūtraṇaṁ ceyyuka / paddhatiyiṭuka / plān ceyyuka
1300,"to play (an instrument, music)",verb,a1,transitive,വായിക്കുക / മീട്ടുക,vāyikkuka / mīṭṭuka
1301,to post (mail),verb,a1,transitive,അയക്കുക / തപാൽ അയക്കുക,ayakkuka / tapāl ayakkuka
1302,to post (online content),verb,a1,transitive,പോസ്റ്റ് ചെയ്യുക / പ്രസിദ്ധീകരിക്കുക / പങ്കുവെക്കുക,pōsṟṟ ceyyuka / prasiddhīkarikkuka / paṅkuvekkuka
1303,to prefer,verb,a1,transitive,കൂടുതൽ ഇഷ്ടപ്പെടുക / തിരഞ്ഞെടുക്കുക / താല്പര്യപ്പെടുക,kūṭutal iṣṭappeṭuka / tiraññeṭukkuka / tālparyappeṭuka
1304,"to prepare (food, a meal)",verb,a1,transitive,പാചകം ചെയ്യുക / ഉണ്ടാക്കുക,pācakaṁ ceyyuka / uṇṭākkuka
1305,to prepare (to get ready),verb,a1,transitive,തയ്യാറാക്കുക / ഒരുക്കുക,tayyāṟākkuka / orukkuka
1306,to proceed,verb,a1,intransitive,മുന്നോട്ട് പോകുക / തുടരുക,munnōṭṭ pōkuka / tuṭaruka
1307,"to put (to place, keep)",verb,a1,transitive,വെക്കുക / ഇടുക,vekkuka / iṭuka
1308,to put (to wear clothes),verb,a1,transitive,ധരിക്കുക / ഇടുക,dharikkuka / iṭuka
1309,to rain,verb,a1,intransitive,മഴ പെയ്യുക,maḻa peyyuka
1310,to read,verb,a1,nan,വായിക്കുക,vāyikkuka
1311,"to relax (to calm down, loosen tension)",verb,a1,intransitive,ശാന്തമാവുക / ആശ്വസിക്കുക,śāntamāvuka / āśvasikkuka
1312,"to relax (to take a rest, leisure)",verb,a1,intransitive,വിശ്രമിക്കുക / ആശ്വസിക്കുക,viśramikkuka / āśvasikkuka
1313,to remind,verb,a1,transitive,ഓർമ്മിപ്പിക്കുക,ōrmmippikkuka
1314,"to respect (person, feelings, honor)",verb,a1,transitive,ബഹുമാനിക്കുക / ആദരിക്കുക,bahumānikkuka / ādarikkuka
1315,to return (to come back),verb,a1,intransitive,തിരികെ വരിക / മടങ്ങുക,tirike varika / maṭaṅṅuka
1316,to return (to give back an object),verb,a1,transitive,തിരികെ നൽകുക / മടക്കി നൽകുക,tirike nalkuka / maṭakki nalkuka
1317,to ride,verb,a1,transitive,ഓടിക്കുക / സവാരി ചെയ്യുക,ōṭikkuka / savāri ceyyuka
1318,"to run (liquid, flow)",verb,a1,intransitive,ഒഴുകുക,oḻukuka
1319,to see (perceive),verb,a1,intransitive,കാണുക,kāṇuka
1320,to sell,verb,a1,transitive,വിൽക്കുക,vilkkuka
1321,to send,verb,a1,transitive,അയക്കുക / കൊടുക്കുക,ayakkuka / koṭukkuka
1322,"to share (information, opinion)",verb,a1,transitive,പങ്കുവെക്കുക / അറിയിക്കുക,paṅkuvekkuka / aṟiyikkuka
1323,"to share (material possessions, food)",verb,a1,transitive,പങ്കുവെക്കുക / ഭാഗം വെക്കുക,paṅkuvekkuka / bhāgaṁ vekkuka
1324,to shop,verb,a1,transitive,സാധനങ്ങൾ വാങ്ങുക / ഷോപ്പിംഗ് ചെയ്യുക,sādhanaṅṅaḷ vāṅṅuka / ṣōppiṁg ceyyuka
1325,to show,verb,a1,transitive,കാണിക്കുക / പ്രദർശിപ്പിക്കുക,kāṇikkuka / pradarśippikkuka
1326,to sing,verb,a1,intransitive,പാടുക,pāṭuka
1327,to sit,verb,a1,intransitive,ഇരിക്കുക,irikkuka
1328,to sleep (respectful),verb,a1,intransitive,പള്ളികൊള്ളുക / ഉറങ്ങുക,paḷḷikoḷḷuka / uṟaṅṅuka
1329,"to sleep (standard, familiar)",verb,a1,intransitive,ഉറങ്ങുക,uṟaṅṅuka
1330,to snow,verb,a1,intransitive,മഞ്ഞ് പെയ്യുക,maññ peyyuka
1331,to sound (make a noise),verb,a1,intransitive,ശബ്ദമുണ്ടാക്കുക / മുഴങ്ങുക,śabdamuṇṭākkuka / muḻaṅṅuka
1332,"to sound (to seem, to appear)",verb,a1,intransitive,തോന്നുക / അനുഭവപ്പെടുക,tōnnuka / anubhavappeṭuka
1333,to speak,verb,a1,intransitive,സംസാരിക്കുക,saṁsārikkuka
1334,to spell,verb,a1,transitive,അക്ഷരം പറയുക,akṣaraṁ paṟayuka
1335,to spell (letters),verb,a1,transitive,അക്ഷരം പറയുക,akṣaraṁ paṟayuka
1336,to spend (money),verb,a1,transitive,ചെലവഴിക്കുക / ചിലവാക്കുക,celavaḻikkuka / cilavākkuka
1337,to spend (time),verb,a1,transitive,ചെലവഴിക്കുക,celavaḻikkuka
1338,"to start (to be startled, frightened)",verb,a1,nan,ഞെട്ടുക,ñeṭṭuka
1339,"to start (to begin, process starts)",verb,a1,intransitive,തുടങ്ങുക / ആരംഭിക്കുക,tuṭaṅṅuka / āraṁbhikkuka
1340,to start (to initiate an action),verb,a1,transitive,തുടങ്ങുക / ആരംഭിക്കുക,tuṭaṅṅuka / āraṁbhikkuka
1341,"to stay (lodge, reside)",verb,a1,intransitive,താമസിക്കുക,tāmasikkuka
1342,to stay (remain in place),verb,a1,intransitive,നിൽക്കുക / തങ്ങുക,nilkkuka / taṅṅuka
1343,to stop (moving),verb,a1,intransitive,നിൽക്കുക,nilkkuka
1344,to stop (something),verb,a1,transitive,നിർത്തുക / അവസാനിപ്പിക്കുക,nirttuka / avasānippikkuka
1345,to study (academic),verb,a1,transitive,പഠിക്കുക,paṭhikkuka
1346,to swim,verb,a1,intransitive,നീന്തുക,nīntuka
1347,to switch off,verb,a1,transitive,ഓഫ് ചെയ്യുക / അണയ്ക്കുക,ōph ceyyuka / aṇaykkuka
1348,to switch on,verb,a1,transitive,ഓൺ ചെയ്യുക / പ്രവർത്തിപ്പിക്കുക,ōṇ ceyyuka / pravarttippikkuka
1349,"to take (medicine, ingest)",verb,a1,transitive,കഴിക്കുക,kaḻikkuka
1350,"to take (physical object, receive)",verb,a1,transitive,എടുക്കുക / സ്വീകരിക്കുക,eṭukkuka / svīkarikkuka
1351,"to take (transport, carry someone or something)",verb,a1,transitive,കൊണ്ടുപോകുക / കൂട്ടിക്കൊണ്ടുപോകുക,koṇṭupōkuka / kūṭṭikkoṇṭupōkuka
1352,to talk,verb,a1,intransitive,സംസാരിക്കുക / പറയുക,saṁsārikkuka / paṟayuka
1353,to talk (to converse),verb,a1,intransitive,സംസാരിക്കുക / സംഭാഷണം നടത്തുക,saṁsārikkuka / saṁbhāṣaṇaṁ naṭattuka
1354,to teach,verb,a1,transitive,പഠിപ്പിക്കുക / അദ്ധ്യാപനം നടത്തുക,paṭhippikkuka / addhyāpanaṁ naṭattuka
1355,to telephone,verb,a1,transitive,ഫോൺ ചെയ്യുക / വിളിക്കുക,phōṇ ceyyuka / viḷikkuka
1356,to tell (to distinguish or know apart),verb,a1,transitive,തിരിച്ചറിയുക / വേർതിരിച്ചറിയുക,tiriccaṟiyuka / vērtiriccaṟiyuka
1357,to test (examine),verb,a1,transitive,പരിശോധിക്കുക / പരീക്ഷിക്കുക,pariśōdhikkuka / parīkṣikkuka
1358,to test (try out),verb,a1,transitive,പരീക്ഷിക്കുക / ശ്രമിക്കുക,parīkṣikkuka / śramikkuka
1359,to thank (saying thanks),verb,a1,transitive,നന്ദി പറയുക / നന്ദി രേഖപ്പെടുത്തുക,nandi paṟayuka / nandi rēkhappeṭuttuka
1360,"to think (to feel, have an opinion)",verb,a1,intransitive,തോന്നുക / കരുതുക,tōnnuka / karutuka
1361,"to travel (to tour, roam)",verb,a1,intransitive,യാത്ര ചെയ്യുക / സഞ്ചരിക്കുക,yātra ceyyuka / sañcarikkuka
1362,"to try (clothing, on)",verb,a1,transitive,ഇട്ടുനോക്കുക,iṭṭunōkkuka
1363,"to try (food, taste)",verb,a1,transitive,രുചിച്ചുനോക്കുക,ruciccunōkkuka
1364,"to turn (an object, key)",verb,a1,transitive,തിരിക്കുക,tirikkuka
1365,"to turn (direction, self)",verb,a1,intransitive,തിരിയുക,tiriyuka
1366,to understand (to realize),verb,a1,intransitive,മനസ്സിലാക്കുക / ഗ്രഹിക്കുക,manassilākkuka / grahikkuka
1367,to use,verb,a1,transitive,ഉപയോഗിക്കുക,upayōgikkuka
1368,to visit (tourist location or travel),verb,a1,intransitive,സന്ദർശിക്കുക / പോയി കാണുക,sandarśikkuka / pōyi kāṇuka
1369,to wait,verb,a1,intransitive,കാത്തിരിക്കുക,kāttirikkuka
1370,to wake (oneself up),verb,a1,intransitive,ഉണരുക,uṇaruka
1371,to wake (someone else up),verb,a1,transitive,ഉണർത്തുക,uṇarttuka
1372,to want (to desire or wish),verb,a1,transitive,ആഗ്രഹിക്കുക / വേണ്ടുക,āgrahikkuka / vēṇṭuka
1373,"to wash (objects, clothes, hands)",verb,a1,transitive,കഴുകുക,kaḻukuka
1374,"to wash (the whole body, to bathe)",verb,a1,transitive,കുളിക്കുക,kuḷikkuka
1375,"to watch (to guard, supervise)",verb,a1,transitive,ശ്രദ്ധിക്കുക / നിരീക്ഷിക്കുക / കാവൽ നിൽക്കുക,śraddhikkuka / nirīkṣikkuka / kāval nilkkuka
1376,"to watch (viewing media, performance)",verb,a1,transitive,കാണുക / വീക്ഷിക്കുക,kāṇuka / vīkṣikkuka
1377,"to wear (clothes, jewelry)",verb,a1,transitive,ധരിക്കുക / അണിയുക,dharikkuka / aṇiyuka
1378,"to wear (footwear, shoes)",verb,a1,transitive,ധരിക്കുക / ഇടുക,dharikkuka / iṭuka
1379,to welcome,verb,a1,transitive,സ്വാഗതം ചെയ്യുക / വരവേൽക്കുക,svāgataṁ ceyyuka / varavēlkkuka
1380,"to win (a competition, game)",verb,a1,transitive,ജയിക്കുക / വിജയിക്കുക,jayikkuka / vijayikkuka
1381,to win (support or trust),verb,a1,transitive,നേടുക / പിടിച്ചുപറ്റുക,nēṭuka / piṭiccupaṟṟuka
1382,"to wipe clean (surface, spill)",verb,a1,transitive,തുടയ്ക്കുക / വൃത്തിയാക്കുക,tuṭaykkuka / vr̥ttiyākkuka
1383,to work,verb,a1,intransitive,പ്രവർത്തിക്കുക / പണിയെടുക്കുക,pravarttikkuka / paṇiyeṭukkuka
1384,to work (earn livelihood),verb,a1,intransitive,ജോലി ചെയ്യുക / പണിയെടുക്കുക,jōli ceyyuka / paṇiyeṭukkuka
1385,to write,verb,a1,transitive,എഴുതുക,eḻutuka
1386,today,noun,a1,nan,ഇന്ന്,inn
1387,today (casual spoken),adverb,a1,nan,ഇന്ന്,inn
1388,today (formal/standard),noun,a1,nan,ഇന്ന്,inn
1389,together,adverb,a1,nan,ഒരുമിച്ച് / ഒന്നിച്ചു,orumicc / onniccu
1390,"toilet (restroom, bathroom)",noun,a1,nan,ടോയ്‌ലറ്റ് / കക്കൂസ് / ശുചിമുറി,ṭōylaṟṟ / kakkūs / śucimuṟi
1391,"toilet (restroom, bathroom, polite)",noun,a1,nan,ശുചിമുറി / ടോയ്‌ലറ്റ്,śucimuṟi / ṭōylaṟṟ
1392,tomato,noun,a1,nan,തക്കാളി,takkāḷi
1393,tomorrow,noun,a1,nan,നാളെ,nāḷe
1394,tonight,noun,a1,nan,ഇന്ന് രാത്രി / രാത്രി,inn rātri / rātri
1395,"too (also, in addition)",adverb,a1,nan,-ഉം / കൂടാതെ / അതുപോലെ,-uṁ / kūṭāte / atupōle
1396,too (excessively),adverb,a1,nan,അധികം / കൂടുതൽ / അമിതമായി,adhikaṁ / kūṭutal / amitamāyi
1397,"tooth (formal, anatomical)",noun,a1,nan,ദന്തം,dantaṁ
1398,tooth (general),noun,a1,nan,പല്ല്,pall
1399,topic,noun,a1,nan,വിഷയം / പ്രതിപാദ്യവിഷയം,viṣayaṁ / pratipādyaviṣayaṁ
1400,tourist,noun,a1,nan,വിനോദസഞ്ചാരി / സഞ്ചാരി,vinōdasañcāri / sañcāri
1401,town (municipality),noun,a1,nan,നഗരം / മുനിസിപ്പാലിറ്റി,nagaraṁ / munisippāliṟṟi
1402,"town (small, or one's hometown)",noun,a1,nan,ചെറുപട്ടണം / സ്വദേശം / നാട്,ceṟupaṭṭaṇaṁ / svadēśaṁ / nāṭ
1403,train,noun,a1,nan,ട്രെയിൻ / തീവണ്ടി,ṭreyin / tīvaṇṭi
1404,travel,noun,a1,nan,യാത്ര,yātra
1405,tree,noun,a1,nan,മരം,maraṁ
1406,trip (journey),noun,a1,nan,യാത്ര / ട്രിപ്പ്,yātra / ṭripp
1407,trip (stumble),noun,a1,nan,തട്ടിവീഴ്ച,taṭṭivīḻca
1408,"true (genuine, real)",adjective,a1,nan,യഥാർത്ഥ / സത്യമായ / ശരിയായ,yathārttha / satyamāya / śariyāya
1409,tuesday,noun,a1,nan,ചൊവ്വാഴ്ച / ചൊവ്വ,covvāḻca / covva
1410,turn (bend in road),noun,a1,nan,വളവ്,vaḷav
1411,turn (sequence in order),noun,a1,nan,ഊഴം,ūḻaṁ
1412,twelve,number,a1,nan,പന്ത്രണ്ട്,pantraṇṭ
1413,twenty,number,a1,nan,ഇരുപത്,irupat
1414,twice,adverb,a1,nan,രണ്ടുതവണ / രണ്ടുപ്രാവശ്യം,raṇṭutavaṇa / raṇṭuprāvaśyaṁ
1415,two,number,a1,nan,രണ്ട്,raṇṭ
1416,type,noun,a1,nan,ടൈപ്പ്,ṭaipp
1417,"type (kind, sort)",noun,a1,nan,തരം / ഇനം / വർഗ്ഗം,taraṁ / inaṁ / varggaṁ
1418,umbrella,noun,a1,nan,കുട,kuṭa
1419,uncle (father's older brother),noun,a1,nan,മൂത്തച്ഛൻ,mūttacchan
1420,uncle (father's younger brother),noun,a1,nan,ചെറിയച്ഛൻ / അമ്മാവൻ,ceṟiyacchan / ammāvan
1421,uncle (mother's brother),noun,a1,nan,അമ്മാവൻ,ammāvan
1422,"under (less than, quantity)",adverb,a1,nan,താഴെ / കുറവ്,tāḻe / kuṟav
1423,"under (location, underneath)",adverb,a1,nan,താഴെ / കീഴിൽ,tāḻe / kīḻil
1424,university,noun,a1,nan,സർവ്വകലാശാല,sarvvakalāśāla
1425,unripe fruit (noun),adjective,a1,nan,പച്ച / പാകമാകാത്ത,pacca / pākamākātta
1426,until,preposition,a1,nan,വരെ / അതുവരെ,vare / atuvare
1427,up (awake),adverb,a1,nan,ഉണർന്ന്,uṇarnn
