english_word,word_class,malayalam_translation,transliteration,verb_transitivity,level
cooker (appliance),noun,കുക്കർ,kukkar,,a2
cooker (person who cooks),noun,പാചകക്കാരൻ / പാചകക്കാരി / പാചകൻ,pācakakkāran / pācakakkāri / pācakan,,a2
"cool (excellent, stylish)",adjective,അടിപൊളി / കിടിലൻ / കൂൾ,aṭipoḷi / kiṭilan / kūḷ,,a2
cool (stylish),adjective,സ്റ്റൈലിഷ് / അടിപൊളി / കൂൾ,sṟṟailiṣ / aṭipoḷi / kūḷ,,a2
copy,noun,പകർപ്പ് / കോപ്പി,pakarpp / kōppi,,a2
"copy (photocopy, printed version)",noun,പകർപ്പ് / കോപ്പി,pakarpp / kōppi,,a2
corner (street intersection),noun,കവല / മൂല,kavala / mūla,,a2
correctly,adverb,ശരിയായി / കൃത്യമായി,śariyāyi / kr̥tyamāyi,,a2
country (formal state),noun,രാജ്യം / ദേശം,rājyaṁ / dēśaṁ,,a2
couple (a few),noun,ഏതാനും / രണ്ടോ മൂന്നോ,ētānuṁ / raṇṭō mūnnō,,a2
"cousin (older female, parallel)",noun,അമ്മാവന്റെ മകൾ / അമ്മായിയുടെ മകൾ,ammāvanṟe makaḷ / ammāyiyuṭe makaḷ,,a2
"cousin (older male, parallel)",noun,അമ്മാവന്റെ മകൻ / അമ്മായിയുടെ മകൻ,ammāvanṟe makan / ammāyiyuṭe makan,,a2
crazy (exciting),adjective,ആവേശകരമായ / രസകരമായ / ഉത്തേജിപ്പിക്കുന്ന,āvēśakaramāya / rasakaramāya / uttējippikkunna,,a2
crazy (insane),adjective,ഭ്രാന്തമായ / മാനസികരോഗമുള്ള / ബുദ്ധിഭ്രമമുള്ള,bhrāntamāya / mānasikarōgamuḷḷa / buddhibhramamuḷḷa,,a2
crazy (person),adjective,ഭ്രാന്തനായ / ബുദ്ധിഭ്രമമുള്ള / മാനസികരോഗിയായ,bhrāntanāya / buddhibhramamuḷḷa / mānasikarōgiyāya,,a2
crazy (wild or exciting),adjective,ആവേശകരമായ / ഉന്മേഷകരമായ / രസകരമായ,āvēśakaramāya / unmēṣakaramāya / rasakaramāya,,a2
creative,adjective,സർഗ്ഗാത്മകമായ / സൃഷ്ടിപരമായ / ഭാവനാസമ്പന്നമായ,sarggātmakamāya / sr̥ṣṭiparamāya / bhāvanāsampannamāya,,a2
credit (acknowledgment),noun,അംഗീകാരം / പ്രശംസ / ബഹുമതി,aṁgīkāraṁ / praśaṁsa / bahumati,,a2
"credit (financial system, ability to borrow)",noun,ക്രെഡിറ്റ് / കടം / വായ്പ,kreḍiṟṟ / kaṭaṁ / vāypa,,a2
crime,noun,കുറ്റം / കുറ്റകൃത്യം / അപരാധം,kuṟṟaṁ / kuṟṟakr̥tyaṁ / aparādhaṁ,,a2
criminal,noun,കുറ്റവാളി / കുറ്റകൃത്യം ചെയ്തയാൾ,kuṟṟavāḷi / kuṟṟakr̥tyaṁ ceytayāḷ,,a2
cross (intersection),noun,കവല / കൂടിച്ചേരൽ / സന്ധി,kavala / kūṭiccēral / sandhi,,a2
"cross (intersection, junction, common usage)",noun,കവല / കൂടിച്ചേരൽ / സന്ധി,kavala / kūṭiccēral / sandhi,,a2
cross (religious symbol),noun,കുരിശ്,kuriś,,a2
crowd,noun,ജനക്കൂട്ടം / ആൾക്കൂട്ടം / കൂട്ടം,janakkūṭṭaṁ / āḷkkūṭṭaṁ / kūṭṭaṁ,,a2
"crowded (congested, dense)",adjective,തിരക്കുള്ള / തിങ്ങിനിറഞ്ഞ / ജനനിബിഡമായ,tirakkuḷḷa / tiṅṅiniṟañña / jananibiḍamāya,,a2
crowded (high density),adjective,തിരക്കുള്ള / തിങ്ങിനിറഞ്ഞ / ജനനിബിഡമായ,tirakkuḷḷa / tiṅṅiniṟañña / jananibiḍamāya,,a2
cupboard,noun,അലമാര / ഷെൽഫ് / കബോർഡ്,alamāra / ṣelph / kabōrḍ,,a2
curly (hair),adjective,ചുരുണ്ട / ചുരുണ്ടുകൂടിയ,curuṇṭa / curuṇṭukūṭiya,,a2
curly (winding or crooked),adjective,വളഞ്ഞ / ചുരുണ്ട / വളഞ്ഞുപുളഞ്ഞ,vaḷañña / curuṇṭa / vaḷaññupuḷañña,,a2
cycle (bicycle),noun,സൈക്കിൾ / ബൈക്ക്,saikkiḷ / baikk,,a2
cycle (period of time or recurring sequence),noun,ചക്രം / ആവർത്തനചക്രം / കാലചക്രം,cakraṁ / āvarttanacakraṁ / kālacakraṁ,,a2
daily (adjective),adjective,ദിവസേനയുള്ള / ദിനവും / നിത്യേനയുള്ള,divasēnayuḷḷa / dinavuṁ / nityēnayuḷḷa,,a2
daily routine,noun,ദിനചര്യ / ദിവസേനയുള്ള കാര്യങ്ങൾ,dinacarya / divasēnayuḷḷa kāryaṅṅaḷ,,a2
"dance (casual, folk)",noun,നൃത്തം / കളി / ആട്ടം,nr̥ttaṁ / kaḷi / āṭṭaṁ,,a2
danger,noun,അപകടം / ഭീഷണി / ആപത്ത്,apakaṭaṁ / bhīṣaṇi / āpatt,,a2
dark,noun,ഇരുട്ട് / അന്ധകാരം / കൂരിരുട്ട്,iruṭṭ / andhakāraṁ / kūriruṭṭ,,a2
dark (lack of light),noun,ഇരുട്ട് / അന്ധകാരം,iruṭṭ / andhakāraṁ,,a2
data,noun,വിവരങ്ങൾ / ഡാറ്റ / ദത്തങ്ങൾ,vivaraṅṅaḷ / ḍāṟṟa / dattaṅṅaḷ,,a2
dead (battery),adjective,തീർന്ന / ചാർജ്ജ് ഇല്ലാത്ത,tīrnna / cārjj illātta,,a2
dead (powerless or depleted),adjective,പ്രവർത്തനരഹിതമായ / ഊർജ്ജമില്ലാത്ത,pravarttanarahitamāya / ūrjjamillātta,,a2
dead (powerless or inactive),adjective,പ്രവർത്തനരഹിതമായ / നിഷ്ക്രിയമായ,pravarttanarahitamāya / niṣkriyamāya,,a2
dear,exclamation,അയ്യോ,ayyō,,a2
dear (exclamation),exclamation,അയ്യോ,ayyō,,a2
"death (formal, literary)",noun,മരണം / നിര്യാണം / ദേഹവിയോഗം,maraṇaṁ / niryāṇaṁ / dēhaviyōgaṁ,,a2
decision (formal resolution),noun,തീരുമാനം / നിശ്ചയം / വിധി,tīrumānaṁ / niścayaṁ / vidhi,,a2
deep (conceptual or profound),adjective,ആഴത്തിലുള്ള / ഗഹനമായ / അഗാധമായ,āḻattiluḷḷa / gahanamāya / agādhamāya,,a2
deep (intense color),adjective,കടുത്ത / ഇരുണ്ട,kaṭutta / iruṇṭa,,a2
definitely (absolutely certain),adverb,തീർച്ചയായും / ഉറപ്പായും / നിസ്സംശയമായി,tīrccayāyuṁ / uṟappāyuṁ / nissaṁśayamāyi,,a2
degree (academic qualification),noun,ബിരുദം / ഡിഗ്രി,birudaṁ / ḍigri,,a2
degree (extent or amount),noun,അളവ് / തോത് / പരിധി,aḷav / tōt / paridhi,,a2
delicious (flavorful),adjective,സ്വാദിഷ്ടമായ / രുചികരമായ / നല്ല രുചിയുള്ള,svādiṣṭamāya / rucikaramāya / nalla ruciyuḷḷa,,a2
dentist,noun,ദന്തഡോക്ടർ / ഡെന്റിസ്റ്റ്,dantaḍōkṭar / ḍenṟisṟṟ,,a2
"department (academic unit, section)",noun,വകുപ്പ് / വിഭാഗം / ഡിപ്പാർട്ട്മെന്റ്,vakupp / vibhāgaṁ / ḍippārṭṭmenṟ,,a2
desert,noun,മരുഭൂമി,marubhūmi,,a2
"designer (attributive, high-end item)",noun,ഡിസൈനർ / രൂപകൽപ്പന ചെയ്ത,ḍisainar / rūpakalppana ceyta,,a2
device (a plan or trick),noun,തന്ത്രം / ഉപായം / കൗശലം,tantraṁ / upāyaṁ / kauśalaṁ,,a2
diary,noun,ഡയറി / ദിനക്കുറിപ്പ്,ḍayaṟi / dinakkuṟipp,,a2
"different (distinct, formal)",adjective,വ്യത്യസ്തമായ / ഭിന്നമായ / വിഭിന്നമായ,vyatyastamāya / bhinnamāya / vibhinnamāya,,a2
"different (distinct, unlike)",adjective,വ്യത്യസ്തമായ / വേറിട്ട,vyatyastamāya / vēṟiṭṭa,,a2
differently,adverb,വ്യത്യസ്തമായി / വേറിട്ട രീതിയിൽ,vyatyastamāyi / vēṟiṭṭa rītiyil,,a2
"difficult (challenging, rigorous)",adjective,പ്രയാസമുള്ള / കഠിനമായ / ദുഷ്കരമായ,prayāsamuḷḷa / kaṭhinamāya / duṣkaramāya,,a2
"difficult (hard, challenging, general)",adjective,പ്രയാസമുള്ള / ബുദ്ധിമുട്ടുള്ള / വിഷമമുള്ള / കഠിനമായ,prayāsamuḷḷa / buddhimuṭṭuḷḷa / viṣamamuḷḷa / kaṭhinamāya,,a2
direct (frank),adjective,നേരായ / തുറന്നുപറയുന്ന / വ്യക്തമായ,nērāya / tuṟannupaṟayunna / vyaktamāya,,a2
"direct (path, route)",adjective,നേരായ / നേരിട്ടുള്ള,nērāya / nēriṭṭuḷḷa,,a2
direction (instruction),noun,നിർദ്ദേശം / ഉപദേശം / ആജ്ഞ,nirddēśaṁ / upadēśaṁ / ājña,,a2
direction (orientation),noun,ദിശ / വശം / ഭാഗം,diśa / vaśaṁ / bhāgaṁ,,a2
"director (film, theatre)",noun,സംവിധായകൻ / ഡയറക്ടർ,saṁvidhāyakan / ḍayaṟakṭar,,a2
"dirty (obscene, immoral)",adjective,അശ്ലീലമായ / വൃത്തികെട്ട / മ്ലേച്ഛമായ,aślīlamāya / vr̥ttikeṭṭa / mlēcchamāya,,a2
"disaster (complete failure, mess)",noun,ദുരന്തം / വിപത്ത് / പരാജയം,durantaṁ / vipatt / parājayaṁ,,a2
discovery,noun,കണ്ടെത്തൽ / കണ്ടുപിടിത്തം,kaṇṭettal / kaṇṭupiṭittaṁ,,a2
"discussion (casual talk, conversation)",noun,സംഭാഷണം / സംവാദം / ചർച്ച,saṁbhāṣaṇaṁ / saṁvādaṁ / carcca,,a2
distance,noun,ദൂരം / അകലം,dūraṁ / akalaṁ,,a2
"divorced (separated, unrelated)",adjective,വിവാഹമോചിതനായ / വേർപിരിഞ്ഞ,vivāhamōcitanāya / vērpiriñña,,a2
doctor (academic title),noun,ഡോക്ടർ / പണ്ഡിതൻ,ḍōkṭar / paṇḍitan,,a2
document,noun,രേഖ / പ്രമാണം / ഡോക്യുമെന്റ്,rēkha / pramāṇaṁ / ḍōkyumenṟ,,a2
double (designed for two people),determiner,ഇരട്ട / രണ്ടെണ്ണം ചേർന്ന,iraṭṭa / raṇṭeṇṇaṁ cērnna,,a2
double (twice the amount or size),pronoun,ഇരട്ടി / രണ്ടിരട്ടി,iraṭṭi / raṇṭiraṭṭi,,a2
download,noun,ഡൗൺലോഡ്,ḍauṇlōḍ,,a2
"download (action, process)",noun,ഡൗൺലോഡ് ചെയ്യൽ / ഡൗൺലോഡിംഗ്,ḍauṇlōḍ ceyyal / ḍauṇlōḍiṁg,,a2
downstairs (adjective: relating to lower floor),adjective,താഴത്തെ നിലയിലെ / താഴത്തെ,tāḻatte nilayile / tāḻatte,,a2
"downstairs (adverb of place, movement)",adjective,താഴേക്ക് / താഴെ,tāḻēkk / tāḻe,,a2
downstairs (movement),adjective,താഴേക്ക്,tāḻēkk,intransitive,a2
downstairs (moving to a lower floor),adverb,താഴേക്ക്,tāḻēkk,,a2
"drama (melodrama, fuss)",noun,നാടകം / ബഹളം / കോലാഹലം,nāṭakaṁ / bahaḷaṁ / kōlāhalaṁ,,a2
drama (theatrical performance),noun,നാടകം / രംഗനാടകം,nāṭakaṁ / raṁganāṭakaṁ,,a2
"drawing (the activity, art)",noun,വരയ്ക്കൽ / ചിത്രരചന,varaykkal / citraracana,,a2
"drawing (the picture, sketch)",noun,ചിത്രം / രേഖാചിത്രം / വരയ്ക്കൽ,citraṁ / rēkhācitraṁ / varaykkal,,a2
dream (aspiration),noun,സ്വപ്നം / ലക്ഷ്യം / അഭിലാഷം,svapnaṁ / lakṣyaṁ / abhilāṣaṁ,,a2
dream (during sleep),noun,സ്വപ്നം,svapnaṁ,,a2
driving,noun,ഡ്രൈവിംഗ് / വാഹനമോടിക്കൽ,ḍraiviṁg / vāhanamōṭikkal,,a2
drug (medicine),noun,മരുന്ന് / ഔഷധം,marunn / auṣadhaṁ,,a2
drug (narcotic),noun,മയക്കുമരുന്ന് / ലഹരിവസ്തു,mayakkumarunn / laharivastu,,a2
dry,adjective,ഉണങ്ങിയ / വരണ്ട,uṇaṅṅiya / varaṇṭa,,a2
"earth (soil, ground material)",noun,മണ്ണ് / നിലം,maṇṇ / nilaṁ,,a2
earth (the planet),noun,ഭൂമി / ഭൂഗോളം,bhūmi / bhūgōḷaṁ,,a2
"easily (likely, probably)",adverb,ഒരുപക്ഷേ,orupakṣē,,a2
easily (without difficulty),adverb,എളുപ്പത്തിൽ / അനായാസം,eḷuppattil / anāyāsaṁ,,a2
education,noun,വിദ്യാഭ്യാസം / പഠനം,vidyābhyāsaṁ / paṭhanaṁ,,a2
either (as part of either... or...),pronoun,രണ്ടിലൊന്ന്,raṇṭilonn,,a2
either (at the end of a negative sentence),determiner,ഒന്നും,onnuṁ,,a2
either (in negative clauses),adverb,കൂടി,kūṭi,,a2
"either (in negative clauses, emphasizing 'not too')",adverb,കൂടി,kūṭi,,a2
"either (in negative statements, 'not... either')",adverb,കൂടി,kūṭi,,a2
either (introducing choice),adverb,ഒന്നുകിൽ,onnukil,,a2
"either (one or the other, determiner)",determiner,ഏതെങ്കിലും,ēteṅkiluṁ,,a2
either... or... (choice),determiner,ഒന്നുകിൽ... അല്ലെങ്കിൽ...,onnukil... alleṅkil...,,a2
electric (relating to power),adjective,വൈദ്യുത / ഇലക്ട്രിക്,vaidyuta / ilakṭrik,,a2
electrical,adjective,വൈദ്യുത / ഇലക്ട്രിക്കൽ,vaidyuta / ilakṭrikkal,,a2
electricity,noun,വൈദ്യുതി / ഇലക്ട്രിസിറ്റി,vaidyuti / ilakṭrisiṟṟi,,a2
electronic,adjective,ഇലക്ട്രോണിക്,ilakṭrōṇik,,a2
email (colloquial),noun,ഇമെയിൽ,imeyil,,a2
"email (formal, official document)",noun,ഇമെയിൽ / വൈദ്യുത തപാൽ,imeyil / vaidyuta tapāl,,a2
employee (female staff member),noun,ജീവനക്കാരി / ഉദ്യോഗസ്ഥ / തൊഴിലാളിനി,jīvanakkāri / udyōgastha / toḻilāḷini,,a2
"employer (owner, boss)",noun,തൊഴിലുടമ / മുതലാളി / മേലധികാരി,toḻiluṭama / mutalāḷi / mēladhikāri,,a2
empty (containing nothing),adjective,ഒഴിഞ്ഞ / ശൂന്യമായ / കാലിയായ,oḻiñña / śūnyamāya / kāliyāya,,a2
empty (lacking substance or meaning),adjective,അർത്ഥശൂന്യമായ / നിരർത്ഥകമായ / പൊള്ളയായ,artthaśūnyamāya / nirartthakamāya / poḷḷayāya,,a2
"ending (conclusion of story, event)",noun,അവസാനം / സമാപനം / പരിസമാപ്തി,avasānaṁ / samāpanaṁ / parisamāpti,,a2
"energy (vitality, drive)",noun,ഊർജ്ജം / പ്രസരിപ്പ് / ഉന്മേഷം,ūrjjaṁ / prasaripp / unmēṣaṁ,,a2
engine,noun,എഞ്ചിൻ / യന്ത്രം,eñcin / yantraṁ,,a2
enormous,adjective,വലിയ / ഭീമാകാരമായ / വമ്പിച്ച / അതിബൃഹത്തായ,valiya / bhīmākāramāya / vampicca / atibr̥hattāya,,a2
"environment (natural habitat, ecology)",noun,പരിസ്ഥിതി / പ്രകൃതി,paristhiti / prakr̥ti,,a2
"environment (setting, atmosphere)",noun,ചുറ്റുപാട് / സാഹചര്യം / അന്തരീക്ഷം,cuṟṟupāṭ / sāhacaryaṁ / antarīkṣaṁ,,a2
"equipment (apparatus, instruments)",noun,ഉപകരണങ്ങൾ / സാമഗ്രികൾ / യന്ത്രസാമഗ്രികൾ,upakaraṇaṅṅaḷ / sāmagrikaḷ / yantrasāmagrikaḷ,,a2
error (technical fault),noun,പിഴവ് / തെറ്റ് / തകരാർ,piḻav / teṟṟ / takarār,,a2
especially,adverb,പ്രത്യേകിച്ച് / വിശേഷിച്ച്,pratyēkicc / viśēṣicc,,a2
essay,noun,ഉപന്യാസം / ലേഖനം,upanyāsaṁ / lēkhanaṁ,,a2
even though,conjunction,എങ്കിലും / എന്നിരുന്നാലും / ആണെങ്കിലും,eṅkiluṁ / ennirunnāluṁ / āṇeṅkiluṁ,,a2
everyday,adjective,ദൈനംദിന / നിത്യജീവിതത്തിലെ,dainaṁdina / nityajīvitattile,,a2
everywhere,adverb,എല്ലായിടത്തും / എവിടെയും,ellāyiṭattuṁ / eviṭeyuṁ,,a2
"evidence (proof, documents)",noun,തെളിവ് / രേഖകൾ,teḷiv / rēkhakaḷ,,a2
"evidence (testimony, witness account)",noun,സാക്ഷിമൊഴി / തെളിവ്,sākṣimoḻi / teḷiv,,a2
exact,adjective,കൃത്യമായ / സൂക്ഷ്മമായ / ശരിയായ,kr̥tyamāya / sūkṣmamāya / śariyāya,,a2
"exactly (as confirmation, agreement)",adverb,തീർച്ചയായും / ശരിയാണ് / അതെ,tīrccayāyuṁ / śariyāṇ / ate,,a2
"exactly (precisely, accurately)",adverb,കൃത്യമായി / സൂക്ഷ്മമായി,kr̥tyamāyi / sūkṣmamāyi,,a2
excellent (high quality),adjective,മികച്ച / നല്ല / ഉന്നതമായ,mikacca / nalla / unnatamāya,,a2
"excellent (superb, outstanding)",adjective,അതിഗംഭീരമായ / ഉജ്ജ്വലമായ / മികച്ച,atigaṁbhīramāya / ujjvalamāya / mikacca,,a2
except,preposition,ഒഴികെ / അല്ലാതെ,oḻike / allāte,,a2
excited (agitated or highly stimulated),adjective,ആവേശഭരിതമായ / ഉത്തേജിതമായ,āvēśabharitamāya / uttējitamāya,,a2
"experience (skill, knowledge gained)",noun,അനുഭവം / പരിചയം,anubhavaṁ / paricayaṁ,,a2
"experience (specific event, occurrence)",noun,അനുഭവം / സംഭവം,anubhavaṁ / saṁbhavaṁ,,a2
experiment,noun,പരീക്ഷണം,parīkṣaṇaṁ,,a2
expert,adjective,വിദഗ്ദ്ധനായ / നിപുണനായ,vidagddhanāya / nipuṇanāya,,a2
explanation,noun,വിശദീകരണം / വ്യാഖ്യാനം,viśadīkaraṇaṁ / vyākhyānaṁ,,a2
expression (communication of ideas),noun,പ്രകടനം / ആവിഷ്കാരം,prakaṭanaṁ / āviṣkāraṁ,,a2
expression (facial look),noun,മുഖഭാവം / ഭാവം,mukhabhāvaṁ / bhāvaṁ,,a2
"extreme (radical, farthest end)",adjective,തീവ്രമായ / അങ്ങേയറ്റത്തെ,tīvramāya / aṅṅēyaṟṟatte,,a2
extremely,adverb,വളരെ / അങ്ങേയറ്റം,vaḷare / aṅṅēyaṟṟaṁ,,a2
extremely (literary),adverb,അത്യധികം / പരമമായ,atyadhikaṁ / paramamāya,,a2
"face (surface, aspect)",noun,പ്രതലം / വശം,pratalaṁ / vaśaṁ,,a2
factor (mathematics),noun,ഘടകം,ghaṭakaṁ,,a2
factory (industrial plant),noun,വ്യവസായശാല / നിർമ്മാണശാല,vyavasāyaśāla / nirmmāṇaśāla,,a2
factory (loanword),noun,ഫാക്ടറി,phākṭaṟi,,a2
"fair (just, equitable)",adjective,നീതിയുക്തമായ / ന്യായമായ,nītiyuktamāya / nyāyamāya,,a2
fair (light complexion),adjective,വെളുത്ത / ഇളം നിറമുള്ള,veḷutta / iḷaṁ niṟamuḷḷa,,a2
"fair (moderate, average)",adjective,സാധാരണമായ / മാന്യമായ,sādhāraṇamāya / mānyamāya,,a2
fall (waterfall),noun,വെള്ളച്ചാട്ടം,veḷḷaccāṭṭaṁ,,a2
"false (artificial, fake)",adjective,വ്യാജമായ / കൃത്രിമമായ,vyājamāya / kr̥trimamāya,,a2
"famous (infamous, notorious)",adjective,കുപ്രസിദ്ധമായ,kuprasiddhamāya,,a2
famous (renowned or notorious),adjective,പ്രശസ്തമായ / പ്രസിദ്ധമായ,praśastamāya / prasiddhamāya,,a2
fan (device for air circulation),noun,ഫാൻ / വിശറി,phān / viśaṟi,,a2
"fan (supporter, admirer)",noun,ആരാധകൻ / അനുയായി,ārādhakan / anuyāyi,,a2
farming,noun,കൃഷി / കൃഷിപ്പണി / കൃഷികർമ്മം,kr̥ṣi / kr̥ṣippaṇi / kr̥ṣikarmmaṁ,,a2
fashion (manner),noun,രീതി / ശൈലി / മാതൃക / മട്ട്,rīti / śaili / mātr̥ka / maṭṭ,,a2
fat (adjective),noun,കൊഴുപ്പ് / മേദസ്സ് / നെയ്യ്,koḻupp / mēdass / neyy,,a2
fat (body size),adjective,തടിച്ച / കൊഴുത്ത / വണ്ണമുള്ള,taṭicca / koḻutta / vaṇṇamuḷḷa,,a2
"fat (oily, rich)",adjective,എണ്ണമയമുള്ള / കൊഴുപ്പുള്ള / പുഷ്ടിയുള്ള,eṇṇamayamuḷḷa / koḻuppuḷḷa / puṣṭiyuḷḷa,,a2
fear,noun,പേടി / ഭയം / ഭീതി,pēṭi / bhayaṁ / bhīti,,a2
feature (facial part),noun,മുഖസവിശേഷത / മുഖലക്ഷണം,mukhasaviśēṣata / mukhalakṣaṇaṁ,,a2
female (adult woman),noun,സ്ത്രീ / വനിത / പെണ്ണ്,strī / vanita / peṇṇ,,a2
female (biological class),noun,പെൺവർഗ്ഗം / സ്ത്രീവർഗ്ഗം,peṇvarggaṁ / strīvarggaṁ,,a2
"female (formal, official)",adjective,സ്ത്രീ / വനിതാ / പെൺ,strī / vanitā / peṇ,,a2
"female (general, colloquial)",adjective,പെൺ / സ്ത്രീ,peṇ / strī,,a2
festival (organized event),noun,ആഘോഷം / ഉത്സവം / മേള,āghōṣaṁ / utsavaṁ / mēḷa,,a2
"festival (religious, traditional)",noun,ഉത്സവം / പെരുന്നാൾ / തിരുനാൾ / ആഘോഷം,utsavaṁ / perunnāḷ / tirunāḷ / āghōṣaṁ,,a2
"few (almost none, restrictive)",pronoun,ചുരുക്കം / വിരളം,curukkaṁ / viraḷaṁ,,a2
"fiction (untruth, fabrication)",noun,കെട്ടുകഥ / കള്ളം / മിഥ്യ,keṭṭukatha / kaḷḷaṁ / mithya,,a2
field (sports ground),noun,കളിസ്ഥലം / മൈതാനം / ഗ്രൗണ്ട്,kaḷisthalaṁ / maitānaṁ / grauṇṭ,,a2
"fight (organized struggle, campaign)",noun,സമരം / പോരാട്ടം / യുദ്ധം,samaraṁ / pōrāṭṭaṁ / yuddhaṁ,,a2
fight (physical altercation),noun,അടിപിടി / തല്ല് / വഴക്ക് / സംഘർഷം,aṭipiṭi / tall / vaḻakk / saṁgharṣaṁ,,a2
"figure (number, statistic)",noun,കണക്ക് / സംഖ്യ / അക്കം,kaṇakk / saṁkhya / akkaṁ,,a2
"figure (person, character)",noun,വ്യക്തി / രൂപം / കഥാപാത്രം,vyakti / rūpaṁ / kathāpātraṁ,,a2
"figure (shape, outline)",noun,രൂപം / ആകൃതി / ചിത്രം,rūpaṁ / ākr̥ti / citraṁ,,a2
final (examination),noun,അവസാന പരീക്ഷ / അന്തിമ പരീക്ഷ,avasāna parīkṣa / antima parīkṣa,,a2
"final (match, game)",noun,ഫൈനൽ / അന്തിമ മത്സരം / അവസാന കളി,phainal / antima matsaraṁ / avasāna kaḷi,,a2
final match,noun,ഫൈനൽ മത്സരം / ഫൈനൽ / അന്തിമ മത്സരം,phainal matsaraṁ / phainal / antima matsaraṁ,,a2
"finally (at last, after waiting)",adverb,ഒടുവിൽ / അവസാനം / അന്തിമമായി,oṭuvil / avasānaṁ / antimamāyi,,a2
"finally (lastly, in conclusion)",adverb,അവസാനം / ഒടുവിൽ / ചുരുക്കത്തിൽ,avasānaṁ / oṭuvil / curukkattil,,a2
fine (excellent quality),adjective,നല്ല / മികച്ച / ഉത്തമമായ,nalla / mikacca / uttamamāya,,a2
finger,noun,വിരൽ,viral,,a2
finish (end point),noun,അവസാനം / പൂർത്തീകരണം,avasānaṁ / pūrttīkaraṇaṁ,,a2
finish (surface quality),noun,മിനുസം / പ്രതലം / ഫിനിഷ്,minusaṁ / pratalaṁ / phiniṣ,,a2
"first (firstly, in a list)",adverb,ആദ്യം,ādyaṁ,,a2
"first (initially, previously)",noun,ആദ്യം / തുടക്കത്തിൽ,ādyaṁ / tuṭakkattil,,a2
first (ordinal rank),adjective,ഒന്നാമത്തെ / ആദ്യത്തെ,onnāmatte / ādyatte,,a2
"first (ordinal rank, adjective)",noun,ഒന്നാമത്തേത് / ഒന്നാമൻ,onnāmattēt / onnāman,,a2
firstly,adverb,ആദ്യം / ഒന്നാമതായി,ādyaṁ / onnāmatāyi,,a2
fishing,noun,മീൻപിടിത്തം / മത്സ്യബന്ധനം,mīnpiṭittaṁ / matsyabandhanaṁ,,a2
"fit (suitable, appropriate)",adjective,അനുയോജ്യമായ / യോജിച്ച,anuyōjyamāya / yōjicca,,a2
flat (deflated),adjective,കാറ്റഴിഞ്ഞ / പരന്ന,kāṟṟaḻiñña / paranna,,a2
flight (of stairs),noun,പടികൾ / പടികളുടെ നിര,paṭikaḷ / paṭikaḷuṭe nira,,a2
flu,noun,ഫ്ലൂ / ഇൻഫ്ലുവൻസ,phlū / inphluvansa,,a2
flu (general illness),noun,പനി / ജലദോഷം,pani / jaladōṣaṁ,,a2
fly (clothing flap),noun,സിബ്ബ് / വസ്ത്രത്തിന്റെ മടക്ക്,sibb / vastrattinṟe maṭakk,,a2
flying,noun,പറക്കൽ / വ്യോമയാനം,paṟakkal / vyōmayānaṁ,,a2
flying (quick or hurried),adjective,വേഗത്തിലുള്ള / ധൃതിയിലുള്ള,vēgattiluḷḷa / dhr̥tiyiluḷḷa,,a2
flying (the act of),noun,പറക്കൽ / വ്യോമയാനം,paṟakkal / vyōmayānaṁ,,a2
focus (main point or concentration),noun,ശ്രദ്ധ / ഊന്നൽ,śraddha / ūnnal,,a2
focus (optical clarity),noun,ഫോക്കസ് / വ്യക്തത,phōkkas / vyaktata,,a2
following (after an event or time),adjective,ശേഷമുള്ള / അടുത്ത,śēṣamuḷḷa / aṭutta,,a2
following (next in a sequence or list),adjective,താഴെ പറയുന്ന / അടുത്ത,tāḻe paṟayunna / aṭutta,,a2
following (next in a sequence),adjective,താഴെ പറയുന്ന / അടുത്ത,tāḻe paṟayunna / aṭutta,,a2
for (in support of),preposition,വേണ്ടി / അനുകൂലമായി,vēṇṭi / anukūlamāyi,,a2
foreign,adjective,വിദേശീയമായ / അന്യമായ,vidēśīyamāya / anyamāya,,a2
foreigner (general),noun,വിദേശി / അന്യൻ,vidēśi / anyan,,a2
"forest (formal, official)",noun,വനം / കാട് / അരണ്യം,vanaṁ / kāṭ / araṇyaṁ,,a2
"fork (road, junction)",noun,കവല / വഴി പിരിയുന്നിടം,kavala / vaḻi piriyunniṭaṁ,,a2
"fork (tool, pitchfork)",noun,ഫോർക്ക് / മുൾക്കോൽ,phōrkk / muḷkkōl,,a2
"form (application, request)",noun,ഫോം / അപേക്ഷാ ഫോം,phōṁ / apēkṣā phōṁ,,a2
formal (attire or manner),adjective,ഔപചാരികമായ,aupacārikamāya,,a2
formal (official or procedural),adjective,ഔദ്യോഗികമായ / ഔപചാരികമായ,audyōgikamāya / aupacārikamāya,,a2
formal (procedural),adjective,നടപടിക്രമപരമായ / ഔപചാരികമായ,naṭapaṭikramaparamāya / aupacārikamāya,,a2
"fortunately (formal, written)",adverb,ഭാഗ്യവശാൽ / സൗഭാഗ്യവശാൽ,bhāgyavaśāl / saubhāgyavaśāl,,a2
forward (anticipating),adverb,മുന്നോട്ട്,munnōṭṭ,,a2
free,adverb,സ്വതന്ത്രമായി / വെറുതെ,svatantramāyi / veṟute,,a2
free (without cost),adverb,സൗജന്യമായി / വെറുതെ,saujanyamāyi / veṟute,,a2
