english_word,word_class,kannada_translation,transliteration,verb_transitivity,level
race (competition),noun,ಓಟ / ಸ್ಪರ್ಧೆ / ಪಂದ್ಯ,ōṭa / spardhe / paṁdya,,a2
race (ethnicity),noun,ಜನಾಂಗ / ಕುಲ / ವಂಶ,janāṁga / kula / vaṁśa,,a2
radio (broadcast medium),noun,ರೇಡಿಯೋ,rēḍiyō,,a2
rail track,noun,ರೈಲು ಹಳಿ,railu haḷi,,a2
railway (physical track or line),noun,ರೈಲು ಮಾರ್ಗ / ರೈಲು ಹಳಿ,railu mārga / railu haḷi,,a2
"rate (cost, price)",noun,ದರ / ಬೆಲೆ / ಶುಲ್ಕ,dara / bele / śulka,,a2
"rate (measurement, frequency)",noun,ದರ / ಪ್ರಮಾಣ / ವೇಗ,dara / pramāṇa / vēga,,a2
"rather (instead, preferably)",adverb,ಬದಲಾಗಿ / ಅದರ ಬದಲು,badalāgi / adara badalu,,a2
rather (to a significant degree),adverb,ಸಾಕಷ್ಟು / ಹೆಚ್ಚು / ಬಹಳಷ್ಟು,sākaṣṭu / heccu / bahaḷaṣṭu,,a2
recent,adjective,ಇತ್ತೀಚಿನ / ಈಚಿನ / ಹೊಸ,ittīcina / īcina / hosa,,a2
"recently (just now, immediate past)",adverb,ಈಗ ತಾನೇ / ಇದೀಗ,īga tānē / idīga,,a2
"recently (lately, in recent times)",adverb,ಇತ್ತೀಚೆಗೆ / ಈಚೆಗೆ,ittīcege / īcege,,a2
"reception (desk, area)",noun,ಸ್ವಾಗತ ಕೌಂಟರ್ / ಸ್ವಾಗತ ವಿಭಾಗ / ಸ್ವಾಗತ ಕೊಠಡಿ,svāgata kauṁṭar / svāgata vibhāga / svāgata koṭhaḍi,,a2
"reception (event, party)",noun,ಸ್ವಾಗತ ಸಮಾರಂಭ / ಸತ್ಕಾರ / ಸ್ವಾಗತ ಕೂಟ,svāgata samāraṁbha / satkāra / svāgata kūṭa,,a2
reception (signal quality),noun,ಸಿಗ್ನಲ್ / ಸಂಪರ್ಕದ ಗುಣಮಟ್ಟ,signal / saṁparkada guṇamaṭṭa,,a2
recipe,noun,ಪಾಕವಿಧಾನ / ಅಡುಗೆ ವಿಧಾನ,pākavidhāna / aḍuge vidhāna,,a2
record (achievement),noun,ದಾಖಲೆ,dākhale,,a2
record (document),noun,ದಾಖಲೆ / ದಸ್ತಾವೇಜು,dākhale / dastāvēju,,a2
recording,noun,ಧ್ವನಿಮುದ್ರಣ / ಚಿತ್ರೀಕರಣ / ರೆಕಾರ್ಡಿಂಗ್,dhvanimudraṇa / citrīkaraṇa / rekārḍiṁg,,a2
refrigerator,noun,ಫ್ರಿಜ್ / ಶೈತ್ಯಾಗಾರ,phrij / śaityāgāra,,a2
"region (large geographical, administrative area)",noun,ಪ್ರದೇಶ / ಪ್ರಾಂತ / ಭಾಗ,pradēśa / prāṁta / bhāga,,a2
"region (specific area, part)",noun,ಭಾಗ / ಪ್ರದೇಶ / ಸ್ಥಳ,bhāga / pradēśa / sthaḷa,,a2
regular (periodic),adjective,ನಿಯಮಿತ / ನಿಯತ / ಕ್ರಮಬದ್ಧ,niyamita / niyata / kramabaddha,,a2
regular (standard),adjective,ಸಾಧಾರಣ / ಸಾಮಾನ್ಯ,sādhāraṇa / sāmānya,,a2
"relationship (connection, association)",noun,ಸಂಬಂಧ / ಒಡನಾಟ,saṁbaṁdha / oḍanāṭa,,a2
"relationship (personal, romantic)",noun,ಪ್ರೇಮ ಸಂಬಂಧ / ಪ್ರೇಮ ನಿವೇದನೆ,prēma saṁbaṁdha / prēma nivēdane,,a2
"reply (formal, written communication)",noun,ಪ್ರತ್ಯುತ್ತರ / ಪ್ರತಿಕ್ರಿಯೆ,pratyuttara / pratikriye,,a2
reply (general answer),noun,ಉತ್ತರ / ಪ್ರತಿಕ್ರಿಯೆ,uttara / pratikriye,,a2
"reporter (journalist, formal)",noun,ವರದಿಗಾರ / ಸುದ್ದಿಗಾರ / ಪತ್ರಕರ್ತ,varadigāra / suddigāra / patrakarta,,a2
request (formal application or public demand),noun,ಅರ್ಜಿ / ವಿನಂತಿ / ಮನವಿ,arji / vinaṁti / manavi,,a2
research,noun,ಸಂಶೋಧನೆ / ಅಧ್ಯಯನ,saṁśōdhane / adhyayana,,a2
researcher,noun,ಸಂಶೋಧಕ / ಅಧ್ಯಯನಕಾರ,saṁśōdhaka / adhyayanakāra,,a2
response (reaction),noun,ಪ್ರತಿಕ್ರಿಯೆ / ಪ್ರತಿಸ್ಪಂದನ,pratikriye / pratispaṁdana,,a2
"response (reaction, general reaction)",noun,ಪ್ರತಿಕ್ರಿಯೆ / ಪ್ರತಿಸ್ಪಂದನೆ / ಪ್ರತಿವರ್ತನೆ,pratikriye / pratispaṁdane / prativartane,,a2
response (reply),noun,ಉತ್ತರ / ಪ್ರತ್ಯುತ್ತರ / ಮರುನುಡಿ,uttara / pratyuttara / marunuḍi,,a2
rest (break),noun,ವಿಶ್ರಾಂತಿ / ವಿರಾಮ / ವಿಶ್ರಾಮ,viśrāṁti / virāma / viśrāma,,a2
rest (remainder),noun,ಉಳಿದಿದ್ದು / ಬಾಕಿ / ಮಿಕ್ಕಿದ್ದು / ಶೇಷ,uḷididdu / bāki / mikkiddu / śēṣa,,a2
review (critique),noun,ವಿಮರ್ಶೆ / ವಿಶ್ಲೇಷಣೆ,vimarśe / viślēṣaṇe,,a2
"review (inspection, examination)",noun,ಪರಿಶೀಲನೆ / ಪುನರಾವಲೋಕನ,pariśīlane / punarāvalōkana,,a2
"rich (abundant, fertile)",adjective,ಸಮೃದ್ಧ / ಹೆಚ್ಚಾದ,samr̥ddha / heccāda,,a2
rich (fertile soil),adjective,ಫಲವತ್ತಾದ / ಸಮೃದ್ಧ,phalavattāda / samr̥ddha,,a2
"rich (flavor, food)",adjective,ಸಮೃದ್ಧವಾದ / ಭಾರವಾದ,samr̥ddhavāda / bhāravāda,,a2
"ride (a trip, lift)",noun,ಸವಾರಿ / ಪ್ರಯಾಣ,savāri / prayāṇa,,a2
ride (amusement park attraction),noun,ವಿನೋದ ಸವಾರಿ,vinōda savāri,,a2
"ring (circle, geometric)",noun,ವೃತ್ತ / ಮಂಡಲ,vr̥tta / maṁḍala,,a2
ring (circular shape),noun,ವೃತ್ತ / ಉಂಗುರ / ಬಳೆ,vr̥tta / uṁgura / baḷe,,a2
ring (finger ring),noun,ಉಂಗುರ / ಮುದ್ರಿಕೆ,uṁgura / mudrike,,a2
rock (music genre),noun,ರಾಕ್ ಸಂಗೀತ,rāk saṁgīta,,a2
role,noun,ಪಾತ್ರ / ಕರ್ತವ್ಯ,pātra / kartavya,,a2
roof (of the mouth),noun,ತಾಲೂ / ಅಂಗಳ,tālū / aṁgaḷa,,a2
round,preposition,ಸುತ್ತ / ಸುತ್ತಲೂ,sutta / suttalū,,a2
round (around),preposition,ಸುತ್ತ / ಸುತ್ತಲೂ,sutta / suttalū,,a2
round (number),adjective,ಅಂದಾಜು / ಸುಮಾರು,aṁdāju / sumāru,,a2
round (shape),adjective,ಗುಂಡಾದ / ವರ್ತುಲಾಕಾರದ,guṁḍāda / vartulākārada,,a2
round (stage or cycle),noun,ಹಂತ / ಸುತ್ತು / ಆವರ್ತ,haṁta / suttu / āvarta,,a2
round number,adjective,ಸುಮಾರು ಸಂಖ್ಯೆ / ಅಂದಾಜು ಸಂಖ್ಯೆ,sumāru saṁkhye / aṁdāju saṁkhye,,a2
route,noun,ಮಾರ್ಗ / ದಾರಿ / ಪಥ,mārga / dāri / patha,,a2
routine (procedure),noun,ಕ್ರಮ / ವಿಧಾನ,krama / vidhāna,,a2
"routine (procedure, sequence)",noun,ವಾಡಿಕೆ / ಕ್ರಮ / ದಿನಚರಿ,vāḍike / krama / dinacari,,a2
rubbish (nonsense),noun,ಹುಚ್ಚು ಮಾತು / ನಿರರ್ಥಕ ಮಾತು / ಅರ್ಥಹೀನ ಮಾತು,huccu mātu / nirarthaka mātu / arthahīna mātu,,a2
rubbish (waste material),noun,ಕಸ / ಕಸಕಡ್ಡಿ / ತ್ಯಾಜ್ಯ,kasa / kasakaḍḍi / tyājya,,a2
"rude (of a comment or action, impolite or indecent)",adjective,ಅಸಭ್ಯ / ಅಶಿಷ್ಟ / ಶಿಷ್ಟವಲ್ಲದ,asabhya / aśiṣṭa / śiṣṭavallada,,a2
"rude (of a person, rough or brusque)",adjective,ಒರಟು / ಅಶಿಷ್ಟ / ದುರ್ವಿನಯ,oraṭu / aśiṣṭa / durvinaya,,a2
run (a streak or series),noun,ಸರಣಿ / ಪರಂಪರೆ / ಶ್ರೇಣಿ,saraṇi / paraṁpare / śrēṇi,,a2
"runner (assistant, errand boy)",noun,ಸಹಾಯಕ / ಕೆಲಸಗಾರ / ಸೇವಕ,sahāyaka / kelasagāra / sēvaka,,a2
runner (mat or fabric),noun,ಉದ್ದನೆಯ ಹಾಸು / ಹಾಸು,uddaneya hāsu / hāsu,,a2
runner (messenger),noun,ದೂತ / ಸಂದೇಶವಾಹಕ,dūta / saṁdēśavāhaka,,a2
running (operation or management),noun,ನಿರ್ವಹಣೆ / ಆಡಳಿತ / ಕಾರ್ಯಾಚರಣೆ,nirvahaṇe / āḍaḷita / kāryācaraṇe,,a2
"sadly (unfortunately, regrettably)",adverb,ದುರದೃಷ್ಟವಶಾತ್ / ವಿಷಾದನೀಯವಾಗಿ,duradr̥ṣṭavaśāt / viṣādanīyavāgi,,a2
sadly (with sorrow),adverb,ದುಃಖದಿಂದ / ವಿಷಾದದಿಂದ,duḥkhadiṁda / viṣādadiṁda,,a2
safe,adjective,ಸುರಕ್ಷಿತ / ಭದ್ರ / ಅಪಾಯವಿಲ್ಲದ,surakṣita / bhadra / apāyavillada,,a2
sailing,noun,ನೌಕಾಯಾನ / ಹಡಗುಯಾನ,naukāyāna / haḍaguyāna,,a2
sale (discount event),noun,ರಿಯಾಯಿತಿ ಮಾರಾಟ / ಕಡಿತ ಮಾರಾಟ / ವಿಶೇಷ ಮಾರಾಟ,riyāyiti mārāṭa / kaḍita mārāṭa / viśēṣa mārāṭa,,a2
sale (transaction),noun,ಮಾರಾಟ / ವಿಕ್ರಯ,mārāṭa / vikraya,,a2
sauce,noun,ಸಾಸ್ / ಚಟ್ನಿ,sās / caṭni,,a2
scared,adjective,ಹೆದರಿದ / ಭಯಗೊಂಡ,hedarida / bhayagoṁḍa,,a2
"scary (frightening, general)",adjective,ಭಯಾನಕ / ಹೆದರಿಕೆ ತರುವ,bhayānaka / hedarike taruva,,a2
"scary (terrifying, intense)",adjective,ಭೀಕರ / ಭಯಂಕರ,bhīkara / bhayaṁkara,,a2
scene (spectacle or commotion),noun,ಗಲಾಟೆ / ಕೋಲಾಹಲ,galāṭe / kōlāhala,,a2
scene (visual setting),noun,ದೃಶ್ಯ / ಚಿತ್ರಣ,dr̥śya / citraṇa,,a2
score,noun,ಅಂಕ / ಸ್ಕೋರ್ / ಫಲಿತಾಂಶ,aṁka / skōr / phalitāṁśa,,a2
search (official investigation),noun,ತನಿಖೆ / ಶೋಧನೆ / ಪರಿಶೀಲನೆ,tanikhe / śōdhane / pariśīlane,,a2
season,noun,ಕಾಲ / ಋತು / ಹಂಗಾಮು,kāla / r̥tu / haṁgāmu,,a2
second (ordinal),adverb,ಎರಡನೇ / ದ್ವಿತೀಯ,eraḍanē / dvitīya,,a2
second-hand,adjective,ಬಳಸಿದ / ಹಳೆಯ / ಸೆಕೆಂಡ್ ಹ್ಯಾಂಡ್,baḷasida / haḷeya / sekeṁḍ hyāṁḍ,,a2
secondly,adverb,ಎರಡನೆಯದಾಗಿ / ಎರಡನೇದಾಗಿ,eraḍaneyadāgi / eraḍanēdāgi,,a2
secret,adjective,ರಹಸ್ಯ / ಗುಪ್ತ,rahasya / gupta,,a2
"secret (key, method)",noun,ಗುಟ್ಟು / ರಹಸ್ಯ,guṭṭu / rahasya,,a2
"secretary (official, society head)",noun,ಕಾರ್ಯದರ್ಶಿ,kāryadarśi,,a2
secretary (personal assistant),noun,ಕಾರ್ಯದರ್ಶಿ / ಸಹಾಯಕ ಕಾರ್ಯದರ್ಶಿ,kāryadarśi / sahāyaka kāryadarśi,,a2
"security (safety, protection)",noun,ಸುರಕ್ಷತೆ / ಭದ್ರತೆ / ರಕ್ಷಣೆ,surakṣate / bhadrate / rakṣaṇe,,a2
seem,linking verb,ತೋರು / ಕಾಣಿಸು / ಪ್ರತೀತವಾಗು,tōru / kāṇisu / pratītavāgu,intransitive,a2
sense (faculty),noun,ಇಂದ್ರಿಯ / ಜ್ಞಾನೇಂದ್ರಿಯ,iṁdriya / jñānēṁdriya,,a2
"sense (feeling, awareness)",noun,ಅರಿವು / ಭಾವನೆ / ಪ್ರಜ್ಞೆ,arivu / bhāvane / prajñe,,a2
sense (judgment),noun,ವಿವೇಚನೆ / ತಿಳುವಳಿಕೆ / ಗ್ರಹಿಕೆ,vivēcane / tiḷuvaḷike / grahike,,a2
series (sequence of events),noun,ಸರಣಿ / ಅನುಕ್ರಮ / ಕ್ರಮ,saraṇi / anukrama / krama,,a2
series (TV show),noun,ಸರಣಿ / ಧಾರಾವಾಹಿ,saraṇi / dhārāvāhi,,a2
serious (severe),adjective,ಗಂಭೀರ / ತೀವ್ರ / ಕಠಿಣ,gaṁbhīra / tīvra / kaṭhiṇa,,a2
"service (duty, assistance)",noun,ಸೇವೆ / ಸಹಾಯ / ಕರ್ತವ್ಯ,sēve / sahāya / kartavya,,a2
several,pronoun,ಕೆಲವು / ಒಂದಿಷ್ಟು,kelavu / oṁdiṣṭu,,a2
several (people),pronoun,ಕೆಲವರು / ಕೆಲ ಮಂದಿ,kelavaru / kela maṁdi,,a2
"shall (suggestion, invitation)",modal verb,ಮಾಡೋಣವೇ?,māḍōṇavē?,,a2
shape (physical form),noun,ಆಕಾರ / ರೂಪ / ಸ್ವರೂಪ,ākāra / rūpa / svarūpa,,a2
sheet (bedding),noun,ಚಾದರ / ಬೆಡ್‌ಶೀಟ್,cādara / beḍśīṭ,,a2
sheet (of paper),noun,ಹಾಳೆ / ಪೇಪರ್,hāḷe / pēpar,,a2
ship,noun,ಹಡಗು / ನೌಕೆ,haḍagu / nauke,,a2
should (expectation),modal verb,ಬೇಕು,bēku,,a2
shoulder (of a road),noun,ರಸ್ತೆಯ ಅಂಚು / ರಸ್ತೆಯ ಬದಿ,rasteya aṁcu / rasteya badi,,a2
shout,noun,ಕೂಗು / ಕಿರಿಚು,kūgu / kiricu,,a2
shut (closed state),adjective,ಮುಚ್ಚಿದ,muccida,,a2
sickness (general illness),noun,ಕಾಯಿಲೆ / ರೋಗ / ಅನಾರೋಗ್ಯ,kāyile / rōga / anārōgya,,a2
side (faction or team),noun,ತಂಡ / ಪಕ್ಷ / ಗುಂಪು,taṁḍa / pakṣa / guṁpu,,a2
sign (board or indicator),noun,ಫಲಕ / ಸೂಚನಾ ಫಲಕ / ಸೈನ್ ಬೋರ್ಡ್,phalaka / sūcanā phalaka / sain bōrḍ,,a2
sign (indication or symptom),noun,ಸೂಚನೆ / ಲಕ್ಷಣ,sūcane / lakṣaṇa,,a2
sign (symbol),noun,ಚಿಹ್ನೆ / ಸಂಕೇತ,cihne / saṁkēta,,a2
sign (symptom),noun,ಲಕ್ಷಣ,lakṣaṇa,,a2
silver,noun,ಬೆಳ್ಳಿ,beḷḷi,,a2
silver (color),adjective,ಬೆಳ್ಳಿಯ ಬಣ್ಣದ,beḷḷiya baṇṇada,,a2
simple (easy to do),adjective,ಸುಲಭ,sulabha,,a2
simple (plain or modest),adjective,ಸರಳ / ಸಾಮಾನ್ಯ,saraḷa / sāmānya,,a2
"since (because of, as)",conjunction,ಏಕೆಂದರೆ / ಇರುವುದರಿಂದ,ēkeṁdare / iruvudariṁda,,a2
since (reason),conjunction,ಆದ ಕಾರಣ / ಏಕೆಂದರೆ,āda kāraṇa / ēkeṁdare,,a2
"since (reason, cause)",preposition,ಇರುವುದರಿಂದ / ಕಾರಣದಿಂದ,iruvudariṁda / kāraṇadiṁda,,a2
"since (time, duration)",conjunction,ಆಗಿನಿಂದ / ಅಂದಿನಿಂದ,āginiṁda / aṁdiniṁda,,a2
since (time: starting point),preposition,ನಿಂದ / ಆರಂಭದಿಂದ,niṁda / āraṁbhadiṁda,,a2
"singing (performance, art)",noun,ಗಾಯನ / ಹಾಡುಗಾರಿಕೆ,gāyana / hāḍugārike,,a2
single (only one),adjective,ಒಂಟಿ / ಏಕ,oṁṭi / ēka,,a2
"single (room, bed)",noun,ಒಂಟಿ / ಏಕ,oṁṭi / ēka,,a2
single occupancy,noun,ಏಕ ಬಳಕೆಯ / ಒಬ್ಬರಿಗೆ,ēka baḷakeya / obbarige,,a2
"sir (formal, superior)",noun,ಸಾರ್ / ಅಣ್ಣಾ / ಮಹಾಶಯ,sār / aṇṇā / mahāśaya,,a2
"sir (highly formal, written address)",noun,ಮಹಾಶಯ / ಮಾನ್ಯರೇ,mahāśaya / mānyarē,,a2
sir (polite address to older male stranger),noun,ಅಣ್ಣಾ / ಸಾರ್ / ಮಹಾಶಯ,aṇṇā / sār / mahāśaya,,a2
site (physical location),noun,ಸ್ಥಳ / ಜಾಗ,sthaḷa / jāga,,a2
site (website),noun,ಜಾಲತಾಣ / ವೆಬ್‌ಸೈಟ್,jālatāṇa / vebsaiṭ,,a2
size (clothing standard),noun,ಅಳತೆ / ಗಾತ್ರ / ಸೈಜು,aḷate / gātra / saiju,,a2
size (magnitude),noun,ಗಾತ್ರ / ಪ್ರಮಾಣ / ಅಳತೆ,gātra / pramāṇa / aḷate,,a2
ski,noun,ಸ್ಕೀ,skī,,a2
skiing,noun,ಸ್ಕೀಯಿಂಗ್ / ಸ್ಕೀ ಆಟ,skīyiṁg / skī āṭa,,a2
"skin (of fruit, vegetable, peel)",noun,ಸಿಪ್ಪೆ / ತೊಗಟೆ,sippe / togaṭe,,a2
"sky (literary, poetic)",noun,ಗಗನ / ನಭ / ಆಕಾಶ,gagana / nabha / ākāśa,,a2
sleep,noun,ನಿದ್ರೆ / ನಿದ್ದೆ,nidre / nidde,,a2
slowly,adverb,ನಿಧಾನವಾಗಿ / ಮೆಲ್ಲಗೆ,nidhānavāgi / mellage,,a2
smartphone,noun,ಸ್ಮಾರ್ಟ್ಫೋನ್,smārṭphōn,,a2
smell (fragrance),noun,ಸುಗಂಧ / ಸುವಾಸನೆ / ಪರಿಮಳ,sugaṁdha / suvāsane / parimaḷa,,a2
smell (stench),noun,ದುರ್ವಾಸನೆ / ಕೆಟ್ಟ ವಾಸನೆ,durvāsane / keṭṭa vāsane,,a2
"smile (gentle, subtle)",noun,ಮಂದಹಾಸ,maṁdahāsa,,a2
smoking,noun,ಧೂಮಪಾನ,dhūmapāna,,a2
soap,noun,ಸಾಬೂನು,sābūnu,,a2
soccer,noun,ಫುಟ್ಬಾಲ್ / ಕಾಲ್ಚೆಂಡು,phuṭbāl / kālceṁḍu,,a2
social,adjective,ಸಾಮಾಜಿಕ,sāmājika,,a2
sock,noun,ಸಾಕ್ಸ್ / ಕಾಲುಚೀಲ,sāks / kālucīla,,a2
"soft (gentle, mild)",adjective,ಮೃದುವಾದ / ಸೌಮ್ಯವಾದ,mr̥duvāda / saumyavāda,,a2
"soft (gentle, quiet)",adjective,ಮೃದು / ಸೌಮ್ಯ / ಮೆದು,mr̥du / saumya / medu,,a2
"soft (quiet sound, voice)",adjective,ಮೆಲುದನಿಯ / ನಿಧಾನವಾದ,meludaniya / nidhānavāda,,a2
"soft (to the touch, material)",adjective,ಮೆತ್ತಗಿನ / ಮೃದುವಾದ,mettagina / mr̥duvāda,,a2
soldier,noun,ಸೈನಿಕ / ಯೋಧ / ಭಟ,sainika / yōdha / bhaṭa,,a2
"solution (to a problem, answer)",noun,ಪರಿಹಾರ,parihāra,,a2
somewhere,pronoun,ಎಲ್ಲೋ ಒಂದು ಕಡೆ,ellō oṁdu kaḍe,,a2
somewhere (at an unknown place),adverb,ಎಲ್ಲೋ,ellō,,a2
"somewhere (to any place, indefinite)",pronoun,ಎಲ್ಲಾದರೂ,ellādarū,,a2
son (common),noun,ಮಗ,maga,,a2
"son (literary, formal)",noun,ಸುತ / ಪುತ್ರ,suta / putra,,a2
"sorry (feeling regret, pity)",adjective,ವಿಷಾದಕರ / ದುಃಖಕರ / ಕಳವಳಕಾರಿ,viṣādakara / duḥkhakara / kaḷavaḷakāri,,a2
sort,noun,ವಿಧ / ಪ್ರಕಾರ / ಬಗೆ,vidha / prakāra / bage,,a2
"source (of information, data)",noun,ಮೂಲ / ಆಕರ / ಮಾಹಿತಿ ಮೂಲ,mūla / ākara / māhiti mūla,,a2
"source (origin, beginning)",noun,ಮೂಲ / ಆಕರ / ಉಗಮ,mūla / ākara / ugama,,a2
speaker (audio device),noun,ಸ್ಪೀಕರ್ / ಧ್ವನಿವರ್ಧಕ,spīkar / dhvanivardhaka,,a2
speaker (person giving a speech),noun,ಭಾಷಣಕಾರ / ವಕ್ತಾರ / ಮಾತನಾಡುವವರು,bhāṣaṇakāra / vaktāra / mātanāḍuvavaru,,a2
specific,adjective,ನಿರ್ದಿಷ್ಟ / ಖಚಿತ,nirdiṣṭa / khacita,,a2
"spectacle, commotion",noun,ಕೋಲಾಹಲ / ಗದ್ದಲ / ಗಲಾಟೆ,kōlāhala / gaddala / galāṭe,,a2
speech,noun,ಭಾಷಣ / ಮಾತು / ನುಡಿ,bhāṣaṇa / mātu / nuḍi,,a2
"speech (formal address, oration)",noun,ಭಾಷಣ / ಉಪನ್ಯಾಸ / ಪ್ರವಚನ,bhāṣaṇa / upanyāsa / pravacana,,a2
"speech (general, faculty of speech)",noun,ಮಾತು / ನುಡಿ / ಭಾಷೆ,mātu / nuḍi / bhāṣe,,a2
spider,noun,ಜೇಡ,jēḍa,,a2
spoon,noun,ಚಮಚ / ಸೌಟು,camaca / sauṭu,,a2
sports field (general),noun,ಆಟದ ಮೈದಾನ / ಕ್ರೀಡಾಂಗಣ,āṭada maidāna / krīḍāṁgaṇa,,a2
square,adjective,ಚೌಕದ / ಚೌಕಾಕಾರದ,caukada / caukākārada,,a2
square (public plaza),noun,ಚೌಕ / ಮೈದಾನ,cauka / maidāna,,a2
square (shape),noun,ಚೌಕ / ಚೌಕಾಕೃತಿ,cauka / caukākr̥ti,,a2
stage (phase),noun,ಹಂತ / ಘಟ್ಟ,haṁta / ghaṭṭa,,a2
stage (platform),noun,ವೇದಿಕೆ / ರಂಗ,vēdike / raṁga,,a2
"stair (flight, staircase)",noun,ಮೆಟ್ಟಿಲು / ಮೆಟ್ಟಿಲು ಸಾಲು,meṭṭilu / meṭṭilu sālu,,a2
"stair (single step, tread)",noun,ಮೆಟ್ಟಿಲು / ಸೋಪಾನ,meṭṭilu / sōpāna,,a2
stamp (official seal or mark),noun,ಮುದ್ರೆ / ಅಚ್ಚು,mudre / accu,,a2
stamp (postage item),noun,ಅಂಚೆ ಚೀಟಿ / ಸ್ಟಾಂಪ್,aṁce cīṭi / sṭāṁp,,a2
start,noun,ಪ್ರಾರಂಭ / ಶುರುವಾತು / ಆರಂಭ / ಮೊದಲು,prāraṁbha / śuruvātu / āraṁbha / modalu,,a2
"state (condition, status)",noun,ಸ್ಥಿತಿ / ಪರಿಸ್ಥಿತಿ / ಅವಸ್ಥೆ,sthiti / paristhiti / avasthe,,a2
state (political entity),noun,ರಾಜ್ಯ / ದೇಶ / ಸರ್ಕಾರ,rājya / dēśa / sarkāra,,a2
statement (formal document),noun,ಹೇಳಿಕೆ / ವರದಿ / ಪ್ರಕಟಣೆ / ದಾಖಲೆ,hēḷike / varadi / prakaṭaṇe / dākhale,,a2
stay,noun,ವಾಸ್ತವ್ಯ / ನೆಲೆ / ವಾಸ,vāstavya / nele / vāsa,,a2
step (in a process),noun,ಹಂತ / ಕ್ರಮ / ಹೆಜ್ಜೆ,haṁta / krama / hejje,,a2
"step (stair, riser)",noun,ಮೆಟ್ಟಿಲು,meṭṭilu,,a2
stomach,noun,ಹೊಟ್ಟೆ / ಉದರ,hoṭṭe / udara,,a2
stone (fruit pit),noun,ಗೊರಟೆ / ಬೀಜ,goraṭe / bīja,,a2
"stone (gem, jewel)",noun,ರತ್ನ / ಮಣಿ,ratna / maṇi,,a2
store (retail shop),noun,ಅಂಗಡಿ / ಮಳಿಗೆ / ದುಕಾನ್,aṁgaḍi / maḷige / dukān,,a2
"store (supply, stock)",noun,ದಾಸ್ತಾನು / ಸಂಗ್ರಹ / ಸರಕು,dāstānu / saṁgraha / saraku,,a2
storm (figurative: uproar),noun,ಕೋಲಾಹಲ / ಗದ್ದಲ / ಅಲ್ಲೋಲಕಲ್ಲೋಲ,kōlāhala / gaddala / allōlakallōla,,a2
"straight (honest, truthful)",adjective,ಪ್ರಾಮಾಣಿಕವಾದ / ನೇರವಾದ / ಸತ್ಯವಾದ,prāmāṇikavāda / nēravāda / satyavāda,,a2
"straight (immediately, directly)",adverb,ನೇರವಾಗಿ / ತಕ್ಷಣ / ಕೂಡಲೇ,nēravāgi / takṣaṇa / kūḍalē,,a2
"strange (unfamiliar, unknown)",adjective,ಅಪರಿಚಿತ / ಅಜ್ಞಾತ,aparicita / ajñāta,,a2
"strange (unusual, odd)",adjective,ವಿಚಿತ್ರ / ಅಸಾಮಾನ್ಯ / ವಿಲಕ್ಷಣ,vicitra / asāmānya / vilakṣaṇa,,a2
strategy,noun,ಕಾರ್ಯತಂತ್ರ / ಯುಕ್ತಿ / ಯೋಜನೆ,kāryataṁtra / yukti / yōjane,,a2
stress (emphasis),noun,ಒತ್ತು / ಪ್ರಾಮುಖ್ಯತೆ / ಮಹತ್ವ,ottu / prāmukhyate / mahatva,,a2
"structure (organization, arrangement)",noun,ರಚನೆ / ವಿನ್ಯಾಸ / ವ್ಯವಸ್ಥೆ,racane / vinyāsa / vyavasthe,,a2
structure (physical building),noun,ಕಟ್ಟಣ / ಕಟ್ಟಡ / ನಿರ್ಮಾಣ,kaṭṭaṇa / kaṭṭaḍa / nirmāṇa,,a2
"stupid (foolish, silly action)",adjective,ಮೂರ್ಖತನದ / ದಡ್ಡತನದ / ಅಸಂಬದ್ಧ,mūrkhatanada / daḍḍatanada / asaṁbaddha,,a2
"stupid (person, harsh insult)",adjective,ಮೂರ್ಖ / ದಡ್ಡ / ಬುದ್ಧಿಹೀನ,mūrkha / daḍḍa / buddhihīna,,a2
successful,adjective,ಯಶಸ್ವಿ / ಗೆದ್ದ,yaśasvi / gedda,,a2
such,pronoun,ಅಂತಹದ್ದು / ಅಂಥದ್ದು,aṁtahaddu / aṁthaddu,,a2
such (introducing examples),determiner,ಇಂತಹ / ಇಂಥ,iṁtaha / iṁtha,,a2
such (of that nature),determiner,ಅಂತಹ / ಅಂಥ,aṁtaha / aṁtha,,a2
suggestion (advice),noun,ಸಲಹೆ / ಅಭಿಪ್ರಾಯ,salahe / abhiprāya,,a2
suggestion (proposal or instruction),noun,ಸೂಚನೆ / ಪ್ರಸ್ತಾಪ,sūcane / prastāpa,,a2
suit (cards),noun,ದಾಳ,dāḷa,,a2
"support (aid, backing)",noun,ಬೆಂಬಲ / ಸಹಾಯ / ಆಧಾರ,beṁbala / sahāya / ādhāra,,a2
support (physical structure),noun,ಆಸರೆ / ಆಧಾರ,āsare / ādhāra,,a2
sure (as agreement),adverb,ಸರಿ / ಖಂಡಿತ / ಖಚಿತ,sari / khaṁḍita / khacita,,a2
"sure (certainly, definitely)",adverb,ಖಂಡಿತ / ನಿಜವಾಗಿಯೂ / ಖಚಿತವಾಗಿ,khaṁḍita / nijavāgiyū / khacitavāgi,,a2
surprise,noun,ಆಶ್ಚರ್ಯ / ಬೆರಗು / ವಿಸ್ಮಯ,āścarya / beragu / vismaya,,a2
