english_word,verb_transitivity,word_class,level,kannada_translation,transliteration
coup (sudden takeover),N/A,noun,c1,ಅಧಿಕಾರ ಕೈವಶ,adhikāra kaivaśa
coup (successful achievement),N/A,noun,c1,ಉತ್ತಮ ಸಾಧನೆ,uttama sādhane
couple (a few),N/A,noun,a2,ಕೆಲವು,kelavu
a couple of (two),N/A,noun,a2,ಎರಡು,eraḍu
a couple of (two or three),N/A,noun,a2,ಎರಡು ಮೂರು,eraḍu mūru
courage (valor or heroism),N/A,noun,b2,ಶೌರ್ಯ,śaurya
course (of study),N/A,noun,a1,ಪಾಠ್ಯಕ್ರಮ,pāṭhyakrama
course (meal),N/A,noun,a1,ಆಹಾರದ ಹಂತು,āhārada haṁtu
main course,N/A,noun,a1,ಮುಖ್ಯ ಭಾಗಿ,mukhya bhāgi
court (judicial body),N/A,noun,b1,ನ್ಯಾಯಾಲಯ,nyāyālaya
court (sports field),N/A,noun,b1,ಕೂರ್ಟ್,kūrṭ
sports field (general),N/A,noun,a2,ಆಟದ ಮೈದಾನ,āṭada maidāna
courtesy (favor or free grant),N/A,noun,c1,ಸೌಜನ್ಯ,saujanya
as a courtesy,N/A,noun,c1,ಸೌಜನ್ಯಯುತವಾಗಿ,saujanyayutavāgi
"cousin (male, parallel cousin)",N/A,noun,a1,ಸೋದರ ಸಂಬಂಧಿ ಗಂಡು,sōdara saṁbaṁdhi gaṁḍu
"cousin (older male, parallel)",N/A,noun,a2,ದೊಡ್ಡಪ್ಪನ ಮಗ,doḍḍappana maga
"cousin (female, parallel cousin)",N/A,noun,a1,ಸೋದರ ಸಂಬಂಧಿ ಹೆಣ್ಣು,sōdara saṁbaṁdhi heṇṇu
"cousin (older female, parallel)",N/A,noun,a2,ಚಿಕ್ಕಪ್ಪನ ಮಗಳು,cikkappana magaḷu
"cover (protection, shelter)",N/A,noun,b1,ಆಶ್ರಯ,āśraya
"cover (shelter, protection)",N/A,noun,b1,ರಕ್ಷಣೆ,rakṣaṇe
cover (insurance),N/A,noun,b1,ವಿಮೆ ರಕ್ಷಣೆ,vime rakṣaṇe
"to cover (distance, area)",transitive,verb,a2,ಕ್ರಮಿಸು,kramisu
"coverage (scope, insurance)",N/A,noun,b2,ವ್ಯಾಪ್ತಿ,vyāpti
coverage (media reporting),N/A,noun,b2,ವರದಿಗಾರಿಕೆ,varadigārike
covered (topic or area dealt with),N/A,adjective,b1,ನಿರ್ವಹಿಸಿದ,nirvahisida
covered (insured or protected),N/A,adjective,b1,ರಕ್ಷಣೆಗೊಳಪಟ್ಟ,rakṣaṇegoḷapaṭṭa
cow,N/A,noun,a1,ಹಸು,hasu
crack (fissure),N/A,noun,b2,ಬಿರುಕು,biruku
crack (sharp sound),N/A,noun,b2,ಛಟಪಟ ಶಬ್ದ,chaṭapaṭa śabda
to crack (physical object),N/A,verb,b2,ಒಡೆ,oḍe
to crack (intransitive),intransitive,verb,b2,ಬಿರುಕು ಬಿಡು,biruku biḍu
"to crack (solve, figure out)",transitive,verb,b2,ಭೇದಿಸು,bhēdisu
craft (vehicle),N/A,noun,b2,ನೌಕೆ,nauke
to craft (physical object),transitive,verb,c1,ಕೌಶಲದಿಂದ ತಯಾರಿಸು,kauśaladiṁda tayārisu
to craft (an argument or policy),transitive,verb,c1,ರೂಪಿಸು,rūpisu
crash (system failure),N/A,noun,b2,ವ್ಯವಸ್ಥೆಯ ವೈಫಲ್ಯ,vyavastheya vaiphalya
"to crash (system failure, computing)",intransitive,verb,b2,ಸ್ಥಗಿತಗೊಳ್ಳು,sthagitagoḷḷu
to crash (to attend uninvited),transitive,verb,b2,ಅನಪೇಕ್ಷಿತವಾಗಿ ಸೇರು,anapēkṣitavāgi sēru
"to crawl (creep slowly, like insects or traffic)",intransitive,verb,c1,ತೆವಳು,tevaḷu
to crawl (traffic),intransitive,verb,c1,ಸವರುತ್ತಾ ಹೋಗು,savaruttā hōgu
"to crawl (of feeling, to feel repulsion or dread)",intransitive,verb,c1,ಮೈ ಜುಮ್ಮೆನ್ನು,mai jummennu
crazy (insane),N/A,adjective,a2,ಹುಚ್ಚು ಹಿಡಿದ,huccu hiḍida
crazy (person),N/A,adjective,a2,ಹುಚ್ಚ,hucca
crazy (wild or exciting),N/A,adjective,a2,ಅತಿರೇಕದ,atirēkada
crazy (exciting),N/A,adjective,a2,ರೋಮಾಂಚಕ,rōmāṁcaka
cream (dairy product),N/A,adjective,b1,ಕೆನೆಯುಳ್ಳ,keneyuḷḷa
cream (lotion),N/A,adjective,b1,ಕೆನೆ ಬಣ್ಣದ,kene baṇṇada
cream (lotion or ointment),N/A,noun,a1,ಕ್ರೀಮ್ / ಲೇಪನ,krīm / lēpana
"to create (to originate, conceptual)",transitive,verb,a2,ಸೃಷ್ಟಿಸು,sr̥ṣṭisu
"to create (design, construct)",transitive,verb,a2,ರಚಿಸು,racisu
creation (the act or process),N/A,noun,b2,ಸೃಷ್ಟಿ / ರಚನೆ,sr̥ṣṭi / racane
creation (a work or product),N/A,noun,b2,ಕೃತಿ / ಸೃಷ್ಟಿ,kr̥ti / sr̥ṣṭi
creative,N/A,adjective,a2,ಸೃಜನಾತ್ಮಕ,sr̥janātmaka
creativity,N/A,noun,b2,ಸೃಜನಾತ್ಮಕತೆ,sr̥janātmakate
creator (divine being),N/A,noun,c1,ಸೃಷ್ಟಿಕರ್ತ,sr̥ṣṭikarta
Creator (Brahma),N/A,noun,c1,ಬ್ರಹ್ಮ,brahma
creature (dependent person),N/A,noun,b2,ಕೈಗೊಂಬೆ,kaigoṁbe
credibility,N/A,noun,c1,ವಿಶ್ವಾಸಾರ್ಹತೆ,viśvāsārhate
credible,N/A,adjective,c1,ನಂಬಲು ಯೋಗ್ಯ / ವಿಶ್ವಾಸಾರ್ಹ,naṁbalu yōgya / viśvāsārha
credit (acknowledgment),N/A,noun,a2,ಮನ್ನಣೆ / ಶ್ರೇಯಸ್ಸು,mannaṇe / śrēyassu
"credit (financial system, ability to borrow)",N/A,noun,a2,ಸಾಲದ ವ್ಯವಸ್ಥೆ / ಕ್ರೆಡಿಟ್,sālada vyavasthe / kreḍiṭ
"to credit (finance, deposit)",transitive,verb,b2,ಜಮೆ ಮಾಡು,jame māḍu
"to credit (attribute, recognize)",transitive,verb,b2,ಶ್ರೇಯಸ್ಸನ್ನು ಕೊಡು / ಗುರುತಿಸು,śrēyassannu koḍu / gurutisu
to creep (of plants or vines),intransitive,verb,c1,ಹಬ್ಬು,habbu
to creep (increase gradually),intransitive,verb,c1,ನಿಧಾನವಾಗಿ ಹೆಚ್ಚಾಗು / ಸಣ್ಣಗೆ ನುಸುಳು,nidhānavāgi heccāgu / saṇṇage nusuḷu
crew (informal group of friends),N/A,noun,b2,ಗೆಳೆಯರ ಗುಂಪು / ಬಳಗ,geḷeyara guṁpu / baḷaga
crime,N/A,noun,a2,ಅಪರಾಧ,aparādha
criminal,N/A,adjective,b1,ಅಪರಾಧಿಕ / ಕ್ರಿಮಿನಲ್,aparādhika / kriminal
criminal,N/A,noun,a2,ಅಪರಾಧಿ,aparādhi
crisis,N/A,noun,b2,ಬಿಕ್ಕಟ್ಟು / ಸಂಕಷ್ಟ,bikkaṭṭu / saṁkaṣṭa
criterion,N/A,noun,b2,ಮಾನದಂಡ / ಅಳತೆಗೋಲು,mānadaṁḍa / aḷategōlu
"critic (professional reviewer, arts)",N/A,noun,b2,ವಿಮರ್ಶಕ,vimarśaka
"critic (fault-finder, censorious person)",N/A,noun,b2,ಟೀಕಾಕಾರ / ದೋಷಾರೋಪಕ,ṭīkākāra / dōṣārōpaka
critical (essential),N/A,adjective,b2,ನಿರ್ಣಾಯಕ / ತುಂಬಾ ಮುಖ್ಯ,nirṇāyaka / tuṁbā mukhya
critical (fault-finding),N/A,adjective,b2,ಟೀಕಾತ್ಮಕ,ṭīkātmaka
critical (analytical),N/A,adjective,b2,ವಿಮರ್ಶಾತ್ಮಕ,vimarśātmaka
critical (serious state),N/A,adjective,b2,ವಿಷಮ,viṣama
critically (analyzing),N/A,adverb,b2,ವಿಮರ್ಶಾತ್ಮಕವಾಗಿ,vimarśātmakavāgi
"critically (crucially, severely)",N/A,adverb,b2,ವಿಷಮವಾಗಿ,viṣamavāgi
"critically (crucially, essentially)",N/A,adverb,b2,ನಿರ್ಣಾಯಕವಾಗಿ,nirṇāyakavāgi
"criticism (review, analysis)",N/A,noun,b2,ವಿಮರ್ಶೆ,vimarśe
"criticism (fault-finding, censure)",N/A,noun,b2,ಟೀಕೆ,ṭīke
"to criticize (formally, review)",transitive,verb,b2,ವಿಮರ್ಶಿಸು,vimarśisu
"to blame, denounce",transitive,verb,b2,ಟೀಕಿಸು,ṭīkisu
critique,N/A,noun,c1,ವಿಮರ್ಶೆ,vimarśe
"crop (batch or yield of people, things)",N/A,noun,b2,ಗುಂಪು,guṁpu
"crop (of graduates, products)",N/A,noun,b2,ಬ್ಯಾಚ್,byāc
cross (religious symbol),N/A,noun,a2,ಶಿಲುಬೆ,śilube
cross (intersection),N/A,noun,a2,ಛೇದಕ,chēdaka
"cross (intersection, junction, common usage)",N/A,noun,a2,ಕ್ರಾಸ್,krās
"to cross off, out (to cancel, delete)",transitive,verb,a2,ಗೆರೆ ಹಾಕು,gere hāku
crowd,N/A,noun,a2,ಜನಸಮೂಹ,janasamūha
"crowded (congested, dense)",N/A,adjective,a2,ಕಿಕ್ಕಿರಿದ,kikkirida
crowded (high density),N/A,adjective,a2,ಜನದಟ್ಟಣೆಯ,janadaṭṭaṇeya
"crown (monarchy, sovereignty)",N/A,noun,c1,ರಾಜಪ್ರಭುತ್ವ,rājaprabhutva
crown (top part),N/A,noun,c1,ಮೇಲ್ಭಾಗ,mēlbhāga
crown (dental cap),N/A,noun,c1,ಹಲ್ಲಿನ ಕಿರೀಟ,hallina kirīṭa
crucial,N/A,adjective,b2,ನಿರ್ಣಾಯಕ / ಅತಿ ಮುಖ್ಯ,nirṇāyaka / ati mukhya
crude (unrefined),N/A,adjective,c1,ಕಚ್ಚಾ,kaccā
crude (vulgar),N/A,adjective,c1,ಅಸಭ್ಯ / ಒರಟು,asabhya / oraṭu
crude (rudimentary),N/A,adjective,c1,ಒರಟಾದ,oraṭāda
cruel,N/A,adjective,b1,ಕ್ರೂರ,krūra
cruise,N/A,noun,b2,ಸಮುದ್ರಯಾನ,samudrayāna
"to cruise (to travel smoothly, usually by vehicle)",intransitive,verb,b2,ಸ್ಥಿರ ವೇಗದಲ್ಲಿ ಹೋಗು,sthira vēgadalli hōgu
"to cruise (to travel for leisure, usually by ship)",intransitive,verb,b2,ಸಮುದ್ರಯಾನ ಮಾಡು,samudrayāna māḍu
to cruise (to succeed easily),intransitive,verb,b2,ಸುಲಭವಾಗಿ ಗೆಲ್ಲು,sulabhavāgi gellu
to crush (physically destroy or pulverize),transitive,verb,c1,ಪುಡಿಮಾಡು,puḍimāḍu
to crush (defeat or demoralize),transitive,verb,c1,ಸೋಲಿಸು,sōlisu
cry (act of weeping),N/A,noun,b2,ಅಳು,aḷu
cry (loud shout or call),N/A,noun,b2,ಕೂಗು,kūgu
to cry (to shout loudly),intransitive,verb,a2,ಕೂಗು,kūgu
"to cry (to weep, sob)",intransitive,verb,a1,ಅಳು,aḷu
"crystal (watch face, lens)",N/A,noun,c1,ಗಡಿಯಾರದ ಗಾಜು,gaḍiyārada gāju
"crystal (mineral, material)",N/A,noun,c1,ಸ್ಪಟಿಕ,spaṭika
cue (signal or hint),N/A,noun,b2,ಸಂಕೇತ,saṁkēta
cue (billiards stick),N/A,noun,b2,ಕ್ಯೂ,kyū
cue (billiards stick - descriptive),N/A,noun,b2,ಬಿಲಿಯರ್ಡ್ಸ್ ಕೋಲು,biliyarḍs kōlu
dear,N/A,exclamation,a2,ಅಯ್ಯೋ / ದೇವರೇ,ayyō / dēvarē
"death (formal, literary)",N/A,noun,a2,ಮರಣ,maraṇa
"debate (formal event, contest)",N/A,noun,b2,ವಾದ-ವಿವಾದ,vāda-vivāda
to debate (formally),intransitive,verb,b2,ವಾದಿಸು / ವಾದ ಮಾಡು,vādisu / vāda māḍu
to argue (a point strongly),intransitive,verb,b2,ವಾದ ಮಾಡು / ತರ್ಕಿಸು,vāda māḍu / tarkisu
debris,N/A,noun,c1,ಅವಶೇಷಗಳು,avaśēṣagaḷu
"debt (obligation, gratitude)",N/A,noun,b2,ಋಣ,r̥ṇa
debut,N/A,noun,c1,ಮೊದಲ ಪ್ರದರ್ಶನ,modala pradarśana
debut (loanword),N/A,noun,c1,ಡಬ್ಯೂಟ್,ḍabyūṭ
"debut (formal, classical)",N/A,noun,c1,ಅರಂಗೇಟ್ರಂ,araṁgēṭraṁ
decade,N/A,noun,b1,ದಶಕ,daśaka
december,N/A,noun,a1,ಡಿಸೆಂಬರ್,ḍiseṁbar
"decent (satisfactory quality, sufficient)",N/A,adjective,b2,ತೃಪ್ತಿದಾಯಕ,tr̥ptidāyaka
"decent (proper, modest behavior)",N/A,adjective,b2,ಸಭ್ಯ / ಯೋಗ್ಯ,sabhya / yōgya
to decide,transitive,verb,a1,ನಿರ್ಧರಿಸು,nirdharisu
decision (formal resolution),N/A,noun,a2,ನಿರ್ಣಯ,nirṇaya
decision (common choice),N/A,noun,a1,ನಿರ್ಧಾರ,nirdhāra
decision-making,N/A,noun,c1,ನಿರ್ಧಾರ ಮಾಡುವಿಕೆ,nirdhāra māḍuvike
"decisive (crucial factor, outcome)",N/A,adjective,c1,ನಿರ್ಣಾಯಕ,nirṇāyaka
"decisive (firm, determined person)",N/A,adjective,c1,ದೃಢವಾದ / ನಿರ್ಣಾಯಕ,dr̥ḍhavāda / nirṇāyaka
deck (ship platform),N/A,noun,b2,ಹಡಗಿನ ಮಹಡಿ,haḍagina mahaḍi
deck (of cards),N/A,noun,b2,ಕಾರ್ಡುಗಳ ಕಟ್ಟು,kārḍugaḷa kaṭṭu
declaration (proclamation),N/A,noun,c1,ಘೋಷಣೆ,ghōṣaṇe
declaration (submission of records),N/A,noun,c1,ವರದಿ / ವಿವರಣೆ,varadi / vivaraṇe
to declare (goods or income),transitive,verb,b2,ಘೋಷಿಸು,ghōṣisu
decline (decrease or deterioration),N/A,noun,b2,ಇಳಿಕೆ / ಕುಸಿತ,iḷike / kusita
decline (slope or descent),N/A,noun,b2,ಇಳಿಜಾರು,iḷijāru
to decline (refuse offer),transitive,verb,b2,ನಿರಾಕರಿಸು,nirākarisu
"to decline (decrease, deteriorate)",intransitive,verb,b2,ಇಳಿಮುಖವಾಗು,iḷimukhavāgu
to decorate,transitive,verb,b1,ಅಲಂಕರಿಸು,alaṁkarisu
decoration (award or medal),N/A,noun,b2,ಪ್ರಶಸ್ತಿ / ಪದಕ,praśasti / padaka
decrease,N/A,noun,b2,ಇಳಿಕೆ,iḷike
to decrease (reduce),transitive,verb,b2,ಕಡಿಮೆ ಮಾಡು,kaḍime māḍu
to decrease (get smaller),intransitive,verb,b2,ಕಡಿಮೆಯಾಗು,kaḍimeyāgu
dedicated (committed),N/A,adjective,c1,ಸಮರ್ಪಿತ,samarpita
"dedicated (purpose-built, reserved)",N/A,adjective,c1,ಮೀಸಲಾದ,mīsalāda
"dedication (commitment, devotion)",N/A,noun,c1,ಸಮರ್ಪಣೆ,samarpaṇe
dedication (formal inscription or ceremony),N/A,noun,c1,ಅರ್ಪಣೆ,arpaṇe
deed (action),N/A,noun,c1,ಕಾರ್ಯ / ಕೃತ್ಯ,kārya / kr̥tya
deed (legal document),N/A,noun,c1,ದಸ್ತಾವೇಜು,dastāvēju
to deem,transitive,verb,c1,ಪರಿಗಣಿಸು,parigaṇisu
deep (conceptual or profound),N/A,adjective,a2,ಆಳವಾದ,āḷavāda
deep (intense color),N/A,adjective,a2,ಗಾಢವಾದ,gāḍhavāda
deep (spatially),N/A,adverb,b1,ಆಳವಾಗಿ,āḷavāgi
deep (profoundly),N/A,adverb,b1,ಆಳವಾಗಿ,āḷavāgi
"deeply (emotionally, intensely)",N/A,adverb,b2,ತೀವ್ರವಾಗಿ / ಆಳವಾಗಿ,tīvravāgi / āḷavāgi
"deeply (physically, literally)",N/A,adverb,b2,ಆಳವಾಗಿ,āḷavāgi
default (failure to fulfill obligation),N/A,noun,c1,ಸುಸ್ತಿ,susti
default (preselected setting),N/A,noun,c1,ಪೂರ್ವನಿಯೋಜನೆ,pūrvaniyōjane
"defeat (formal, political loss)",N/A,noun,b2,ಪರಾಭವ,parābhava
to defeat (formally),transitive,verb,b2,ಪರಾಭವಗೊಳಿಸು,parābhavagoḷisu
defect (act of desertion),N/A,noun,c1,ಪಕ್ಷಾಂತರ,pakṣāṁtara
to defect,intransitive,noun,c1,ಪಕ್ಷಾಂತರ ಮಾಡು,pakṣāṁtara māḍu
defence (legal argument),N/A,noun,b2,ಸಮರ್ಥನೆ,samarthane
defence (legal party),N/A,noun,b2,ಪ್ರತಿವಾದಿ ಪಕ್ಷ,prativādi pakṣa
"to defend (to guard, protect)",transitive,verb,b2,ರಕ್ಷಿಸು,rakṣisu
"to defend (to justify, support logically)",transitive,verb,b2,ಸಮರ್ಥಿಸು,samarthisu
defender (sports position),N/A,noun,b2,ರಕ್ಷಕ,rakṣaka
"defensive (strategy, protection)",N/A,adjective,c1,ರಕ್ಷಣಾತ್ಮಕ,rakṣaṇātmaka
defensive (reaction to criticism),N/A,adjective,c1,ರಕ್ಷಣಾತ್ಮಕ,rakṣaṇātmaka
deficiency (flaw or defect),N/A,noun,c1,ನ್ಯೂನತೆ,nyūnate
deficit,N/A,noun,c1,ಕೊರತೆ,korate
to define (a concept),transitive,verb,b1,ವ್ಯಾಖ್ಯಾನಿಸು,vyākhyānisu
to define (boundaries or limits),transitive,verb,b1,ನಿರ್ಧರಿಸು,nirdharisu
definite (certain),N/A,adjective,b1,ಖಚಿತವಾದ,khacitavāda
"definite (clear, well-defined)",N/A,adjective,b1,ನಿರ್ದಿಷ್ಟವಾದ,nirdiṣṭavāda
definitely (absolutely certain),N/A,adverb,a2,ಖಂಡಿತ,khaṁḍita
definition (meaning of a word),N/A,noun,b1,ಅರ್ಥ / ವ್ಯಾಖ್ಯಾನ,artha / vyākhyāna
definition (clarity or distinctness),N/A,noun,b1,ಸ್ಪಷ್ಟತೆ / ನಿಖರತೆ,spaṣṭate / nikharate
to defy (to challenge limits or possibility),transitive,verb,c1,ವಿರೋಧಿಸು,virōdhisu
degree (academic qualification),N/A,noun,a2,ಪದವಿ,padavi
degree (extent or amount),N/A,noun,a2,ಪ್ರಮಾಣ / ಮಟ್ಟ,pramāṇa / maṭṭa
to delay (to postpone an action),transitive,noun,b2,ತಡ ಮಾಡಿಸು,taḍa māḍisu
"to delay (to be late, linger)",intransitive,noun,b2,ತಡವಾಗು,taḍavāgu
to delay (run late),intransitive,verb,b2,ವಿಳಂಬವಾಗು,viḷaṁbavāgu
to delay (postpone),transitive,verb,b2,ಮುಂದೂಡು,muṁdūḍu
to delegate (responsibility),transitive,noun,c1,ನಿಯೋಜಿಸು,niyōjisu
delegation (group of representatives),N/A,noun,c1,ನಿಯೋಗ,niyōga
delegation (act of assigning responsibility),N/A,noun,c1,ನಿಯೋಜನೆ,niyōjane
to delete (erase content),transitive,verb,b2,ಅಳಿಸು,aḷisu
"to delete (remove item, account)",transitive,verb,b2,ರದ್ದುಮಾಡು,raddumāḍu
deliberate (intentional),N/A,adjective,b2,ಉದ್ದೇಶಪೂರ್ವಕ,uddēśapūrvaka
"deliberate (careful, slow)",N/A,adjective,b2,ನಿಧಾನವಾದ / ಜಾಗರೂಕ,nidhānavāda / jāgarūka
deliberately (on purpose),N/A,adverb,b2,ಉದ್ದೇಶಪೂರ್ವಕವಾಗಿ,uddēśapūrvakavāgi
deliberately (carefully and slowly),N/A,adverb,b2,ಜಾಗರೂಕತೆಯಿಂದ / ನಿಧಾನವಾಗಿ,jāgarūkateyiṁda / nidhānavāgi
delicate (fragile or dainty),N/A,adjective,c1,ಸೂಕ್ಷ್ಮವಾದ / ನಾಜೂಕಿನ,sūkṣmavāda / nājūkina
delicate (sensitive situation),N/A,adjective,c1,ಸೂಕ್ಷ್ಮವಾದ,sūkṣmavāda
delicious (flavorful),N/A,adjective,a2,ರುಚಿಯಾದ / ಸವಿಯಾದ,ruciyāda / saviyāda
delight,N/A,noun,b2,ಸಂತೋಷ / ಆನಂದ,saṁtōṣa / ānaṁda
to delight (someone),transitive,verb,b2,ಸಂತೋಷಪಡಿಸು,saṁtōṣapaḍisu
to delight (in something),intransitive,verb,b2,ಸಂತೋಷಪಡು,saṁtōṣapaḍu
delighted,N/A,adjective,b2,ಸಂತೋಷಗೊಂಡ / ಹರ್ಷಿತ,saṁtōṣagoṁḍa / harṣita
"to deliver (a speech, lecture)",transitive,verb,b2,ಮಾತನಾಡು,mātanāḍu
"to deliver (a baby, assist in birth)",transitive,verb,b2,ಪ್ರಸವ ಮಾಡಿಸು,prasava māḍisu
delivery (childbirth),N/A,noun,b2,ಪ್ರಸವ / ಹೆರಿಗೆ,prasava / herige
delivery (speech style),N/A,noun,b2,ನಿರೂಪಣೆ / ಮಾತಿನ ಶೈಲಿ,nirūpaṇe / mātina śaili
to demand,transitive,noun,b2,ಬೇಡಿಕೆ,bēḍike
to demand (insistently claim),transitive,verb,b2,ಬೇಡಿಕೆ ಇಡು / ಆಗ್ರಹಿಸು,bēḍike iḍu / āgrahisu
to demand (to require),transitive,verb,b2,ಬೇಡಿಕೆ ಇಡು,bēḍike iḍu
democratic,N/A,noun,b2,ಪ್ರಜಾಪ್ರಭುತ್ವದ,prajāprabhutvada
"democratic (inclusive, egalitarian)",N/A,adjective,b2,ಸಮಾನತೆಯ,samānateya
democratic (participatory),N/A,adjective,b2,ಭಾಗವಹಿಸುವಿಕೆಯ,bhāgavahisuvikeya
essential (necessary),N/A,adjective,b1,ಅಗತ್ಯ,agatya
essential (fundamental),N/A,adjective,b2,ಮೂಲಭೂತ,mūlabhūta
essentially,N/A,adverb,b2,ಮೂಲತಃ,mūlataḥ
to establish (a business or institution),transitive,verb,b2,ಸ್ಥಾಪಿಸು,sthāpisu
to establish (a fact or truth),transitive,verb,b2,ಸಾಬೀತುಪಡಿಸು,sābītupaḍisu
"to establish (a truth, confirm)",transitive,verb,b2,ದೃಢಪಡಿಸು,dr̥ḍhapaḍisu
establishment (business location or institution),N/A,noun,c1,ಸಂಸ್ಥೆ,saṁsthe
establishment (business location),N/A,noun,c1,ವ್ಯವಹಾರ ಸ್ಥಳ,vyavahāra sthaḷa
establishment (act of founding or creation),N/A,noun,c1,ಸ್ಥಾಪನೆ,sthāpane
"establishment (ruling elite, dominant system)",N/A,noun,c1,ಆಡಳಿತ ವರ್ಗ,āḍaḷita varga
estate (legal assets),N/A,noun,b2,ಆಸ್ತಿ,āsti
estate (industrial or housing area),N/A,noun,b2,ಸಂಕೀರ್ಣ / ಬಡಾವಣೆ,saṁkīrṇa / baḍāvaṇe
estimate,N/A,noun,b2,ಅಂದಾಜು,aṁdāju
to estimate (to value highly),transitive,verb,b2,ಗೌರವಿಸು,gauravisu
to estimate (calculate roughly),transitive,verb,b2,ಅಂದಾಜು ಮಾಡು,aṁdāju māḍu
"eternal (lasting forever, spiritual)",N/A,adjective,c1,ಶಾಶ್ವತ,śāśvata
eternal (constantly recurring),N/A,adjective,c1,ನಿರಂತರ,niraṁtara
eternal (never ending),N/A,adjective,c1,ಎಂದಿಗೂ ಮುಗಿಯದ,eṁdigū mugiyada
ethic (formal system of morality),N/A,noun,b2,ನೈತಿಕ ತತ್ವ,naitika tatva
ethic (characteristic quality),N/A,noun,b2,ನೀತಿ,nīti
ethical,N/A,adjective,b2,ನೈತಿಕ,naitika
ethnic (relating to cultural style),N/A,adjective,b2,ಜನಾಂಗೀಯ,janāṁgīya
euro,N/A,noun,a1,ಯೂರೋ,yūrō
to evacuate (people from a dangerous place),transitive,verb,c1,ಸ್ಥಳಾಂತರಿಸು,sthaḷāṁtarisu
"to evacuate (bowels, stomach contents)",transitive,verb,c1,ವಿಸರ್ಜಿಸು,visarjisu
to evaluate (critique),transitive,verb,b2,ವಿಮರ್ಶಿಸು,vimarśisu
"to evaluate (assess, judge)",transitive,verb,b2,ಮೌಲ್ಯಮಾಪನ ಮಾಡು,maulyamāpana māḍu
evaluation,N/A,noun,b2,ಮೌಲ್ಯಮಾಪನ,maulyamāpana
even (level or flat),N/A,adjective,b2,ಸಮ / ಸಮತಟ್ಟಾದ,sama / samataṭṭāda
even (equal or balanced),N/A,adjective,b2,ಸಮ,sama
even (number),N/A,adjective,b2,ಸಮ,sama
even (unexpectedly),N/A,adverb,a1,ಕೂಡ / ಸಹ,kūḍa / saha
"even (more, better)",N/A,adverb,a1,ಇನ್ನೂ,innū
"evening (formal, dusk)",N/A,noun,a1,ಸಾಯಂಕಾಲ,sāyaṁkāla
"evening (common, colloquial)",N/A,noun,a1,ಸಂಜೆ,saṁje
event (happening),N/A,noun,a1,ಘಟನೆ,ghaṭane
event (planned function),N/A,noun,a1,ಕಾರ್ಯಕ್ರಮ,kāryakrama
eventually (in the course of time),N/A,adverb,b2,ಕಾಲಕ್ರಮೇಣ,kālakramēṇa
eventually (finally),N/A,adverb,b1,ಕೊನೆಗೆ,konege
ever (at any time),N/A,adverb,a1,ಎಂದಾದರೂ,eṁdādarū
ever (always),N/A,adverb,a1,ಯಾವಾಗಲೂ,yāvāgalū
every,N/A,determiner,a1,ಪ್ರತಿ / ಪ್ರತಿಯೊಂದು,prati / pratiyoṁdu
everybody,N/A,pronoun,a1,ಪ್ರತಿಯೊಬ್ಬರೂ / ಎಲ್ಲರೂ,pratiyobbarū / ellarū
everyday,N/A,adjective,a2,ದೈನಂದಿನ / ದಿನನಿತ್ಯದ,dainaṁdina / dinanityada
everyone,N/A,pronoun,a1,ಪ್ರತಿಯೊಬ್ಬರೂ / ಎಲ್ಲರೂ,pratiyobbarū / ellarū
"everything (standard, complete)",N/A,pronoun,a1,ಎಲ್ಲವೂ / ಸಮಸ್ತ,ellavū / samasta
"everything (colloquial, spoken)",N/A,pronoun,a1,ಎಲ್ಲಾ,ellā
everywhere,N/A,adverb,a2,ಎಲ್ಲೆಡೆ / ಎಲ್ಲಾ ಕಡೆ,elleḍe / ellā kaḍe
"evidence (proof, documents)",N/A,noun,a2,ಸಾಕ್ಷ್ಯಾಧಾರ / ದಾಖಲೆ / ರುಜುವಾತು,sākṣyādhāra / dākhale / rujuvātu
"evidence (testimony, witness account)",N/A,noun,a2,ಸಾಕ್ಷ್ಯ / ಹೇಳಿಕೆ,sākṣya / hēḷike
"evident (manifest, apparent)",N/A,adjective,b2,ಸ್ಪಷ್ಟವಾದ / ಗೋಚರವಾದ,spaṣṭavāda / gōcaravāda
"evil (wicked, morally bad)",N/A,adjective,b2,ದುಷ್ಟ / ಕೆಟ್ಟ,duṣṭa / keṭṭa
"evil (harmful, malignant)",N/A,adjective,b2,ಹಾನಿಕರ / ದುರುದ್ದೇಶದ,hānikara / duruddēśada
"evil (wickedness, moral depravity)",N/A,noun,b2,ದುಷ್ಟತನ / ಕೇಡು,duṣṭatana / kēḍu
to evoke (memory or feeling),transitive,verb,c1,ಕೆದಕು,kedaku
to evoke (a reaction or response),transitive,verb,c1,ಪ್ರಚೋದಿಸು,pracōdisu
evolution (biological theory),N/A,noun,b2,ಜೀವವಿಕಾಸ,jīvavikāsa
evolutionary,N/A,adjective,c1,ವಿಕಾಸೀಯ,vikāsīya
to evolve (gradually change),intransitive,verb,b2,ವಿಕಾಸಗೊಳ್ಳು,vikāsagoḷḷu
to evolve (to develop or formulate a plan),transitive,verb,b2,ಅಭಿವೃದ್ಧಿಪಡಿಸು,abhivr̥ddhipaḍisu
exact,N/A,adjective,a2,ನಿಖರ,nikhara
