id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
206,button (device control),noun,a2,nan,ಬಟನ್ / ಗುಂಡಿ,baṭan / guṁḍi
207,to buy (koḷḷu),verb,a1,transitive,ಕೊಳ್ಳು / ಖರೀದಿಸು,koḷḷu / kharīdisu
208,by (means or agent),adverb,b1,nan,ಇಂದ / ಮೂಲಕ,iṁda / mūlaka
209,by (next to),adverb,b1,nan,ಪಕ್ಕದಲ್ಲಿ / ಹತ್ತಿರ,pakkadalli / hattira
210,by (not later than),adverb,b1,nan,ಒಳಗೆ / ಮುನ್ನ,oḷage / munna
211,by (means of),preposition,a1,nan,ಮೂಲಕ / ಇಂದ,mūlaka / iṁda
212,by (deadline),preposition,a1,nan,ಒಳಗೆ / ಮುನ್ನ,oḷage / munna
213,"by (near, beside)",preposition,a1,nan,ಪಕ್ಕದಲ್ಲಿ / ಹತ್ತಿರ / ಬಳಿ,pakkadalli / hattira / baḷi
214,bye (polite parting),exclamation,a1,nan,ಬೈ / ನಮಸ್ಕಾರ / ಹೋಗಿ ಬನ್ನಿ,bai / namaskāra / hōgi banni
215,"cabin (small dwelling, hut)",noun,b2,nan,ಗುಡಿಸಲು / ಚಿಕ್ಕ ಮನೆ,guḍisalu / cikka mane
216,"cabin (aircraft, ship compartment)",noun,b2,nan,ಕ್ಯಾಬಿನ್ / ಕೋಣೆ,kyābin / kōṇe
217,cabinet (political body),noun,c1,nan,ಸಚಿವ ಸಂಪುಟ / ಸಂಪುಟ,saciva saṁpuṭa / saṁpuṭa
218,cabinet (storage unit),noun,c1,nan,ಕಬಾಟು / ಅಲಮಾರು,kabāṭu / alamāru
219,"cable (structural rope, hawser)",noun,b2,nan,ಕೇಬಲ್ / ಹಗ್ಗ,kēbal / hagga
220,to arrive,verb,a1,nan,ಬರು / ತಲುಪು,baru / talupu
221,arrow (directional symbol),noun,b2,nan,ಬಾಣ / ಬಾಣದ ಗುರುತು,bāṇa / bāṇada gurutu
222,art (skill or technique),noun,a1,nan,ಕಲೆ / ಕೌಶಲ್ಯ,kale / kauśalya
223,article (writing),noun,a1,nan,ಲೇಖನ / ಬರಹ,lēkhana / baraha
224,article (object),noun,a1,nan,ವಸ್ತು / ಸಾಮಾನು,vastu / sāmānu
225,to articulate (to form a joint),verb,c1,nan,ಸಂಧಿಸು / ಜೋಡಿಸು,saṁdhisu / jōḍisu
226,artificial (synthetic),adjective,b2,nan,ಕೃತಕ / ನಕಲಿ / ಮಾನವ ನಿರ್ಮಿತ,kr̥taka / nakali / mānava nirmita
227,assistant (person),adjective,a2,nan,ಸಹಾಯಕ / ಅಸಿಸ್ಟೆಂಟ್ / ಸಹಕಾರಿ,sahāyaka / asisṭeṁṭ / sahakāri
228,to connect (to establish contact),verb,a2,transitive,ಸಂಪರ್ಕಿಸು / ಜೋಡಿಸು / ಸೇರಿಸು,saṁparkisu / jōḍisu / sērisu
229,conscience,noun,c1,nan,ಮನಸ್ಸಾಕ್ಷಿ / ಅಂತಃಕರಣ,manassākṣi / aṁtaḥkaraṇa
230,"consciousness (collective, philosophical)",noun,c1,nan,ಪ್ರಜ್ಞೆ / ಅರಿವು / ಚೇತನ,prajñe / arivu / cētana
231,consensus,noun,c1,nan,ಒಮ್ಮತ / ಸರ್ವಾನುಮತ,ommata / sarvānumata
232,"consequently (formal, written)",adverb,b2,nan,ಪರಿಣಾಮವಾಗಿ / ಆದುದರಿಂದ,pariṇāmavāgi / ādudariṁda
233,"conventional (military, weapons)",adjective,b2,nan,ಸಾಂಪ್ರದಾಯಿಕ / ರೂಢಿಗತ,sāṁpradāyika / rūḍhigata
234,conversion (religious),noun,c1,nan,ಮತಾಂತರ / ಧರ್ಮಾಂತರ,matāṁtara / dharmāṁtara
235,to convert (change religion),verb,b2,transitive,ಮತಾಂತರ ಮಾಡು / ಧರ್ಮಾಂತರ ಮಾಡು,matāṁtara māḍu / dharmāṁtara māḍu
236,cooker (appliance),noun,a2,nan,ಕುಕ್ಕರ್,kukkar
237,current (natural flow),noun,b2,nan,ಪ್ರವಾಹ / ಹರಿವು,pravāha / harivu
238,current (electrical),noun,b2,nan,ವಿದ್ಯುತ್ ಪ್ರವಾಹ / ಕರೆಂಟ್,vidyut pravāha / kareṁṭ
239,currently (formal),adverb,b1,nan,ಪ್ರಸ್ತುತ / ಸದ್ಯಕ್ಕೆ / ಈಗ,prastuta / sadyakke / īga
240,curriculum,noun,b2,nan,ಪಠ್ಯಕ್ರಮ / ಪಠ್ಯಸೂಚಿ,paṭhyakrama / paṭhyasūci
241,curtain,noun,b1,nan,ಪರದೆ / ತೆರೆ,parade / tere
242,curve (graph or statistics),noun,b2,nan,ವಕ್ರರೇಖೆ,vakrarēkhe
243,"to curve (path, trajectory)",verb,b2,intransitive,ಬಾಗು / ತಿರುಗು,bāgu / tirugu
244,to curve (to bend something),verb,b2,transitive,ಬಾಗಿಸು / ವಕ್ರಗೊಳಿಸು,bāgisu / vakragoḷisu
245,"curved (bent, crooked)",adjective,b2,nan,ಬಾಗಿದ / ಡೊಂಕು / ವಕ್ರ,bāgida / ḍoṁku / vakra
246,"curved (arc, formal)",adjective,b2,nan,ವಕ್ರ,vakra
247,custody (detention by police),noun,c1,nan,ವಶ / ಬಂಧನ,vaśa / baṁdhana
248,police custody,noun,c1,nan,ಪೊಲೀಸ್ ವಶ / ಪೊಲೀಸ್ ಬಂಧನ,polīs vaśa / polīs baṁdhana
249,custody (legal guardianship),noun,c1,nan,ಪೋಷಕತ್ವ / ಪಾಲಕತ್ವ / ಪಾಲನೆ,pōṣakatva / pālakatva / pālane
250,"custody (care, guardianship)",noun,c1,nan,ರಕ್ಷಣೆ / ಪಾಲನೆ / ಸುಪರ್ದಿ,rakṣaṇe / pālane / supardi
251,"custom (duties, tax authority)",noun,b1,nan,ಸುಂಕ / ಕಸ್ಟಮ್ಸ್,suṁka / kasṭams
252,customer,noun,a1,nan,ಗ್ರಾಹಕ / ಕಸ್ಟಮರ್,grāhaka / kasṭamar
253,cut (reduction),noun,b1,nan,ಕಡಿತ / ಇಳಿಕೆ,kaḍita / iḷike
254,cut (style),noun,b1,nan,ಶೈಲಿ / ಕಟ್,śaili / kaṭ
255,cutting (the act of severing),noun,c1,nan,ಕತ್ತರಿಸುವಿಕೆ / ಛೇದನ,kattarisuvike / chēdana
256,cutting (plant piece for propagation),noun,c1,nan,ಕಸಿ / ಸಸಿ,kasi / sasi
257,cutting (plant piece),noun,c1,nan,ಕಸಿ / ಸಸಿ,kasi / sasi
258,"cutting (newspaper clipping, excerpt)",noun,c1,nan,ತುಣುಕು / ಲೇಖನ ತುಣುಕು,tuṇuku / lēkhana tuṇuku
259,cycle (bicycle),noun,a2,nan,ಸೈಕಲ್ / ದ್ವಿಚಕ್ರವಾಹನ,saikal / dvicakravāhana
260,cycle (period of time or recurring sequence),noun,a2,nan,ಚಕ್ರ / ಆವರ್ತ / ಅವಧಿ,cakra / āvarta / avadhi
261,to cycle,verb,a2,intransitive,ಸೈಕಲ್ ಓಡಿಸು,saikal ōḍisu
262,scornfully pessimistic,adjective,c1,nan,ವ್ಯಂಗ್ಯದ ನಿರಾಶಾವಾದಿ,vyaṁgyada nirāśāvādi
263,dad (common spoken),noun,a1,nan,ಅಪ್ಪ / ಡ್ಯಾಡಿ,appa / ḍyāḍi
264,"father (formal, biological)",noun,a1,nan,ತಂದೆ / ಜನಕ / ಪಿತೃ,taṁde / janaka / pitr̥
265,daily (every day),adjective,a2,nan,ದೈನಂದಿನ / ಪ್ರತಿದಿನದ,dainaṁdina / pratidinada
266,daily (every day),adverb,b1,nan,ಪ್ರತಿದಿನ / ದಿನನಿತ್ಯ,pratidina / dinanitya
267,"daily (routine, regularly)",adverb,b1,nan,ಪ್ರತಿದಿನ / ದಿನನಿತ್ಯ / ನಿಯಮಿತವಾಗಿ,pratidina / dinanitya / niyamitavāgi
268,dairy,adjective,b2,nan,ಹಾಲಿನ / ಕ್ಷೀರ,hālina / kṣīra
269,dairy (establishment or factory),noun,b2,nan,ಡೈರಿ / ಹಾಲು ಉತ್ಪಾದನಾ ಘಟಕ,ḍairi / hālu utpādanā ghaṭaka
270,dam (mother of an animal),noun,c1,nan,ತಾಯಿ / ಹೆಣ್ಣು,tāyi / heṇṇu
271,damages (legal compensation),noun,b1,nan,ಪರಿಹಾರ / ನಷ್ಟ ಪರಿಹಾರ,parihāra / naṣṭa parihāra
272,dark,noun,a2,nan,ಕತ್ತಲೆ / ಅಂಧಕಾರ,kattale / aṁdhakāra
273,to date (determine age),verb,b2,transitive,ದಿನಾಂಕ ನಿರ್ಧರಿಸು / ಕಾಲ ನಿರ್ಧರಿಸು,dināṁka nirdharisu / kāla nirdharisu
274,dead (powerless or depleted),adjective,a2,nan,ಶಕ್ತಿಹೀನ / ಖಾಲಿಯಾದ,śaktihīna / khāliyāda
275,deadly (extremely serious),adjective,b2,nan,ಮಾರಕ / ಪ್ರಾಣಾಂತಿಕ / ಘೋರ,māraka / prāṇāṁtika / ghōra
276,deadly (accurate),adjective,b2,nan,ನಿಖರ / ಖಚಿತ / ಚುರುಕು,nikhara / khacita / curuku
277,deal (amount),noun,b1,nan,ಬಹಳಷ್ಟು / ಸಾಕಷ್ಟು / ಹೆಚ್ಚು,bahaḷaṣṭu / sākaṣṭu / heccu
278,"each (each one, individually)",adverb,a1,nan,ಪ್ರತಿಯೊಂದೂ / ಒಂದೊಂದಾಗಿ,pratiyoṁdū / oṁdoṁdāgi
279,each (per unit),determiner,a1,nan,ಪ್ರತಿ / ಒಂದೊಂದು,prati / oṁdoṁdu
280,each (per unit),pronoun,a1,nan,ಪ್ರತಿಯೊಬ್ಬರೂ / ಪ್ರತಿಯೊಂದೂ,pratiyobbarū / pratiyoṁdū
281,"easily (likely, probably)",adverb,a2,nan,ಸುಲಭವಾಗಿ / ಬಹುಶಃ,sulabhavāgi / bahuśaḥ
282,east (the direction),adjective,a1,nan,ಪೂರ್ವ,pūrva
283,east (eastern),adjective,a1,nan,ಪೂರ್ವ / ಪೂರ್ವದ,pūrva / pūrvada
284,east (the direction),adverb,a1,nan,ಪೂರ್ವಕ್ಕೆ / ಪೂರ್ವದಿಕ್ಕಿಗೆ,pūrvakke / pūrvadikkige
285,east,noun,a1,nan,ಪೂರ್ವ / ಪೂರ್ವದಿಕ್ಕು,pūrva / pūrvadikku
286,easy (simple or straightforward nature),adjective,a1,nan,ಸುಲಭ / ಸರಳ / ಸಲೀಸು,sulabha / saraḷa / salīsu
287,"to edit (formally, to revise content)",verb,b2,transitive,ಸಂಪಾದಿಸು / ತಿದ್ದು,saṁpādisu / tiddu
288,edition (of a newspaper or magazine),noun,b2,nan,ಆವೃತ್ತಿ / ಸಂಚಿಕೆ,āvr̥tti / saṁcike
289,to emerge (to come out),verb,b2,intransitive,ಹೊರಬರು / ಮೂಡಿಬರು,horabaru / mūḍibaru
290,to emerge (to become known),verb,b2,intransitive,ಹೊರಬೀಳು / ಬೆಳಕಿಗೆ ಬರು / ಗೋಚರಿಸು,horabīḷu / beḷakige baru / gōcarisu
291,emergence (coming out or surfacing),noun,c1,nan,ಹೊರಹೊಮ್ಮುವಿಕೆ / ಉದಯ / ಆವಿರ್ಭಾವ,horahommuvike / udaya / āvirbhāva
292,"emergency (sudden crisis, medical need)",noun,b1,nan,ತುರ್ತು ಪರಿಸ್ಥಿತಿ / ಆಪತ್ತು,turtu paristhiti / āpattu
293,state of emergency (political declaration),noun,b2,nan,ತುರ್ತು ಪರಿಸ್ಥಿತಿ,turtu paristhiti
294,"emission (of pollutants, heat)",noun,b2,nan,ಹೊರಸೂಸುವಿಕೆ / ವಿಸರ್ಜನೆ / ಉತ್ಸರ್ಜನೆ,horasūsuvike / visarjane / utsarjane
295,emission (biological discharge),noun,b2,nan,ವಿಸರ್ಜನೆ / ಸ್ರಾವ,visarjane / srāva
296,emotion (intense agitation or excitement),noun,b2,nan,ಭಾವನೆ / ಸಂವೇದನೆ / ಮನೋಭಾವ,bhāvane / saṁvēdane / manōbhāva
297,"emotional (relating to feelings, affect)",adjective,b2,nan,ಭಾವನಾತ್ಮಕ / ಭಾವ ಸಂಬಂಧಿ,bhāvanātmaka / bhāva saṁbaṁdhi
298,emotional (easily moved or sensitive),adjective,b2,nan,ಭಾವನಾತ್ಮಕ / ಸೂಕ್ಷ್ಮ,bhāvanātmaka / sūkṣma
299,emotionally,adverb,b2,nan,ಭಾವನಾತ್ಮಕವಾಗಿ,bhāvanātmakavāgi
300,emphasis (stress in speech),noun,b2,nan,ಒತ್ತು / ಪ್ರಾಮುಖ್ಯತೆ,ottu / prāmukhyate
301,to emphasize (make prominent),verb,b2,transitive,ಒತ್ತುಕೊಡು / ಒತ್ತಿಹೇಳು / ಪ್ರಾಮುಖ್ಯತೆ ನೀಡು,ottukoḍu / ottihēḷu / prāmukhyate nīḍu
302,"empire (business, organization)",noun,b2,nan,ಸಾಮ್ರಾಜ್ಯ / ಉದ್ಯಮ ಸಾಮ್ರಾಜ್ಯ,sāmrājya / udyama sāmrājya
303,empirical,adjective,c1,nan,ಪ್ರಾಯೋಗಿಕ / ಅನುಭವಾತ್ಮಕ,prāyōgika / anubhavātmaka
304,to employ (hire someone),verb,a2,transitive,ಕೆಲಸಕ್ಕೆ ತೆಗೆದುಕೊಳ್ಳು / ನೇಮಿಸು / ಉದ್ಯೋಗ ನೀಡು,kelasakke tegedukoḷḷu / nēmisu / udyōga nīḍu
305,to employ (use a tool or method),verb,a2,transitive,ಉಪಯೋಗಿಸು / ಬಳಸು,upayōgisu / baḷasu
306,employee (female staff member),noun,a2,nan,ನೌಕರಳು / ಉದ್ಯೋಗಿ,naukaraḷu / udyōgi
307,"employee (subordinate, junior worker)",noun,b1,nan,ನೌಕರ / ಉದ್ಯೋಗಿ,naukara / udyōgi
308,"employer (owner, boss)",noun,a2,nan,ಮಾಲೀಕ / ಉದ್ಯೋಗದಾತ / ಯಜಮಾನ,mālīka / udyōgadāta / yajamāna
309,empty (containing nothing),adjective,a2,nan,ಖಾಲಿ / ಬರಿದಾದ,khāli / baridāda
310,to empty (something),verb,b1,transitive,ಖಾಲಿಮಾಡು / ಬರಿದುಮಾಡು,khālimāḍu / baridumāḍu
311,to empty (become empty),verb,b1,intransitive,ಖಾಲಿಯಾಗು / ಬರಿದಾಗು,khāliyāgu / baridāgu
312,to enable (a feature or setting),verb,b2,transitive,ಸಕ್ರಿಯಗೊಳಿಸು,sakriyagoḷisu
313,to enact (a law),verb,c1,transitive,ಜಾರಿಗೊಳಿಸು / ಕಾನೂನು ಮಾಡು / ವಿಧಿಸು,jārigoḷisu / kānūnu māḍu / vidhisu
314,"to enact (a scene, role)",verb,c1,transitive,ಅಭಿನಯಿಸು / ನಟಿಸು,abhinayisu / naṭisu
315,encounter (unplanned meeting or minor clash),noun,b2,nan,ಭೇಟಿ / ಮುಖಾಮುಖಿ / ಘರ್ಷಣೆ,bhēṭi / mukhāmukhi / gharṣaṇe
316,to encounter (to meet by chance),verb,b2,intransitive,ಎದುರಾಗು / ಭೇಟಿಯಾಗು,edurāgu / bhēṭiyāgu
317,"to encounter (difficulty, opposition)",verb,b2,transitive,ಎದುರಿಸು,edurisu
318,to encourage,verb,b1,transitive,ಪ್ರೋತ್ಸಾಹಿಸು / ಉತ್ತೇಜಿಸು,prōtsāhisu / uttējisu
319,encouragement,noun,c1,nan,ಪ್ರೋತ್ಸಾಹ / ಉತ್ತೇಜನ,prōtsāha / uttējana
320,to end (to finish doing something),verb,a1,transitive,ಮುಗಿಸು / ಕೊನೆಗೊಳಿಸು,mugisu / konegoḷisu
321,endeavour,noun,c1,nan,ಪ್ರಯತ್ನ / ಸಾಹಸ,prayatna / sāhasa
322,"ending (conclusion of story, event)",noun,a2,nan,ಅಂತ್ಯ / ಕೊನೆ / ಸಮಾಪ್ತಿ,aṁtya / kone / samāpti
323,"to endorse (to publicly support a product, candidate)",verb,c1,transitive,ಬೆಂಬಲಿಸು / ಅನುಮೋದಿಸು,beṁbalisu / anumōdisu
324,to endorse (formally approve),verb,c1,transitive,ಅನುಮೋದಿಸು / ಅಂಗೀಕರಿಸು,anumōdisu / aṁgīkarisu
325,endorsement (commercial product promotion),noun,c1,nan,ಬೆಂಬಲ / ಅನುಮೋದನೆ / ಪ್ರಚಾರ ಬೆಂಬಲ,beṁbala / anumōdane / pracāra beṁbala
326,cream (dairy product),adjective,b1,nan,ಕೆನೆಯುಳ್ಳ / ಕೆನೆಯಂತಹ,keneyuḷḷa / keneyaṁtaha
327,cream (lotion),adjective,b1,nan,ಕೆನೆಯಂತಹ / ಲೇಪನದಂತಹ,keneyaṁtaha / lēpanadaṁtaha
328,crowded (high density),adjective,a2,nan,ಗಿಜಿಗುಡುವ / ಜನಸಂದಣಿ ಇರುವ / ನಿಬಿಡ / ದಟ್ಟವಾದ,gijiguḍuva / janasaṁdaṇi iruva / nibiḍa / daṭṭavāda
329,dear,exclamation,a2,nan,ಅಯ್ಯೋ / ಅಯ್ಯಯ್ಯೋ / ಛೇ,ayyō / ayyayyō / chē
330,"debut (formal, classical)",noun,c1,nan,ಪ್ರಥಮ ಪ್ರದರ್ಶನ / ಚೊಚ್ಚಲ ಪ್ರದರ್ಶನ / ಅರಂಗೇಟ್ರಂ,prathama pradarśana / coccala pradarśana / araṁgēṭraṁ
331,euro,noun,a1,nan,ಯೂರೋ,yūrō
332,to do,verb,a1,nan,ಮಾಡು,māḍu
333,to do,auxiliary verb,a1,transitive,ಮಾಡು,māḍu
334,"to dominate (control, influence)",verb,b2,transitive,ನಿಯಂತ್ರಿಸು / ಆಳು / ಪ್ರಭಾವ ಬೀರು / ಮೆರೆ,niyaṁtrisu / āḷu / prabhāva bīru / mere
335,"to dominate (be prominent, tower over)",verb,b2,intransitive,ಎದ್ದು ಕಾಣು / ಮೇಲುಗೈ ಸಾಧಿಸು / ಪ್ರಮುಖವಾಗಿರು,eddu kāṇu / mēlugai sādhisu / pramukhavāgiru
336,to donate,verb,b1,transitive,ದಾನ ಮಾಡು / ನೀಡು / ಕೊಡು / ಅರ್ಪಿಸು,dāna māḍu / nīḍu / koḍu / arpisu
337,"donation (medical, biological)",noun,b2,nan,ದಾನ,dāna
338,donation (religious offering),noun,b2,nan,ಕಾಣಿಕೆ / ದಾನ / ಅರ್ಪಣೆ,kāṇike / dāna / arpaṇe
339,"donor (general, philanthropic)",noun,c1,nan,ದಾನಿ,dāni
340,"donor (medical, e.g., blood, organ)",noun,c1,nan,ದಾನಿ,dāni
341,door,noun,a1,nan,ಬಾಗಿಲು / ಕದ / ದ್ವಾರ,bāgilu / kada / dvāra
342,dose (radiation measurement),noun,c1,nan,ಡೋಸ್ / ಪ್ರಮಾಣ,ḍōs / pramāṇa
343,"dot (forehead mark, bindi)",noun,b2,nan,ಬಿಂದಿ / ತಿಲಕ / ಪೊಟ್ಟು,biṁdi / tilaka / poṭṭu
344,to double,adjective,a2,transitive,ಎರಡು ಪಟ್ಟು / ದುಪ್ಪಟ್ಟು,eraḍu paṭṭu / duppaṭṭu
345,double,adverb,b1,nan,ಎರಡು ಪಟ್ಟು / ದುಪ್ಪಟ್ಟು / ಇಮ್ಮಡಿ,eraḍu paṭṭu / duppaṭṭu / immaḍi
346,to double (to multiply by two),determiner,b1,transitive,ಎರಡು ಪಟ್ಟು ಮಾಡು / ದುಪ್ಪಟ್ಟು ಮಾಡು,eraḍu paṭṭu māḍu / duppaṭṭu māḍu
347,double (designed for two people),determiner,a2,nan,ಡಬಲ್ / ಎರಡು ಜನರ,ḍabal / eraḍu janara
348,double (twice the amount or size),pronoun,a2,nan,ಎರಡು ಪಟ್ಟು / ದುಪ್ಪಟ್ಟು / ಇಮ್ಮಡಿ,eraḍu paṭṭu / duppaṭṭu / immaḍi
349,to double (to multiply or increase),pronoun,a2,transitive,ಎರಡು ಪಟ್ಟು ಮಾಡು / ದುಪ್ಪಟ್ಟು ಮಾಡು / ಹೆಚ್ಚಿಸು,eraḍu paṭṭu māḍu / duppaṭṭu māḍu / heccisu
350,to double (increase twofold),verb,a2,intransitive,ಎರಡರಷ್ಟಾಗು / ದುಪ್ಪಟ್ಟಾಗು,eraḍaraṣṭāgu / duppaṭṭāgu
351,to double (to fold over),verb,a2,transitive,ಮಡಚು / ದುಪ್ಪಟ್ಟು ಮಾಡು,maḍacu / duppaṭṭu māḍu
352,doubt,noun,b1,nan,ಸಂದೇಹ / ಅನುಮಾನ / ಸಂಶಯ,saṁdēha / anumāna / saṁśaya
353,to doubt,verb,b1,transitive,ಸಂದೇಹಿಸು / ಅನುಮಾನಿಸು,saṁdēhisu / anumānisu
354,"down (emotionally, sad)",adverb,a1,nan,ಖಿನ್ನವಾಗಿ / ದುಃಖಿತವಾಗಿ / ಬೇಸರದಿಂದ,khinnavāgi / duḥkhitavāgi / bēsaradiṁda
355,down,preposition,a1,nan,ಕೆಳಗೆ / ಕೆಳಕ್ಕೆ,keḷage / keḷakke
356,download,noun,a2,nan,ಡೌನ್‌ಲೋಡ್,ḍaunlōḍ
357,"download (action, process)",noun,a2,nan,ಡೌನ್‌ಲೋಡ್ / ಇಳಿಸಿಕೊಳ್ಳುವಿಕೆ,ḍaunlōḍ / iḷisikoḷḷuvike
358,to download,verb,a2,transitive,ಡೌನ್‌ಲೋಡ್ ಮಾಡು / ಇಳಿಸಿಕೊ,ḍaunlōḍ māḍu / iḷisiko
359,"downstairs (adverb of place, movement)",adjective,a2,nan,ಕೆಳಮಹಡಿಯ / ಕೆಳಗಿನ,keḷamahaḍiya / keḷagina
360,downstairs (movement),adjective,a2,intransitive,ಕೆಳಮಹಡಿಯ / ಕೆಳಗಿನ,keḷamahaḍiya / keḷagina
361,downstairs (adjective: relating to lower floor),adjective,a2,nan,ಕೆಳಮಹಡಿಯ / ಕೆಳಗಿನ,keḷamahaḍiya / keḷagina
362,downstairs (location),adverb,a1,nan,ಕೆಳಮಹಡಿಯಲ್ಲಿ / ಕೆಳಗೆ,keḷamahaḍiyalli / keḷage
363,downtown,adjective,b2,nan,ನಗರ ಕೇಂದ್ರದ / ಮುಖ್ಯ ನಗರದ,nagara kēṁdrada / mukhya nagarada
364,downtown,adverb,b2,nan,ನಗರ ಕೇಂದ್ರಕ್ಕೆ / ನಗರ ಕೇಂದ್ರದಲ್ಲಿ,nagara kēṁdrakke / nagara kēṁdradalli
365,downtown,noun,b2,nan,ನಗರ ಕೇಂದ್ರ / ಮುಖ್ಯ ನಗರ ಪ್ರದೇಶ,nagara kēṁdra / mukhya nagara pradēśa
366,downwards (decreasing trend),adverb,b2,nan,ಇಳಿಕೆಯ ಕಡೆಗೆ / ಕೆಳಮುಖವಾಗಿ,iḷikeya kaḍege / keḷamukhavāgi
367,dozens (many),determiner,b2,nan,ಹಲವಾರು / ಅನೇಕ / ಹತ್ತಾರು,halavāru / anēka / hattāru
368,dozen,noun,b2,nan,ಡಜನ್ / ಹನ್ನೆರಡು,ḍajan / hanneraḍu
369,draft (preliminary document),noun,b2,nan,ಕರಡು / ಪ್ರಾಥಮಿಕ ಪ್ರತಿ,karaḍu / prāthamika prati
370,draft (current of air),noun,b2,nan,ಗಾಳಿ ಸೆಳೆತ / ತಂಪು ಗಾಳಿ,gāḷi seḷeta / taṁpu gāḷi
371,draft (financial instrument),noun,b2,nan,ಡ್ರಾಫ್ಟ್ / ಹುಂಡಿ,ḍrāphṭ / huṁḍi
372,"to draft (a document, plan)",verb,b2,transitive,ಕರಡು ಸಿದ್ಧಪಡಿಸು / ಕರಡು ರಚಿಸು,karaḍu siddhapaḍisu / karaḍu racisu
373,"to draft (select for a team, military)",verb,b2,transitive,ಆಯ್ಕೆ ಮಾಡು / ನೇಮಿಸು,āyke māḍu / nēmisu
374,to drag (physically pull),verb,b2,transitive,ಎಳೆ / ಜಗ್ಗು,eḷe / jaggu
375,"to drag (process, time)",verb,b2,intransitive,ದೀರ್ಘವಾಗು / ನಿಧಾನವಾಗು,dīrghavāgu / nidhānavāgu
376,"to drain (exhaust resources, energy)",verb,c1,transitive,ಬರಿದುಮಾಡು / ಖಾಲಿಮಾಡು / ಕ್ಷೀಣಿಸು,baridumāḍu / khālimāḍu / kṣīṇisu
377,"to drain (flow away, liquid)",verb,c1,intransitive,ಹರಿದುಹೋಗು / ಬಸಿದುಹೋಗು / ಬತ್ತು,hariduhōgu / basiduhōgu / battu
378,drama (theatrical performance),noun,a2,nan,ನಾಟಕ / ರಂಗಪ್ರದರ್ಶನ,nāṭaka / raṁgapradarśana
379,"drama (melodrama, fuss)",noun,a2,nan,ನಾಟಕ / ಅತಿರೇಕ,nāṭaka / atirēka
380,dramatic (relating to theater),adjective,b2,nan,ನಾಟಕೀಯ,nāṭakīya
381,dramatic (striking or sudden),adjective,b2,nan,ಗಮನಾರ್ಹ / ಅನಿರೀಕ್ಷಿತ / ತೀವ್ರ,gamanārha / anirīkṣita / tīvra
382,"dramatic (sudden, severe)",adjective,b2,nan,ತೀವ್ರ / ಅನಿರೀಕ್ಷಿತ / ಹಠಾತ್,tīvra / anirīkṣita / haṭhāt
383,dramatically (significantly),adverb,b2,nan,ಗಮನಾರ್ಹವಾಗಿ / ತೀವ್ರವಾಗಿ,gamanārhavāgi / tīvravāgi
384,extremely (literary),adverb,a2,nan,ಅತ್ಯಂತ / ಅತಿ / ಪರಮ,atyaṁta / ati / parama
385,"to facilitate (a discussion, workshop)",verb,c1,transitive,ಸುಗಮಗೊಳಿಸು / ಮಾರ್ಗದರ್ಶನ ನೀಡು,sugamagoḷisu / mārgadarśana nīḍu
386,"famous (infamous, notorious)",adjective,a2,nan,ಕುಖ್ಯಾತ / ದುಷ್ಕೀರ್ತಿ,kukhyāta / duṣkīrti
387,farmer (formal),noun,a1,nan,ರೈತ / ಕೃಷಿಕ,raita / kr̥ṣika
388,fat (adjective),noun,a2,nan,ದಪ್ಪ / ಸ್ಥೂಲ,dappa / sthūla
389,fine,noun,c1,nan,ದಂಡ / ಜುಲ್ಮಾನೆ,daṁḍa / julmāne
390,fun,adjective,a2,nan,ಮೋಜಿನ / ವಿನೋದಮಯ,mōjina / vinōdamaya
391,"fun (enjoyment, amusement)",adjective,a2,nan,ಮೋಜಿನ / ವಿನೋದಮಯ / ಆನಂದದಾಯಕ,mōjina / vinōdamaya / ānaṁdadāyaka
392,to function (operate),verb,b2,intransitive,ಕಾರ್ಯನಿರ್ವಹಿಸು / ಕೆಲಸಮಾಡು,kāryanirvahisu / kelasamāḍu
393,"fundraising (formal, technical)",noun,c1,nan,ನಿಧಿ ಸಂಗ್ರಹ / ಧನ ಸಂಗ್ರಹ,nidhi saṁgraha / dhana saṁgraha
394,fur (material or garment),noun,b1,nan,ತುಪ್ಪಳ / ರೋಮ,tuppaḷa / rōma
395,further (additionally),adjective,a2,nan,ಹೆಚ್ಚುವರಿಯಾಗಿ / ಮತ್ತಷ್ಟು,heccuvariyāgi / mattaṣṭu
396,"future (time, noun)",adjective,a2,nan,ಭವಿಷ್ಯದ / ಮುಂದಿನ / ಮುಂಬರುವ,bhaviṣyada / muṁdina / muṁbaruva
397,future,noun,a1,nan,ಭವಿಷ್ಯ,bhaviṣya
398,"to gather (things or people together, to collect)",verb,b1,transitive,ಸಂಗ್ರಹಿಸು / ಒಟ್ಟುಗೂಡಿಸು / ಕೂಡಿಸು,saṁgrahisu / oṭṭugūḍisu / kūḍisu
399,firm (adjective - solid),noun,b2,nan,ಗಟ್ಟಿ / ದೃಢ / ಸ್ಥಿರ,gaṭṭi / dr̥ḍha / sthira
400,firm (adjective - determined),noun,b2,nan,ದೃಢತೆ / ಸ್ಥಿರತೆ / ಅಚಲತೆ,dr̥ḍhate / sthirate / acalate
