id,english_word,word_class,kannada_translation,verb_transitivity,level
2464,course (of study),noun,ಪಾಠ್ಯಕ್ರಮ / ಅಧ್ಯಯನ ಕ್ರಮ,N/A,a1
2465,course (meal),noun,ಆಹಾರದ ಹಂತು / ಭೋಜನದ ಹಂತ,N/A,a1
2466,main course,noun,ಮುಖ್ಯ ಭಾಗ / ಪ್ರಧಾನ ಊಟ,N/A,a1
2467,court (judicial body),noun,ನ್ಯಾಯಾಲಯ / ನ್ಯಾಯಸ್ಥಾನ,N/A,b1
2468,court (sports field),noun,ಕೋರ್ಟ್ / ಆಟದ ಅಂಗಳ,N/A,b1
2469,sports field (general),noun,ಆಟದ ಮೈದಾನ / ಕ್ರೀಡಾಂಗಣ,N/A,a2
2470,courtesy (favor or free grant),noun,ಸೌಜನ್ಯ / ಉಪಕಾರ,N/A,c1
2471,as a courtesy,noun,ಸೌಜನ್ಯಯುತವಾಗಿ / ಸೌಹಾರ್ದಯುತವಾಗಿ,N/A,c1
2472,"cousin (male, parallel cousin)",noun,ಸೋದರ ಸಂಬಂಧಿ (ಗಂಡು) / ಅಣ್ಣನ ಮಗ / ಚಿಕ್ಕಪ್ಪನ ಮಗ,N/A,a1
2473,"cousin (older male, parallel)",noun,ದೊಡ್ಡಪ್ಪನ ಮಗ / ಚಿಕ್ಕಪ್ಪನ ಮಗ,N/A,a2
2474,"cousin (female, parallel cousin)",noun,ಸೋದರ ಸಂಬಂಧಿ (ಹೆಣ್ಣು) / ಅಕ್ಕನ ಮಗಳು / ಚಿಕ್ಕಮ್ಮನ ಮಗಳು,N/A,a1
2475,"cousin (older female, parallel)",noun,ಚಿಕ್ಕಪ್ಪನ ಮಗಳು / ದೊಡ್ಡಪ್ಪನ ಮಗಳು,N/A,a2
2476,"cover (protection, shelter)",noun,ಆಶ್ರಯ / ರಕ್ಷಣೆ / ಹೊದಿಕೆ,N/A,b1
2477,"cover (shelter, protection)",noun,ರಕ್ಷಣೆ / ಆಶ್ರಯ / ಹೊದಿಕೆ,N/A,b1
2478,cover (insurance),noun,ವಿಮೆ ರಕ್ಷಣೆ / ವಿಮಾ ರಕ್ಷಣೆ,N/A,b1
2479,"to cover (distance, area)",verb,ಕ್ರಮಿಸು / ಆವರಿಸು,transitive,a2
2480,"coverage (scope, insurance)",noun,ವ್ಯಾಪ್ತಿ / ಆವರಣ,N/A,b2
2481,coverage (media reporting),noun,ವರದಿಗಾರಿಕೆ / ಸುದ್ದಿ ಪ್ರಸಾರ,N/A,b2
2482,covered (topic or area dealt with),adjective,ನಿರ್ವಹಿಸಿದ / ಚರ್ಚಿಸಿದ / ಒಳಗೊಂಡ,N/A,b1
2483,covered (insured or protected),adjective,ರಕ್ಷಣೆಗೊಳಪಟ್ಟ / ವಿಮೆಗೊಳಪಟ್ಟ,N/A,b1
2484,cow,noun,ಹಸು / ಗೋವು,N/A,a1
2485,crack (fissure),noun,ಬಿರುಕು / ಸೀಳು,N/A,b2
2486,crack (sharp sound),noun,ಛಟಪಟ ಶಬ್ದ / ಸೀಳುವ ಶಬ್ದ,N/A,b2
2487,to crack (physical object),verb,ಒಡೆ / ಮುರಿ,nan,b2
2488,to crack (intransitive),verb,ಬಿರುಕು ಬಿಡು / ಸೀಳು ಬಿಡು,intransitive,b2
2489,"to crack (solve, figure out)",verb,ಭೇದಿಸು / ಬಿಡಿಸು / ಕಂಡುಹಿಡಿ,transitive,b2
2490,craft (vehicle),noun,ನೌಕೆ / ವಾಹನ,N/A,b2
2491,to craft (physical object),verb,ಕೌಶಲದಿಂದ ತಯಾರಿಸು / ರೂಪಿಸು,transitive,c1
2492,to craft (an argument or policy),verb,ರೂಪಿಸು / ರಚಿಸು,transitive,c1
2493,crash (system failure),noun,ವ್ಯವಸ್ಥೆಯ ವೈಫಲ್ಯ / ಕುಸಿತ,N/A,b2
2494,"to crash (system failure, computing)",verb,ಸ್ಥಗಿತಗೊಳ್ಳು / ನಿಲ್ಲಿಸು,intransitive,b2
2495,to crash (to attend uninvited),verb,ಅನಪೇಕ್ಷಿತವಾಗಿ ಸೇರು / ನುಸುಳು,transitive,b2
2496,"to crawl (creep slowly, like insects or traffic)",verb,ತೆವಳು / ನುಸುಳು,intransitive,c1
2497,to crawl (traffic),verb,ಸವರುತ್ತಾ ಹೋಗು / ನಿಧಾನವಾಗಿ ಚಲಿಸು,intransitive,c1
2498,"to crawl (of feeling, to feel repulsion or dread)",verb,ಮೈ ಜುಮ್ಮೆನ್ನು / ಭಯವಾಗು,intransitive,c1
2499,crazy (insane),adjective,ಹುಚ್ಚು ಹಿಡಿದ / ಹುಚ್ಚ / ಬುದ್ಧಿಭ್ರಮಣೆಗೊಂಡ,N/A,a2
2500,crazy (person),adjective,ಹುಚ್ಚ / ಮತಿಗೇಡಿ / ಉನ್ಮಾದಿ,N/A,a2
2501,crazy (wild or exciting),adjective,ಅತಿರೇಕದ / ಹುಚ್ಚುತನದ / ರೋಮಾಂಚಕ,N/A,a2
2502,crazy (exciting),adjective,ರೋಮಾಂಚಕ / ಉಲ್ಲಾಸಕರ / ರೋಮಾಂಚನಕಾರಿ,N/A,a2
2503,creamy (dairy product),adjective,ಕೆನೆಯುಳ್ಳ / ಕೆನೆಭರಿತ,N/A,b1
2504,cream-colored,adjective,ಕೆನೆ ಬಣ್ಣದ / ಕೆನೆವರ್ಣದ,N/A,b1
2505,cream (lotion or ointment),noun,ಕ್ರೀಮ್ / ಲೇಪನ / ಮುಲಾಮು,N/A,a1
2506,"to create (to originate, conceptual)",verb,ಸೃಷ್ಟಿಸು / ನಿರ್ಮಿಸು / ಉಂಟುಮಾಡು,transitive,a2
2507,"to create (design, construct)",verb,ರಚಿಸು / ನಿರ್ಮಿಸು / ರೂಪಿಸು,transitive,a2
2508,creation (the act or process),noun,ಸೃಷ್ಟಿ / ರಚನೆ / ನಿರ್ಮಾಣ,N/A,b2
2509,creation (a work or product),noun,ಕೃತಿ / ಸೃಷ್ಟಿ / ರಚನೆ,N/A,b2
2510,creative,adjective,ಸೃಜನಾತ್ಮಕ / ಸೃಷ್ಟಿಶೀಲ / ನವೀನ,N/A,a2
2511,creativity,noun,ಸೃಜನಾತ್ಮಕತೆ / ಸೃಷ್ಟಿಶೀಲತೆ / ನವೀನತೆ,N/A,b2
2512,creator (divine being),noun,ಸೃಷ್ಟಿಕರ್ತ / ಸೃಷ್ಟಿಕರ್ತೃ / ಬ್ರಹ್ಮ,N/A,c1
2513,Creator (Brahma),noun,ಬ್ರಹ್ಮ / ಸೃಷ್ಟಿಕರ್ತ,N/A,c1
2514,creature (dependent person),noun,ಕೈಗೊಂಬೆ / ಅಧೀನ ವ್ಯಕ್ತಿ,N/A,b2
2515,credibility,noun,ವಿಶ್ವಾಸಾರ್ಹತೆ / ನಂಬಿಕೆ,N/A,c1
2516,credible,adjective,ವಿಶ್ವಾಸಾರ್ಹ / ನಂಬಲರ್ಹ / ನಂಬಲು ಯೋಗ್ಯ,N/A,c1
2517,credit (acknowledgment),noun,ಮನ್ನಣೆ / ಶ್ರೇಯಸ್ಸು / ಗೌರವ,N/A,a2
2518,"credit (financial system, ability to borrow)",noun,ಕ್ರೆಡಿಟ್ / ಸಾಲದ ವ್ಯವಸ್ಥೆ / ಸಾಲ,N/A,a2
2519,"to credit (finance, deposit)",verb,ಜಮೆ ಮಾಡು / ಜಮಾ ಮಾಡು,transitive,b2
2520,"to credit (attribute, recognize)",verb,ಶ್ರೇಯಸ್ಸನ್ನು ಕೊಡು / ಗುರುತಿಸು / ಮನ್ನಿಸು,transitive,b2
2521,to creep (of plants or vines),verb,ಹಬ್ಬು / ಹರಡು,intransitive,c1
2522,to creep (increase gradually),verb,ನಿಧಾನವಾಗಿ ಹೆಚ್ಚಾಗು / ಸಣ್ಣಗೆ ನುಸುಳು / ಕ್ರಮೇಣ ಹೆಚ್ಚಾಗು,intransitive,c1
2523,crew (informal group of friends),noun,ಬಳಗ / ಗೆಳೆಯರ ಗುಂಪು / ತಂಡ,N/A,b2
2524,crime,noun,ಅಪರಾಧ / ದೋಷ / ಕುಕೃತ್ಯ,N/A,a2
2525,criminal,adjective,ಅಪರಾಧಿಕ / ಕ್ರಿಮಿನಲ್ / ದೋಷಪೂರಿತ,N/A,b1
2526,criminal,noun,ಅಪರಾಧಿ / ದೋಷಿ / ಕುಕರ್ಮಿ,N/A,a2
2527,crisis,noun,ಬಿಕ್ಕಟ್ಟು / ಸಂಕಷ್ಟ / ಕಷ್ಟದ ಪರಿಸ್ಥಿತಿ,N/A,b2
2528,criterion,noun,ಮಾನದಂಡ / ಅಳತೆಗೋಲು / ನಿಬಂಧನೆ,N/A,b2
2529,"critic (professional reviewer, arts)",noun,ವಿಮರ್ಶಕ / ವಿಶ್ಲೇಷಕ,N/A,b2
2530,"critic (fault-finder, censorious person)",noun,ಟೀಕಾಕಾರ / ದೋಷಾರೋಪಕ / ನಿಂದಕ,N/A,b2
2531,critical (essential),adjective,ನಿರ್ಣಾಯಕ / ಅತಿ ಮುಖ್ಯ / ಅತ್ಯಗತ್ಯ,N/A,b2
2532,critical (fault-finding),adjective,ಟೀಕಾತ್ಮಕ / ದೋಷಾರೋಪಣೆಯ,N/A,b2
2533,critical (analytical),adjective,ವಿಮರ್ಶಾತ್ಮಕ / ವಿಶ್ಲೇಷಣಾತ್ಮಕ,N/A,b2
2534,critical (serious state),adjective,ವಿಷಮ / ಗಂಭೀರ / ಸಂಕಷ್ಟದ,N/A,b2
2535,critically (analyzing),adverb,ವಿಮರ್ಶಾತ್ಮಕವಾಗಿ / ವಿಶ್ಲೇಷಣಾತ್ಮಕವಾಗಿ,N/A,b2
2536,"critically (crucially, severely)",adverb,ವಿಷಮವಾಗಿ / ಗಂಭೀರವಾಗಿ / ನಿರ್ಣಾಯಕವಾಗಿ,N/A,b2
2537,"critically (crucially, essentially)",adverb,ನಿರ್ಣಾಯಕವಾಗಿ / ಅತಿ ಮುಖ್ಯವಾಗಿ / ಅತ್ಯಗತ್ಯವಾಗಿ,N/A,b2
2538,"criticism (review, analysis)",noun,ವಿಮರ್ಶೆ / ವಿಶ್ಲೇಷಣೆ,N/A,b2
2539,"criticism (fault-finding, censure)",noun,ಟೀಕೆ / ದೋಷಾರೋಪಣೆ / ನಿಂದೆ,N/A,b2
2540,"to criticize (formally, review)",verb,ವಿಮರ್ಶಿಸು / ವಿಶ್ಲೇಷಿಸು,transitive,b2
2541,"to blame, denounce",verb,ಟೀಕಿಸು / ದೂಷಿಸು / ಖಂಡಿಸು,transitive,b2
2542,critique,noun,ವಿಮರ್ಶೆ / ವಿಶ್ಲೇಷಣೆ / ವಿಮರ್ಶಾ ಲೇಖನ,N/A,c1
2543,"crop (batch or yield of people, things)",noun,ಗುಂಪು / ತಂಡ / ಸಮೂಹ,N/A,b2
2544,"crop (of graduates, products)",noun,ಬ್ಯಾಚ್ / ತಂಡ / ಗುಂಪು,N/A,b2
2545,cross (religious symbol),noun,ಶಿಲುಬೆ / ಕ್ರೂಸ್,N/A,a2
2546,cross (intersection),noun,ಛೇದಕ / ಕ್ರಾಸ್ / ಕೂಡು ರಸ್ತೆ,N/A,a2
2547,"cross (intersection, junction, common usage)",noun,ಕ್ರಾಸ್ / ಛೇದಕ / ಕೂಡು ರಸ್ತೆ,N/A,a2
2548,"to cross off, out (to cancel, delete)",verb,ಗೆರೆ ಹಾಕು / ಅಳಿಸು / ರದ್ದುಮಾಡು,transitive,a2
2549,crowd,noun,ಜನಸಮೂಹ / ಗುಂಪು / ಜನಸಂದಣಿ,N/A,a2
2550,"crowded (congested, dense)",adjective,ಕಿಕ್ಕಿರಿದ / ಜನದಟ್ಟಣೆಯ / ಗಿಜಿಗುಟ್ಟುವ,N/A,a2
2552,"crown (monarchy, sovereignty)",noun,ಕಿರೀಟ / ರಾಜತ್ವ / ರಾಜಪ್ರಭುತ್ವ,N/A,c1
2553,crown (top part),noun,ಮೇಲ್ಭಾಗ / ತುದಿ / ಶಿರ,N/A,c1
2554,crown (dental cap),noun,ಹಲ್ಲಿನ ಕಿರೀಟ,N/A,c1
2555,crucial,adjective,ನಿರ್ಣಾಯಕ / ಅತಿ ಮುಖ್ಯ / ಅತ್ಯಗತ್ಯ / ಪ್ರಾಮುಖ್ಯ,N/A,b2
2556,crude (unrefined),adjective,ಕಚ್ಚಾ,N/A,c1
2557,crude (vulgar),adjective,ಅಸಭ್ಯ / ಒರಟು / ಅಸಂಸ್ಕೃತ,N/A,c1
2558,crude (rudimentary),adjective,ಒರಟಾದ / ಪ್ರಾಥಮಿಕ,N/A,c1
2559,cruel,adjective,ಕ್ರೂರ / ನಿರ್ದಯಿ / ಕಠಿಣ,N/A,b1
2560,cruise,noun,ಸಮುದ್ರಯಾನ / ಜಲವಿಹಾರ / ಹಡಗುಯಾನ,N/A,b2
2561,"to cruise (to travel smoothly, usually by vehicle)",verb,ಸ್ಥಿರ ವೇಗದಲ್ಲಿ ಹೋಗು / ಸಲೀಸಾಗಿ ಸಾಗು,intransitive,b2
2562,"to cruise (to travel for leisure, usually by ship)",verb,ಸಮುದ್ರಯಾನ ಮಾಡು / ಜಲವಿಹಾರ ಮಾಡು,intransitive,b2
2563,to cruise (to succeed easily),verb,ಸುಲಭವಾಗಿ ಗೆಲ್ಲು / ಅನಾಯಾಸವಾಗಿ ಗೆಲ್ಲು,intransitive,b2
2564,to crush (physically destroy or pulverize),verb,ಪುಡಿಮಾಡು / ನುಜ್ಜುಗುಜ್ಜು ಮಾಡು / ಒಡೆ,transitive,c1
2565,to crush (defeat or demoralize),verb,ಸೋಲಿಸು / ಅಡಗಿಸು / ನಿರುತ್ಸಾಹಗೊಳಿಸು,transitive,c1
2566,cry (act of weeping),noun,ಅಳು / ರೋದನ,N/A,b2
2567,cry (loud shout or call),noun,ಕೂಗು / ಅರಚಾಟ / ಘೋಷಣೆ,N/A,b2
2568,to cry (to shout loudly),verb,ಕೂಗು / ಅರಚು / ಘೋಷಿಸು,intransitive,a2
2569,"to cry (to weep, sob)",verb,ಅಳು / ರೋದಿಸು / ಕಣ್ಣೀರು ಹಾಕು,intransitive,a1
2570,"crystal (watch face, lens)",noun,ಗಡಿಯಾರದ ಗಾಜು / ಲೆನ್ಸ್,N/A,c1
2571,"crystal (mineral, material)",noun,ಸ್ಪಟಿಕ / ಸ್ಫಟಿಕ,N/A,c1
2572,cue (signal or hint),noun,ಸಂಕೇತ / ಸೂಚನೆ / ಗುರುತು,N/A,b2
2573,cue (billiards stick),noun,ಕ್ಯೂ,N/A,b2
2574,cue (billiards stick - descriptive),noun,ಬಿಲಿಯರ್ಡ್ಸ್ ಕೋಲು,N/A,b2
2575,dear (exclamation),exclamation,ಅಯ್ಯೋ / ದೇವರೇ,N/A,a2
2576,"death (formal, literary)",noun,ಮರಣ / ನಿಧನ / ಸಾವು,N/A,a2
2577,"debate (formal event, contest)",noun,ವಾದ-ವಿವಾದ / ಚರ್ಚೆ / ಸಂವಾದ,N/A,b2
2578,to debate (formally),verb,ವಾದಿಸು / ವಾದ ಮಾಡು / ಚರ್ಚಿಸು,intransitive,b2
2579,to argue (a point strongly),verb,ವಾದ ಮಾಡು / ತರ್ಕಿಸು / ಪ್ರತಿಪಾದಿಸು,intransitive,b2
2580,debris,noun,ಅವಶೇಷಗಳು / ಚೂರುಗಳು,N/A,c1
2581,"debt (obligation, gratitude)",noun,ಋಣ / ಬಾಧ್ಯತೆ / ಕೃತಜ್ಞತೆ,N/A,b2
2582,debut,noun,ಮೊದಲ ಪ್ರದರ್ಶನ,N/A,c1
2583,debut (loanword),noun,ಡಬ್ಯೂಟ್,N/A,c1
2584,"debut (formal, classical dance)",noun,ಅರಂಗೇಟ್ರಂ,N/A,c1
2585,decade,noun,ದಶಕ,N/A,b1
2586,december,noun,ಡಿಸೆಂಬರ್,N/A,a1
2587,"decent (satisfactory quality, sufficient)",adjective,ತೃಪ್ತಿದಾಯಕ / ಸಾಕಷ್ಟು / ಉತ್ತಮ,N/A,b2
2588,"decent (proper, modest behavior)",adjective,ಸಭ್ಯ / ಯೋಗ್ಯ / ಶಿಷ್ಟ,N/A,b2
2589,to decide,verb,ನಿರ್ಧರಿಸು / ತೀರ್ಮಾನಿಸು / ನಿಶ್ಚಯಿಸು,transitive,a1
2590,decision (formal resolution),noun,ನಿರ್ಣಯ / ತೀರ್ಮಾನ,N/A,a2
2591,decision (common choice),noun,ನಿರ್ಧಾರ / ತೀರ್ಮಾನ,N/A,a1
2592,decision-making,noun,ನಿರ್ಧಾರ ಮಾಡುವಿಕೆ / ತೀರ್ಮಾನ ಕೈಗೊಳ್ಳುವಿಕೆ,N/A,c1
2593,"decisive (crucial factor, outcome)",adjective,ನಿರ್ಣಾಯಕ / ಅಂತಿಮ / ತೀರ್ಮಾನಾತ್ಮಕ,N/A,c1
2594,"decisive (firm, determined person)",adjective,ದೃಢವಾದ / ಸಂಕಲ್ಪಿತ / ಸ್ಥಿರಚಿತ್ತ,N/A,c1
2595,deck (ship platform),noun,ಹಡಗಿನ ಮಹಡಿ / ಹಡಗಿನ ಮೇಲ್ಮೈ / ಅಟ್ಟ,N/A,b2
2596,deck (of cards),noun,ಕಾರ್ಡುಗಳ ಕಟ್ಟು / ಪತ್ತೆಗಳ ಕಟ್ಟು,N/A,b2
2597,declaration (proclamation),noun,ಘೋಷಣೆ / ಪ್ರಕಟಣೆ / ಉದ್ಘೋಷಣೆ,N/A,c1
2598,declaration (submission of records),noun,ವರದಿ / ವಿವರಣೆ / ಮಾಹಿತಿ ಸಲ್ಲಿಕೆ,N/A,c1
2599,to declare (goods or income),verb,ಘೋಷಿಸು / ವರದಿ ಮಾಡು / ತಿಳಿಸು,transitive,b2
2600,decline (decrease or deterioration),noun,ಇಳಿಕೆ / ಕುಸಿತ / ಕ್ಷೀಣತೆ,N/A,b2
2601,decline (slope or descent),noun,ಇಳಿಜಾರು / ಇಳಿ / ಇಳಿಮುಖ,N/A,b2
2602,to decline (refuse offer),verb,ನಿರಾಕರಿಸು / ತಿರಸ್ಕರಿಸು / ಬೇಡವೆನ್ನು,transitive,b2
2603,"to decline (decrease, deteriorate)",verb,ಇಳಿಮುಖವಾಗು / ಕುಸಿಯಲು / ಕ್ಷೀಣಿಸು,intransitive,b2
2604,to decorate,verb,ಅಲಂಕರಿಸು / ಶೃಂಗರಿಸು / ಒಪ್ಪಮಾಡು,transitive,b1
2605,decoration (award or medal),noun,ಪ್ರಶಸ್ತಿ / ಪದಕ / ಗೌರವ,N/A,b2
2606,decrease,noun,ಇಳಿಕೆ / ಕಡಿತ / ಕುಸಿತ / ಕ್ಷೀಣತೆ,N/A,b2
2607,to decrease (reduce),verb,ಕಡಿಮೆ ಮಾಡು / ಇಳಿಸು / ತಗ್ಗಿಸು,transitive,b2
2608,to decrease (get smaller),verb,ಕಡಿಮೆಯಾಗು / ಇಳಿಯಲು / ತಗ್ಗಲು,intransitive,b2
2609,dedicated (committed),adjective,ಸಮರ್ಪಿತ / ನಿಷ್ಠಾವಂತ / ಶ್ರದ್ಧೆಯುಳ್ಳ,N/A,c1
2610,"dedicated (purpose-built, reserved)",adjective,ಮೀಸಲಾದ / ನಿರ್ದಿಷ್ಟ / ಒದಗಿಸಿದ,N/A,c1
2611,"dedication (commitment, devotion)",noun,ಸಮರ್ಪಣೆ / ನಿಷ್ಠೆ / ಶ್ರದ್ಧೆ,N/A,c1
2612,dedication (formal inscription or ceremony),noun,ಅರ್ಪಣೆ / ಉತ್ಸರ್ಗ,N/A,c1
2613,deed (action),noun,ಕಾರ್ಯ / ಕ್ರಿಯೆ / ಕೆಲಸ / ಕೃತ್ಯ,N/A,c1
2614,deed (legal document),noun,ದಸ್ತಾವೇಜು / ಕಾನೂನು ಪತ್ರ / ಪತ್ರ,N/A,c1
2615,to deem,verb,ಪರಿಗಣಿಸು / ಭಾವಿಸು / ಎಣಿಸು,transitive,c1
2616,deep (conceptual or profound),adjective,ಆಳವಾದ / ಗಂಭೀರವಾದ / ತಾತ್ವಿಕವಾದ,N/A,a2
2617,deep (intense color),adjective,ಗಾಢವಾದ / ಕಡು,N/A,a2
2618,deep (spatially),adverb,ಆಳವಾಗಿ / ಆಳಕ್ಕೆ,N/A,b1
2619,deep (profoundly),adverb,ಆಳವಾಗಿ / ಗಂಭೀರವಾಗಿ,N/A,b1
2620,"deeply (emotionally, intensely)",adverb,ತೀವ್ರವಾಗಿ / ಆಳವಾಗಿ / ಗಾಢವಾಗಿ / ಅತ್ಯಂತ,N/A,b2
2621,"deeply (physically, literally)",adverb,ಆಳವಾಗಿ / ಆಳಕ್ಕೆ,N/A,b2
2622,default (failure to fulfill obligation),noun,ಸುಸ್ತಿ / ಖಾತರಿ ತಪ್ಪುವಿಕೆ,N/A,c1
2623,default (preselected setting),noun,ಪೂರ್ವನಿಯೋಜನೆ / ಡೀಫಾಲ್ಟ್ / ಮೂಲ ಸೆಟ್ಟಿಂಗ್,N/A,c1
2624,"defeat (formal, political loss)",noun,ಸೋಲು / ಪರಾಭವ / ಅಪಜಯ,N/A,b2
2625,to defeat (formally),verb,ಸೋಲಿಸು / ಪರಾಭವಗೊಳಿಸು,transitive,b2
2626,defect (act of desertion),noun,ಪಕ್ಷಾಂತರ / ಪಲಾಯನ,N/A,c1
2627,to defect,verb,ಪಕ್ಷಾಂತರ ಮಾಡು / ಪಕ್ಷಾಂತರಗೊಳ್ಳು / ಪಲಾಯನ ಮಾಡು,intransitive,c1
2628,defence (legal argument),noun,ಸಮರ್ಥನೆ / ಪ್ರತಿವಾದ / ವಾದ,N/A,b2
2629,defence (legal party),noun,ಪ್ರತಿವಾದಿ ಪಕ್ಷ / ಪ್ರತಿವಾದಿ,N/A,b2
2630,"to defend (to guard, protect)",verb,ರಕ್ಷಿಸು / ಕಾಪಾಡು,transitive,b2
2631,"to defend (to justify, support logically)",verb,ಸಮರ್ಥಿಸು / ಬೆಂಬಲಿಸು,transitive,b2
2632,defender (sports position),noun,ರಕ್ಷಕ / ಡಿಫೆಂಡರ್,N/A,b2
2633,"defensive (strategy, protection)",adjective,ರಕ್ಷಣಾತ್ಮಕ,N/A,c1
2634,defensive (reaction to criticism),adjective,ರಕ್ಷಣಾತ್ಮಕ / ಪ್ರತಿವಾದಿ,N/A,c1
2635,deficiency (flaw or defect),noun,ನ್ಯೂನತೆ / ಕೊರತೆ / ದೋಷ,N/A,c1
2636,deficit,noun,ಕೊರತೆ / ಕಡಿತ,N/A,c1
2637,to define (a concept),verb,ವ್ಯಾಖ್ಯಾನಿಸು / ಅರ್ಥೈಸಲು,transitive,b1
2638,to define (boundaries or limits),verb,ನಿರ್ಧರಿಸು / ಗುರುತಿಸು / ಸೀಮಿತಗೊಳಿಸು,transitive,b1
2639,definite (certain),adjective,ಖಚಿತವಾದ / ನಿಶ್ಚಿತವಾದ / ಖಂಡಿತವಾದ,N/A,b1
2640,"definite (clear, well-defined)",adjective,ನಿರ್ದಿಷ್ಟವಾದ / ಸ್ಪಷ್ಟವಾದ / ನಿಖರವಾದ,N/A,b1
2641,definitely (absolutely certain),adverb,ಖಂಡಿತ / ಖಚಿತವಾಗಿ / ನಿಶ್ಚಿತವಾಗಿ,N/A,a2
2642,definition (meaning of a word),noun,ಅರ್ಥ / ವ್ಯಾಖ್ಯಾನ / ನಿರೂಪಣೆ,N/A,b1
2643,definition (clarity or distinctness),noun,ಸ್ಪಷ್ಟತೆ / ನಿಖರತೆ / ನಿರ್ದಿಷ್ಟತೆ,N/A,b1
2644,to defy (to challenge limits or possibility),verb,ವಿರೋಧಿಸು / ಧಿಕ್ಕರಿಸು / ಸವಾಲು ಹಾಕು,transitive,c1
2645,degree (academic qualification),noun,ಪದವಿ / ಡಿಗ್ರಿ,N/A,a2
2646,degree (extent or amount),noun,ಪ್ರಮಾಣ / ಮಟ್ಟ / ಅಳತೆ,N/A,a2
2647,to delay (to postpone an action),verb,ಮುಂದೂಡು / ತಡ ಮಾಡಿಸು / ವಿಳಂಬಗೊಳಿಸು,transitive,b2
2648,"to delay (to be late, linger)",verb,ತಡವಾಗು / ವಿಳಂಬವಾಗು / ನಿಧಾನಿಸು,intransitive,b2
2649,to delay (run late),verb,ವಿಳಂಬವಾಗು / ತಡವಾಗು / ನಿಧಾನವಾಗು,intransitive,b2
2650,to delay (postpone),verb,ವಿಳಂಬ ಮಾಡು / ಮುಂದೂಡು / ತಡ ಮಾಡು,transitive,b2
2651,to delegate (responsibility),verb,ವಹಿಸಿಕೊಡು / ನಿಯೋಜಿಸು / ಹಸ್ತಾಂತರಿಸು,transitive,c1
2652,delegation (group of representatives),noun,ಪ್ರತಿನಿಧಿ ಮಂಡಳಿ / ನಿಯೋಗ,N/A,c1
2653,delegation (act of assigning responsibility),noun,ನಿಯೋಜನೆ / ಹಸ್ತಾಂತರ,N/A,c1
2654,to delete (erase content),verb,ಅಳಿಸು / ಮಾರ್ಜಿಸು,transitive,b2
2655,"to delete (remove item, account)",verb,ರದ್ದುಮಾಡು / ತೆಗೆದುಹಾಕು,transitive,b2
2656,deliberate (intentional),adjective,ಉದ್ದೇಶಪೂರ್ವಕ / ಯೋಜಿತ,N/A,b2
2657,"deliberate (careful, slow)",adjective,ಜಾಗರೂಕ / ನಿಧಾನವಾದ / ಆಲೋಚನಾಪೂರ್ವಕ,N/A,b2
2658,deliberately (on purpose),adverb,ಉದ್ದೇಶಪೂರ್ವಕವಾಗಿ / ಯೋಜಿತವಾಗಿ,N/A,b2
2659,deliberately (carefully and slowly),adverb,ಜಾಗರೂಕತೆಯಿಂದ / ನಿಧಾನವಾಗಿ / ಆಲೋಚನಾಪೂರ್ವಕವಾಗಿ,N/A,b2
2660,delicate (fragile or dainty),adjective,ನಾಜೂಕಿನ / ಸೂಕ್ಷ್ಮವಾದ / ಕೋಮಲವಾದ,N/A,c1
2661,delicate (sensitive situation),adjective,ಸೂಕ್ಷ್ಮವಾದ / ಸಂಕೀರ್ಣವಾದ,N/A,c1
2662,delicious (flavorful),adjective,ರುಚಿಯಾದ / ಸವಿಯಾದ / ಮಧುರವಾದ,N/A,a2
2663,delight,noun,ಸಂತೋಷ / ಆನಂದ / ಹರ್ಷ,N/A,b2
2664,to delight (someone),verb,ಸಂತೋಷಪಡಿಸು / ಖುಷಿಪಡಿಸು,transitive,b2
2665,to delight (in something),verb,ಸಂತೋಷಪಡು / ಖುಷಿಪಡು,intransitive,b2
2666,delighted,adjective,ಸಂತೋಷಗೊಂಡ / ಹರ್ಷಿತ / ಖುಷಿಯಾದ,N/A,b2
2667,"to deliver (a speech, lecture)",verb,ಭಾಷಣ ಮಾಡು / ಮಾತನಾಡು / ಪ್ರಸ್ತುತಪಡಿಸು,transitive,b2
2668,"to deliver (a baby, assist in birth)",verb,ಪ್ರಸವ ಮಾಡಿಸು / ಹೆರಿಗೆ ಮಾಡಿಸು,transitive,b2
2669,delivery (childbirth),noun,ಹೆರಿಗೆ / ಪ್ರಸವ,N/A,b2
2670,delivery (speech style),noun,ನಿರೂಪಣೆ / ಮಾತಿನ ಶೈಲಿ / ಪ್ರಸ್ತುತಿ,N/A,b2
2671,to demand,verb,ಬೇಡಿಕೆ ಇಡು / ಆಗ್ರಹಿಸು / ಕೇಳು,transitive,b2
2672,to demand (insistently claim),verb,ಆಗ್ರಹಿಸು / ಬೇಡಿಕೆ ಇಡು / ಒತ್ತಾಯಿಸು,transitive,b2
2673,to demand (to require),verb,ಬೇಡಿಕೆ ಇಡು / ಕೇಳು,transitive,b2
2674,democratic,adjective,ಪ್ರಜಾಪ್ರಭುತ್ವದ / ಜನಪರ / ಪ್ರಜಾಸತ್ತಾತ್ಮಕ,N/A,b2
2675,"democratic (inclusive, egalitarian)",adjective,ಸಮಾನತೆಯ / ಸಮತಾವಾದಿ / ಸಮಗ್ರ,N/A,b2
