english_word,word_class,kannada_translation,transliteration,verb_transitivity,level
hero (movie protagonist),noun,ನಾಯಕ / ಮುಖ್ಯ ಪಾತ್ರಧಾರಿ,nāyaka / mukhya pātradhāri,,a2
hers (familiar),pronoun,ಅವಳದು,avaḷadu,,a2
"hers (formal, honorific)",pronoun,ಅವರದು,avaradu,,a2
herself (for emphasis),pronoun,ಅವಳೇ,avaḷē,,a2
high (altitude),adverb,ಎತ್ತರದಲ್ಲಿ / ಮೇಲೆ,ettaradalli / mēle,,a2
high (sound pitch),adverb,ತೀಕ್ಷ್ಣವಾಗಿ / ಉಚ್ಚ ಸ್ವರದಲ್ಲಿ,tīkṣṇavāgi / ucca svaradalli,,a2
hill (large),noun,ಬೆಟ್ಟ / ಪರ್ವತ,beṭṭa / parvata,,a2
"hill (large, mountain)",noun,ಬೆಟ್ಟ / ಪರ್ವತ / ಗುಡ್ಡ,beṭṭa / parvata / guḍḍa,,a2
"hill (small, mound)",noun,ಗುಡ್ಡ / ದಿಬ್ಬ,guḍḍa / dibba,,a2
himself (emphatic subject),pronoun,ತಾನೇ,tānē,,a2
himself (emphatic),pronoun,ಸ್ವತಃ,svataḥ,,a2
himself (reflexive object),pronoun,ತನ್ನನ್ನು ತಾನೇ,tannannu tānē,,a2
his (respectful),pronoun,ಅವರದು / ಅವರದ್ದು,avaradu / avaraddu,,a2
"his (respectful, pronoun)",pronoun,ಅವರದು,avaradu,,a2
his (standard),pronoun,ಅವನದು / ಅವನದ್ದು,avanadu / avanaddu,,a2
"his (standard, pronoun)",pronoun,ಅವನದು,avanadu,,a2
"history (general, personal record)",noun,ಇತಿಹಾಸ / ಚರಿತ್ರೆ,itihāsa / caritre,,a2
"history (personal record, background)",noun,ಹಿನ್ನೆಲೆ / ದಾಖಲೆ / ಇತಿಹಾಸ,hinnele / dākhale / itihāsa,,a2
hit (blow),noun,ಹೊಡೆತ / ಏಟು,hoḍeta / ēṭu,,a2
hit (success),noun,ಯಶಸ್ಸು / ಗೆಲುವು,yaśassu / geluvu,,a2
hockey,noun,ಹಾಕೀ,hākī,,a2
hole (pit or large depression),noun,ಗುಂಡಿ / ಕುಳಿ,guṁḍi / kuḷi,,a2
hole (pit/large depression),noun,ಗುಂಡಿ / ಹಳ್ಳ,guṁḍi / haḷḷa,,a2
hole (puncture or tear),noun,ರಂಧ್ರ / ತೂತು,raṁdhra / tūtu,,a2
hole (puncture/tear),noun,ತೂತು / ರಂಧ್ರ,tūtu / raṁdhra,,a2
"holiday, time off",noun,ರಜೆ / ಹಬ್ಬ / ವಿರಾಮ,raje / habba / virāma,,a2
home,adjective,ಮನೆಯ / ದೇಶೀಯ,maneya / dēśīya,,a2
home (adjective),adjective,ಮನೆಯ,maneya,,a2
hope,noun,ಭರವಸೆ / ನಿರೀಕ್ಷೆ / ಆಶಯ,bharavase / nirīkṣe / āśaya,,a2
"however (no matter how, to whatever extent)",adverb,ಎಷ್ಟೇ / ಎಷ್ಟೇ ಆದರೂ,eṣṭē / eṣṭē ādarū,,a2
"huge (massive, colossal)",adjective,ಬೃಹತ್ / ಅಪಾರ / ವಿಶಾಲ,br̥hat / apāra / viśāla,,a2
"huge (significant, major)",adjective,ದೊಡ್ಡ / ಮಹತ್ವದ / ಅತ್ಯಂತ,doḍḍa / mahatvada / atyaṁta,,a2
human (formal),noun,ಮನುಷ್ಯ / ಮಾನವ / ಮನುಜ,manuṣya / mānava / manuja,,a2
hurt (emotionally wounded),adjective,ಮನಸ್ಸಿಗೆ ನೋವಾದ / ಮನನೊಂದ,manassige nōvāda / mananoṁda,,a2
hurt (physically injured),adjective,ಗಾಯಗೊಂಡ / ನೋವಾದ / ಪೆಟ್ಟಾದ,gāyagoṁḍa / nōvāda / peṭṭāda,,a2
"husband (formal, respectful)",noun,ಪತಿ / ಧಣಿ,pati / dhaṇi,,a2
"ideal (conceptual, abstract)",adjective,ಆದರ್ಶ / ಸೂಕ್ತವಾದ / ಉತ್ತಮ,ādarśa / sūktavāda / uttama,,a2
ill (sick),adjective,ಹುಷಾರಿಲ್ಲದ / ಅನಾರೋಗ್ಯಕರ / ಅಸ್ವಸ್ಥ,huṣārillada / anārōgyakara / asvastha,,a2
"illness (disease, medical condition)",noun,ರೋಗ,rōga,,a2
illness (sickness),noun,ಅನಾರೋಗ್ಯ / ಹುಷಾರಿಲ್ಲದಿರುವಿಕೆ,anārōgya / huṣārilladiruvike,,a2
"image (reputation, public perception)",noun,ಬಿಂಬ / ಛಾಪು / ಪ್ರತಿಷ್ಠೆ,biṁba / chāpu / pratiṣṭhe,,a2
imaginary (fictional),adjective,ಕಾಲ್ಪನಿಕ,kālpanika,,a2
immediately (quickly),adverb,ತಕ್ಷಣ / ಕೂಡಲೇ / ಈಗಲೇ,takṣaṇa / kūḍalē / īgalē,,a2
impossible,adjective,ಅಸಾಧ್ಯ / ಅಸಹನೀಯ / ಅಸಮಂಜಸ,asādhya / asahanīya / asamaṁjasa,,a2
"impossible (intolerable, unreasonable)",adjective,ಸಹಿಸಲಾಗದ / ಅಸಮಂಜಸ / ಅಸಾಧ್ಯ,sahisalāgada / asamaṁjasa / asādhya,,a2
included,adjective,ಸೇರಿಸಿದ / ಸೇರ್ಪಡೆಯಾದ,sērisida / sērpaḍeyāda,,a2
included (contained),adjective,ಒಳಗೊಂಡಿರುವ / ಸೇರಿರುವ,oḷagoṁḍiruva / sēriruva,,a2
including,preposition,ಸೇರಿ / ಸೇರಿದಂತೆ / ಒಳಗೊಂಡಂತೆ,sēri / sēridaṁte / oḷagoṁḍaṁte,,a2
increase,noun,ಹೆಚ್ಚಳ / ವೃದ್ಧಿ / ಏರಿಕೆ,heccaḷa / vr̥ddhi / ērike,,a2
incredible (amazing),adjective,ಅದ್ಭುತವಾದ / ಅಪೂರ್ವವಾದ / ಅಸಾಮಾನ್ಯವಾದ,adbhutavāda / apūrvavāda / asāmānyavāda,,a2
incredible (difficult to believe),adjective,ನಂಬಲಾಗದ / ನಂಬಲಸಾಧ್ಯವಾದ,naṁbalāgada / naṁbalasādhyavāda,,a2
independent (self-reliant),adjective,ಸ್ವಾವಲಂಬಿ / ಸ್ವತಂತ್ರ,svāvalaṁbi / svataṁtra,,a2
individual,noun,ವ್ಯಕ್ತಿ / ಒಬ್ಬರು,vyakti / obbaru,,a2
individual (person),noun,ವ್ಯಕ್ತಿ / ಒಬ್ಬ,vyakti / obba,,a2
"individual (personal, distinct)",adjective,ವೈಯಕ್ತಿಕ / ಪ್ರತ್ಯೇಕ,vaiyaktika / pratyēka,,a2
industry (economic sector),noun,ಕೈಗಾರಿಕೆ,kaigārike,,a2
informal (casual),adjective,ಅನೌಪಚಾರಿಕ / ಸರಳ,anaupacārika / saraḷa,,a2
informal (unofficial),adjective,ಅಧಿಕೃತವಲ್ಲದ / ಅನೌಪಚಾರಿಕ,adhikr̥tavallada / anaupacārika,,a2
injury,noun,ಗಾಯ / ಪೆಟ್ಟು / ಹಾನಿ,gāya / peṭṭu / hāni,,a2
injury (physical or general harm),noun,ಗಾಯ / ಪೆಟ್ಟು / ಹಾನಿ,gāya / peṭṭu / hāni,,a2
insect,noun,ಕೀಟ / ಹುಳು,kīṭa / huḷu,,a2
"insect (formal, biological)",noun,ಕೀಟ / ಹುಳು,kīṭa / huḷu,,a2
inside,preposition,ಒಳಗೆ,oḷage,,a2
inside (adverb),adverb,ಒಳಗೆ / ಒಳಭಾಗದಲ್ಲಿ,oḷage / oḷabhāgadalli,,a2
"inside (location, adverb, preposition)",adjective,ಒಳಗೆ / ಒಳಭಾಗದಲ್ಲಿ,oḷage / oḷabhāgadalli,,a2
"inside (location, position)",noun,ಒಳಗೆ / ಒಳಭಾಗದಲ್ಲಿ,oḷage / oḷabhāgadalli,,a2
inside (preposition),preposition,ಒಳಗೆ / ಒಳಭಾಗದಲ್ಲಿ,oḷage / oḷabhāgadalli,,a2
instead,adverb,ಬದಲಿಗೆ / ಅದರ ಬದಲು,badalige / adara badalu,,a2
"instruction (order, guidance)",noun,ಸೂಚನೆ / ನಿರ್ದೇಶನ / ಆದೇಶ,sūcane / nirdēśana / ādēśa,,a2
"instruction (teaching, education)",noun,ಬೋಧನೆ / ಶಿಕ್ಷಣ,bōdhane / śikṣaṇa,,a2
"instructor (vocational skills, trainer)",noun,ತರಬೇತುದಾರ / ಬೋಧಕ / ಶಿಕ್ಷಕ,tarabētudāra / bōdhaka / śikṣaka,,a2
instrument (musical),noun,ವಾದ್ಯ / ಸಂಗೀತೋಪಕರಣ,vādya / saṁgītōpakaraṇa,,a2
"instrument (tool, device)",noun,ಉಪಕರಣ / ಸಾಧನ,upakaraṇa / sādhana,,a2
intelligent,adjective,ಬುದ್ಧಿವಂತ / ಚುರುಕು,buddhivaṁta / curuku,,a2
international,adjective,ಅಂತರರಾಷ್ಟ್ರೀಯ / ಜಾಗತಿಕ,aṁtararāṣṭrīya / jāgatika,,a2
"into (change of state, form)",preposition,ಆಗಿ / ಪರಿವರ್ತಿತವಾಗಿ,āgi / parivartitavāgi,,a2
introduction (acquaintance),noun,ಪರಿಚಯ / ಗುರುತು,paricaya / gurutu,,a2
introduction (preliminary section),noun,ಪೀಠಿಕೆ / ಪ್ರಸ್ತಾವನೆ / ಮುನ್ನುಡಿ,pīṭhike / prastāvane / munnuḍi,,a2
"invention (fabrication, story)",noun,ಕಲ್ಪನೆ / ಕಟ್ಟುಕಥೆ / ಸೃಷ್ಟಿ,kalpane / kaṭṭukathe / sr̥ṣṭi,,a2
invitation (general request to join),noun,ಆಮಂತ್ರಣ / ಆಹ್ವಾನ / ಕರೆಯೋಲೆ,āmaṁtraṇa / āhvāna / kareyōle,,a2
invitation (official document),noun,ಆಹ್ವಾನ ಪತ್ರಿಕೆ / ಆಮಂತ್ರಣ ಪತ್ರಿಕೆ / ಆಮಂತ್ರಣ,āhvāna patrike / āmaṁtraṇa patrike / āmaṁtraṇa,,a2
item (in a list or agenda),noun,ಅಂಶ / ವಿಷಯ / ಬಾಬು,aṁśa / viṣaya / bābu,,a2
item (physical object),noun,ವಸ್ತು / ಪದಾರ್ಥ / ಸಾಮಾನು,vastu / padārtha / sāmānu,,a2
itself (emphasis),pronoun,ಅದೇ / ಸ್ವತಃ,adē / svataḥ,,a2
itself (reflexive object),pronoun,ತನ್ನನ್ನು / ಸ್ವತಃ,tannannu / svataḥ,,a2
jacket (covering),noun,ಜಾಕೆಟ್ / ಹೊದಿಕೆ,jākeṭ / hodike,,a2
jam (blockage or congestion),noun,ದಟ್ಟಣೆ / ಅಡಚಣೆ / ತಡೆ,daṭṭaṇe / aḍacaṇe / taḍe,,a2
jam (food preserve),noun,ಜಾಮ್ / ಹಣ್ಣಿನ ಜಾಮ್,jām / haṇṇina jām,,a2
"jam (obstruction, stuck state)",noun,ಅಡಚಣೆ / ತಡೆ / ಸಿಕ್ಕಿಹಾಕಿಕೊಳ್ಳುವಿಕೆ,aḍacaṇe / taḍe / sikkihākikoḷḷuvike,,a2
jazz (fuss or complexity),noun,ಗೊಂದಲ / ಜಂಜಾಟ / ಜಟಿಲತೆ,goṁdala / jaṁjāṭa / jaṭilate,,a2
jazz (music genre),noun,ಜಾಝ್,jājh,,a2
jewellery,noun,ಒಡವೆ / ಆಭರಣ / ನಗ,oḍave / ābharaṇa / naga,,a2
joke,noun,ತಮಾಷೆ / ಹಾಸ್ಯ,tamāṣe / hāsya,,a2
journalist (female),noun,ಪತ್ರಿಕರ್ತೆ / ವರದಿಗಾರ್ತಿ,patrikarte / varadigārti,,a2
"jump (sudden increase, rise)",noun,ತೀವ್ರ ಏರಿಕೆ / ಹಠಾತ್ ಏರಿಕೆ / ಗಣನೀಯ ಏರಿಕೆ,tīvra ērike / haṭhāt ērike / gaṇanīya ērike,,a2
just (only),adjective,ಕೇವಲ / ಮಾತ್ರ,kēvala / mātra,,a2
kid (young goat),noun,ಮೇಕೆ ಮರಿ,mēke mari,,a2
king (chess piece),noun,ರಾಜ,rāja,,a2
knee,noun,ಮೊಣಕಾಲು,moṇakālu,,a2
knife,noun,ಚಾಕು,cāku,,a2
"knowledge (general wisdom, learning)",noun,ಜ್ಞಾನ / ಅರಿವು,jñāna / arivu,,a2
"knowledge (information, data)",noun,ಮಾಹಿತಿ,māhiti,,a2
laboratory,noun,ಪ್ರಯೋಗಾಲಯ / ಲ್ಯಾಬ್,prayōgālaya / lyāb,,a2
"lady (formal address, Madam)",noun,ಮಹಿಳೆ / ಶ್ರೀಮತಿ / ಹೆಂಗಸು,mahiḷe / śrīmati / heṁgasu,,a2
lake,noun,ಕೆರೆ / ಸರೋವರ,kere / sarōvara,,a2
lamp (traditional oil lamp),noun,ದೀಪ / ಲ್ಯಾಂಪ್,dīpa / lyāṁp,,a2
"land, plot site (for construction)",noun,ನಿವೇಶನ / ಪ್ಲಾಟ್,nivēśana / plāṭ,,a2
laptop,noun,ಲ್ಯಾಪ್ಟಾಪ್,lyāpṭāp,,a2
last,noun,ಕೊನೆ / ಕಡೆ,kone / kaḍe,,a2
last (most recently),adverb,ಕೊನೆಯದಾಗಿ / ಅಂತಿಮವಾಗಿ,koneyadāgi / aṁtimavāgi,,a2
last (the end),noun,ಕೊನೆ / ಕಡೆ / ಅಂತ್ಯ,kone / kaḍe / aṁtya,,a2
lastly (in a list),adverb,ಕೊನೆಯದಾಗಿ / ಕಡೆಗೆ,koneyadāgi / kaḍege,,a2
"later (adjective, subsequent)",adjective,ನಂತರದ / ಮುಂದಿನ,naṁtarada / muṁdina,,a2
"later (adverbial, shortly)",adjective,ಆಮೇಲೆ / ಸ್ವಲ್ಪ ಸಮಯದ ನಂತರ,āmēle / svalpa samayada naṁtara,,a2
"later (shortly, adverb)",adverb,ಆಮೇಲೆ / ನಂತರ / ಮುಂದೆ,āmēle / naṁtara / muṁde,,a2
"later (subsequent, adjective)",adjective,ನಂತರದ / ಮುಂದಿನ / ಅನಂತರದ,naṁtarada / muṁdina / anaṁtarada,,a2
laughter,noun,ನಗು / ಹಾಸ್ಯ,nagu / hāsya,,a2
law (scientific or natural principle),noun,ನಿಯಮ / ಸೂತ್ರ,niyama / sūtra,,a2
lawyer (official title),noun,ವಕೀಲ / ನ್ಯಾಯವಾದಿ,vakīla / nyāyavādi,,a2
lazy,adjective,ಸೋಮಾರಿ / ಆಲಸಿ / ಮಂದ,sōmāri / ālasi / maṁda,,a2
"leader (political, social movement)",noun,ನಾಯಕ / ಮುಖಂಡ / ಅಗ್ರಗಣ್ಯ,nāyaka / mukhaṁḍa / agragaṇya,,a2
learning (general knowledge),noun,ಜ್ಞಾನ / ಅರಿವು,jñāna / arivu,,a2
learning (scholarship),noun,ಪಾಂಡಿತ್ಯ / ವಿದ್ವತ್ತು,pāṁḍitya / vidvattu,,a2
"least (at least, minimum)",adverb,ಕನಿಷ್ಠ / ಕಡಮೆ ಪಕ್ಷ,kaniṣṭha / kaḍame pakṣa,,a2
least (smallest quantity),determiner,ಅತ್ಯಂತ ಕಡಿಮೆ / ಅತಿ ಕನಿಷ್ಠ,atyaṁta kaḍime / ati kaniṣṭha,,a2
"least (the smallest amount, degree)",adverb,ಅತ್ಯಂತ ಕಡಿಮೆ / ಅತಿ ಕನಿಷ್ಠ,atyaṁta kaḍime / ati kaniṣṭha,,a2
lecture (academic talk),noun,ಉಪನ್ಯಾಸ / ಭಾಷಣ,upanyāsa / bhāṣaṇa,,a2
lecture (reprimand),noun,ಉಪದೇಶ / ತಿಟ್ಟು / ಛೀಮಾರಿ,upadēśa / tiṭṭu / chīmāri,,a2
lemon,noun,ನಿಂಬೆಹಣ್ಣು / ಲಿಂಬೆ,niṁbehaṇṇu / liṁbe,,a2
less,pronoun,ಕಡಿಮೆ / ಕಮ್ಮಿ,kaḍime / kammi,,a2
level,noun,ಮಟ್ಟ / ಹಂತ / ಸ್ತರ,maṭṭa / haṁta / stara,,a2
lifestyle,noun,ಜೀವನಶೈಲಿ / ಜೀವನ ವಿಧಾನ,jīvanaśaili / jīvana vidhāna,,a2
lift (elevator),noun,ಲಿಫ್ಟ್ / ಎತ್ತುಗ,liphṭ / ettuga,,a2
"lift (ride, transportation)",noun,ಲಿಫ್ಟ್ / ಸವಾರಿ,liphṭ / savāri,,a2
likely (probably),adjective,ಸಂಭವನೀಯ / ಸಾಧ್ಯ,saṁbhavanīya / sādhya,,a2
link (connection or relationship),noun,ಸಂಪರ್ಕ / ಸಂಬಂಧ / ಕೊಂಡಿ,saṁparka / saṁbaṁdha / koṁḍi,,a2
link (hyperlink),noun,ಕೊಂಡಿ / ಲಿಂಕ್,koṁḍi / liṁk,,a2
"listener (audience member, formal)",noun,ಕೇಳುಗ / ಶ್ರೋತೃ,kēḷuga / śrōtr̥,,a2
"little (a small amount of, uncountable)",adverb,ಕಡಿಮೆ / ಸ್ವಲ್ಪ / ಅಲ್ಪ,kaḍime / svalpa / alpa,,a2
little (a small distance),adverb,ಸ್ವಲ್ಪ ದೂರ,svalpa dūra,,a2
little (small amount),adverb,ಸ್ವಲ್ಪ / ಅಲ್ಪವಾಗಿ,svalpa / alpavāgi,,a2
"little (small amount, adverb)",adverb,ಸ್ವಲ್ಪ / ಕಡಿಮೆ,svalpa / kaḍime,,a2
"little (small in size, adverb)",adverb,ಸ್ವಲ್ಪ / ಕಡಿಮೆ,svalpa / kaḍime,,a2
lock (tress of hair),noun,ಕುರುಳು / ಜುಟ್ಟು / ಕೇಶರಾಶಿ,kuruḷu / juṭṭu / kēśarāśi,,a2
look (appearance),noun,ನೋಟ / ರೂಪ / ಕಾಣ್ಕೆ,nōṭa / rūpa / kāṇke,,a2
look (gaze),noun,ನೋಟ / ದೃಷ್ಟಿ,nōṭa / dr̥ṣṭi,,a2
"look (gaze, glance)",noun,ನೋಟ / ದೃಷ್ಟಿ / ಇಣುಕುನೋಟ,nōṭa / dr̥ṣṭi / iṇukunōṭa,,a2
looking forward (to something),adverb,ಎದುರು ನೋಡುತ್ತಾ / ನಿರೀಕ್ಷಿಸುತ್ತಾ,eduru nōḍuttā / nirīkṣisuttā,,a2
lorry,noun,ಲಾರಿ / ಸರಕು ವಾಹನ,lāri / saraku vāhana,,a2
lorry / truck,noun,ಲಾರಿ / ಟ್ರಕ್,lāri / ṭrak,,a2
lost (missing or forfeited),adjective,ಕಳೆದುಹೋದ / ಕಾಣೆಯಾದ / ನಷ್ಟವಾದ,kaḷeduhōda / kāṇeyāda / naṣṭavāda,,a2
lost (unable to find way),adjective,ದಾರಿ ತಪ್ಪಿದ / ದಾರಿ ಕಳೆದುಕೊಂಡ,dāri tappida / dāri kaḷedukoṁḍa,,a2
"lot (many, much)",determiner,ಬಹಳಷ್ಟು / ಸಾಕಷ್ಟು / ಹೆಚ್ಚು,bahaḷaṣṭu / sākaṣṭu / heccu,,a2
loud,adverb,ಜೋರಾಗಿ / ಗಟ್ಟಿಯಾಗಿ / ದೊಡ್ಡದಾಗಿ,jōrāgi / gaṭṭiyāgi / doḍḍadāgi,,a2
loud (adverb),adverb,ಜೋರಾಗಿ / ಗಟ್ಟಿಯಾಗಿ,jōrāgi / gaṭṭiyāgi,,a2
"loud (garish, bright colors)",adjective,ಕಣ್ಣುಕುಕ್ಕುವ / ಅತಿ ಪ್ರಕಾಶಮಾನವಾದ,kaṇṇukukkuva / ati prakāśamānavāda,,a2
"loud (sound, volume)",adjective,ಜೋರಾದ / ಗಟ್ಟಿಯಾದ / ಉಚ್ಚ ಧ್ವನಿಯ,jōrāda / gaṭṭiyāda / ucca dhvaniya,,a2
loudly,adverb,ಜೋರಾಗಿ / ಗಟ್ಟಿಯಾಗಿ,jōrāgi / gaṭṭiyāgi,,a2
"lovely (attractive, beautiful)",adjective,ಸುಂದರವಾದ / ಅಂದವಾದ / ಚೆಲುವಾದ,suṁdaravāda / aṁdavāda / celuvāda,,a2
"lovely (delightful, very nice)",adjective,ಚೆನ್ನಾದ / ರಮಣೀಯವಾದ / ಆಹ್ಲಾದಕರವಾದ,cennāda / ramaṇīyavāda / āhlādakaravāda,,a2
"low (in quantity, amount)",adjective,ಕಡಿಮೆ / ಅಲ್ಪ,kaḍime / alpa,,a2
low (in volume),adverb,ಮೆಲ್ಲಗೆ / ನಿಧಾನವಾಗಿ,mellage / nidhānavāgi,,a2
"low (positionally, near the ground)",adverb,ಕೆಳಗೆ / ತಗ್ಗಾದ,keḷage / taggāda,,a2
"low (sound, volume)",adjective,ಮೆಲ್ಲನೆಯ / ನಿಧಾನವಾದ,mellaneya / nidhānavāda,,a2
luck,noun,ಅದೃಷ್ಟ / ಭಾಗ್ಯ / ಸೌಭಾಗ್ಯ,adr̥ṣṭa / bhāgya / saubhāgya,,a2
lucky (bringing good fortune),adjective,ಅದೃಷ್ಟಕರ / ಭಾಗ್ಯಕರ,adr̥ṣṭakara / bhāgyakara,,a2
magazine (ammunition clip),noun,ಮದ್ದುಗುಂಡು ಪೆಟ್ಟಿಗೆ / ಮದ್ದುಗುಂಡು ಕ್ಲಿಪ್,madduguṁḍu peṭṭige / madduguṁḍu klip,,a2
"mail (email, digital)",noun,ಇಮೇಲ್ / ವಿದ್ಯುನ್ಮಾನ ಅಂಚೆ,imēl / vidyunmāna aṁce,,a2
"mail (physical post, letters)",noun,ಅಂಚೆ / ಪೋಸ್ಟ್ / ಪತ್ರ,aṁce / pōsṭ / patra,,a2
"major (primary, main)",adjective,ಪ್ರಮುಖ / ಮುಖ್ಯ / ಪ್ರಧಾನ,pramukha / mukhya / pradhāna,,a2
male,adjective,ಗಂಡು / ಪುರುಷ,gaṁḍu / puruṣa,,a2
male (gender classification),noun,ಗಂಡು / ಪುರುಷ ಲಿಂಗ,gaṁḍu / puruṣa liṁga,,a2
"male (person, formal)",noun,ಪುರುಷ / ಗಂಡಸು,puruṣa / gaṁḍasu,,a2
"manager (formal, administrative)",noun,ವ್ಯವಸ್ಥಾಪಕ / ನಿರ್ವಾಹಕ,vyavasthāpaka / nirvāhaka,,a2
manner (behavior or deportment),noun,ನಡತೆ / ವರ್ತನೆ / ರೀತಿ,naḍate / vartane / rīti,,a2
manner (method or style),noun,ರೀತಿ / ವಿಧಾನ / ಶೈಲಿ,rīti / vidhāna / śaili,,a2
manners,noun,ಶಿಷ್ಟಾಚಾರ / ಸೌಜನ್ಯ / ಮರ್ಯಾದೆ / ನಡೆನುಡಿ,śiṣṭācāra / saujanya / maryāde / naḍenuḍi,,a2
many,determiner,ಹಲವು / ಅನೇಕ / ಬಹಳಷ್ಟು / ಹಲವಾರು,halavu / anēka / bahaḷaṣṭu / halavāru,,a2
march (procession),noun,ಮೆರವಣಿಗೆ / ಜಾಥಾ,meravaṇige / jāthā,,a2
mark (score),noun,ಅಂಕ / ಗುರುತು,aṁka / gurutu,,a2
material (information or data),noun,ಮಾಹಿತಿ / ವಿಷಯ / ದತ್ತಾಂಶ,māhiti / viṣaya / dattāṁśa,,a2
material (substance or fabric),noun,ವಸ್ತು / ಸಾಮಗ್ರಿ / ದ್ರವ್ಯ,vastu / sāmagri / dravya,,a2
mathematics,noun,ಲೆಕ್ಕ / ಗಣಿತ,lekka / gaṇita,,a2
mathematics (formal),noun,ಗಣಿತ / ಗಣಿತಶಾಸ್ತ್ರ,gaṇita / gaṇitaśāstra,,a2
"matter (issue, affair)",noun,ವಿಷಯ / ಸಂಗತಿ / ಪ್ರಕರಣ,viṣaya / saṁgati / prakaraṇa,,a2
"matter (substance, physical material)",noun,ದ್ರವ್ಯ / ವಸ್ತು,dravya / vastu,,a2
"may (permission, request)",modal verb,-ಬಹುದೇ,-bahudē,,a2
may (possibility),modal verb,-ಬಹುದು,-bahudu,,a2
media,noun,ಮಾಧ್ಯಮಗಳು / ಮಾಧ್ಯಮ,mādhyamagaḷu / mādhyama,,a2
medical,adjective,ವೈದ್ಯಕೀಯ,vaidyakīya,,a2
medicine (field of study),noun,ವೈದ್ಯಕೀಯ / ವೈದ್ಯಕೀಯ ಶಾಸ್ತ್ರ,vaidyakīya / vaidyakīya śāstra,,a2
"memory (computing, storage)",noun,ಮೆಮೊರಿ / ಸಂಗ್ರಹ ಸಾಮರ್ಥ್ಯ,memori / saṁgraha sāmarthya,,a2
metal,noun,ಲೋಹ,lōha,,a2
method (way or manner of executing),noun,ರೀತಿ / ವಿಧಾನ / ಕ್ರಮ / ಮಾರ್ಗ,rīti / vidhāna / krama / mārga,,a2
middle,noun,ಮಧ್ಯ / ನಡುವೆ,madhya / naḍuve,,a2
might,modal verb,ಬಹುಶಃ / ಒಂದು ವೇಳೆ,bahuśaḥ / oṁdu vēḷe,,a2
mind,noun,ಮನಸ್ಸು / ಚಿತ್ತ,manassu / citta,,a2
mine (referring to a person or animate entity),pronoun,ನನ್ನವರು / ನನ್ನವನು / ನನ್ನವಳು,nannavaru / nannavanu / nannavaḷu,,a2
mine (referring to an object or neuter entity),pronoun,ನನ್ನದು,nannadu,,a2
"mine (singular, female)",pronoun,ನನ್ನವಳು,nannavaḷu,,a2
"mine (singular, male)",pronoun,ನನ್ನವನು,nannavanu,,a2
mirror,noun,ಕನ್ನಡಿ / ದರ್ಪಣ,kannaḍi / darpaṇa,,a2
missing (absent or lacking a part),adjective,ಇಲ್ಲದ / ಕೊರತೆಯಿರುವ / ಅಪೂರ್ಣವಾದ,illada / korateyiruva / apūrṇavāda,,a2
missing (lost or disappeared),adjective,ಕಾಣೆಯಾದ / ಕಳೆದುಹೋದ / ನಾಪತ್ತೆಯಾದ,kāṇeyāda / kaḷeduhōda / nāpatteyāda,,a2
mobile,noun,ಮೊಬೈಲ್ / ಮೊಬೈಲ್ ಫೋನ್ / ಚರ ದೂರವಾಣಿ,mobail / mobail phōn / cara dūravāṇi,,a2
mobile (able to move or be moved),adjective,ಚಲಿಸಬಲ್ಲ / ಚಲನಶೀಲ / ಸುಲಭವಾಗಿ ಚಲಿಸುವ,calisaballa / calanaśīla / sulabhavāgi calisuva,,a2
mobile (relating to cell phones or communication),adjective,ಮೊಬೈಲ್ / ಸಂಚಾರಿ,mobail / saṁcāri,,a2
monkey,noun,ಕೋತಿ / ಕಪಿ / ಮರ್ಕಟ,kōti / kapi / markaṭa,,a2
moon,noun,ಚಂದ್ರ / ತಿಂಗಳು / ಶಶಿ,caṁdra / tiṁgaḷu / śaśi,,a2
"mostly (majority, usually)",adverb,ಬಹುತೇಕ / ಹೆಚ್ಚಾಗಿ,bahutēka / heccāgi,,a2
mostly (primarily),adverb,ಮುಖ್ಯವಾಗಿ / ಪ್ರಮುಖವಾಗಿ,mukhyavāgi / pramukhavāgi,,a2
movement (agitation),noun,ಆಂದೋಲನ / ಪ್ರತಿಭಟನೆ / ಕ್ಷೋಭೆ,āṁdōlana / pratibhaṭane / kṣōbhe,,a2
movement (political or social),noun,ಚಳುವಳಿ / ಆಂದೋಲನ / ಹೋರಾಟ,caḷuvaḷi / āṁdōlana / hōrāṭa,,a2
musical (melodious or talented),adjective,ಸುಮಧುರ / ಸಂಗೀತಮಯ / ಸಂಗೀತ ಪ್ರತಿಭೆಯುಳ್ಳ,sumadhura / saṁgītamaya / saṁgīta pratibheyuḷḷa,,a2
musical (related to music),adjective,ಸಂಗೀತದ / ಸಂಗೀತಮಯ,saṁgītada / saṁgītamaya,,a2
musician,noun,ಸಂಗೀತಗಾರ / ಸಂಗೀತ ವಿದ್ವಾಂಸ,saṁgītagāra / saṁgīta vidvāṁsa,,a2
"must (strong probability, deduction)",modal verb,ಇರಬೇಕು / ಆಗಿರಬೇಕು,irabēku / āgirabēku,,a2
"myself (by myself, alone)",pronoun,ಒಬ್ಬರೇ / ನಾನೊಬ್ಬನೇ / ನಾನೊಬ್ಬಳೇ / ನನ್ನಿಂದಲೇ,obbarē / nānobbanē / nānobbaḷē / nanniṁdalē,,a2
myself (I myself),pronoun,ನಾನೇ,nānē,,a2
